sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path
1,0,Ip_1track_1_arc_345,G1_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\Ip_1track_1_arc_345\events_topk.csv,1512,50402,1512,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\Ip_1track_1_arc_345\stress_residual.csv
2,0,Ip_1track_1_arc_345,G1_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\Ip_1track_1_arc_345\events_topk.csv,1641,54711,1641,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\Ip_1track_1_arc_345\stress_residual.csv
3,0,Ip_1track_1_arc_345,G1_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\Ip_1track_1_arc_345\events_topk.csv,1484,49480,1484,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\Ip_1track_1_arc_345\stress_residual.csv
4,0,Ip_1track_1_arc_345,G1_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\Ip_1track_1_arc_345\events_topk.csv,1530,51002,1530,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\Ip_1track_1_arc_345\stress_residual.csv
5,0,Ip_1track_1_arc_345,G2_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\Ip_1track_1_arc_345\events_topk.csv,1525,50841,1525,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\Ip_1track_1_arc_345\stress_residual.csv
6,0,Ip_1track_1_arc_345,G2_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_L\Ip_1track_1_arc_345\events_topk.csv,1643,54763,1643,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_L\Ip_1track_1_arc_345\stress_residual.csv
7,0,Ip_1track_1_arc_345,G2_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\Ip_1track_1_arc_345\events_topk.csv,1473,49090,1473,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\Ip_1track_1_arc_345\stress_residual.csv
8,0,Ip_1track_1_arc_345,G2_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\Ip_1track_1_arc_345\events_topk.csv,1521,50700,1521,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\Ip_1track_1_arc_345\stress_residual.csv
9,0,Ip_1track_1_arc_345,G3_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\Ip_1track_1_arc_345\events_topk.csv,1000,24682,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\Ip_1track_1_arc_345\stress_residual.csv
10,0,Ip_1track_1_arc_345,G3_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\Ip_1track_1_arc_345\events_topk.csv,1623,54111,1623,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\Ip_1track_1_arc_345\stress_residual.csv
