rank,node_number,x_n,y_n,z_n,t_n,score
1,3006,0.125,0.17028125,0.8773762197325623,0.0,29988.999199999995
2,2047,1.0,0.046875,0.6023370678231538,0.0,19995.999199999995
3,23205,0.3987375,0.17905625,0.9995904107938802,0.13793103448275862,10006.999199999998
4,717,0.25,0.25,0.62643055053608,0.13793103448275862,9997.299199999998
5,16657,0.3151125,0.06812812500000001,0.8672690037344898,0.0,7002.399299999999
6,13506,0.8625,0.71875,0.655524635586074,0.13793103448275862,5997.699299999999
7,18623,0.39878749999999996,0.279090625,0.9063847729189254,0.0,4958.599299999999
8,16914,0.375,0.37128125,0.8280327671364895,0.27586206896551724,3997.1992999999993
9,10985,0.125,0.9439062500000001,0.7209938561619081,0.6206896551724137,3000.2992999999997
10,16638,0.24375,0.063446875,0.8554029634983737,0.27586206896551724,3000.1992999999993
11,13654,0.8625,0.9375,0.6752463558607397,0.0,2999.1992999999993
12,9833,0.8625,0.49015624999999996,0.9049150704734369,0.3448275862068966,2727.544818181818
13,7349,0.375,0.59375,0.8804722322611732,0.3448275862068966,2726.908454545454
14,15282,0.3229875,0.348875,0.7554872906878689,0.48275862068965514,2437.31650406504
15,23910,0.7439250000000001,0.197834375,0.9987591856402842,1.0,2155.195799676898
16,22058,0.15475,0.47240624999999997,0.9940127695458378,1.0,2154.118793753365
17,21875,0.5828375,0.1451,0.9729189254306709,1.0,2147.1182552504033
18,13427,0.8625,0.9450937500000001,0.822816528129141,0.6206896551724137,1999.8992999999996
19,17368,0.523325,0.30213125,0.8712082881580532,0.3448275862068966,1819.5448181818178
20,21873,0.5414749999999999,0.150971875,0.9769545837850862,0.9655172413793103,1664.666083333333
21,18678,0.5236625,0.287284375,0.904035658354415,0.9655172413793103,1661.166083333333
22,7302,0.375,0.51525,0.9854234429586796,0.6896551724137931,1503.8340601503758
23,4657,0.6125,0.059375,0.7448066498012287,0.8275862068965517,1116.2218333333333
24,19850,0.19624000000000003,0.26033125,0.9369232622575593,0.8275862068965517,1113.777388888889
25,5473,0.8625,0.184375,0.7276641368509817,0.13793103448275862,1000.6992999999998
26,14149,0.875,0.778125,0.6995000602337067,0.27586206896551724,1000.5992999999999
27,11296,0.125,0.840625,0.9141910613179135,0.3448275862068966,909.3629999999998
28,5765,0.875,0.15625,0.9280809541019153,0.48275862068965514,812.6335772357722
29,17926,0.3625,0.07753125000000001,0.8891699795205397,0.48275862068965514,808.820569105691
30,15225,0.644675,0.0350715625,0.7506083604385013,0.6206896551724137,801.2693999999999
31,11379,0.3625,0.9013125000000001,0.9114323575472835,0.3448275862068966,636.4176363636362
32,7452,0.375,0.434375,0.6534465727020841,1.0,534.3666128163704
33,14236,0.875,0.8294374999999998,0.9969883146608842,0.0,500.10939999999994
34,11059,0.125,0.84375,0.675142753885074,1.0,430.13397953688735
35,8644,0.625,0.602375,0.8115046379954222,0.13793103448275862,400.09939999999995
36,18396,0.6125,0.7056875,0.882231056499217,0.48275862068965514,325.1539837398374
37,13219,0.625,0.89396875,0.9368871220334899,0.48275862068965514,243.88569105691053
38,21242,0.375,0.24623750000000003,0.9673292374412721,1.0,131.71782444803443
39,21207,0.375,0.24936250000000001,0.9511866040236115,1.0,110.0700053850296
40,21206,0.4046875,0.24742187499999999,0.9534513913986267,1.0,108.45449649973072
41,19926,0.6125,0.25570312500000003,0.9432478014697024,1.0,106.62358642972534
42,21141,0.3625,0.24936250000000001,0.9511866040236115,1.0,106.51588583737208
43,4119,0.375,0.2408875,0.9729671123960967,1.0,105.84814216478189
44,19920,0.375,0.25565625000000003,0.9433080351764848,1.0,105.11577813677974
45,4336,0.6125,0.262071875,0.9472834598241175,1.0,102.9294561120086
