rank,node_number,x_n,y_n,z_n,t_n,score
1,13323,0.625,0.83803125,0.8851825081315503,0.8275862068965517,8377.499333333331
2,15121,0.5415875,0.0415909375,0.774219973497169,0.0,7595.0624050632905
3,5917,0.875,0.326846875,0.7344705457173835,0.13793103448275862,6992.899299999999
4,21054,0.523525,0.75915625,0.9760269847006384,1.0,6669.5547777777765
5,22808,0.672475,0.52753125,0.980363811588965,0.27586206896551724,6666.5547777777765
6,2624,0.1125,0.054980312499999996,0.817094325984821,1.0,6666.332555555554
7,16254,0.7439250000000001,0.64159375,0.7783640525237921,0.27586206896551724,6665.999222222221
8,17839,0.6844125,0.9251875,0.8617034092278039,0.0,6326.581392405063
9,21361,0.267775,0.55253125,0.9613781472111793,0.6206896551724137,6000.099299999999
10,7456,0.375,0.434375,0.7615106613661005,0.6206896551724137,5996.499299999999
11,17953,0.315125,0.09000625,0.9145886037826767,1.0,5555.443666666665
12,24082,0.7734375,0.50525,0.9875436694374171,0.48275862068965514,5454.635727272726
13,837,0.25,0.125,0.62643055053608,0.0,5063.543417721518
14,15481,0.7636000000000001,0.3585,0.7891217925551137,0.13793103448275862,5000.299299999999
15,22263,0.3032125,0.78296875,0.9930851704613902,0.6206896551724137,4973.399299999999
16,24073,0.434375,0.5033125,0.99979520539694,0.9655172413793103,4717.169150943396
17,18094,0.8031500000000001,0.081425,0.8975304180219251,0.9655172413793103,4717.074811320754
18,17479,0.18441000000000002,0.6126875,0.8617034092278039,0.9655172413793103,4716.320094339621
19,18422,0.4699375,0.711875,0.8950608360438501,0.6896551724137931,4675.419906542055
20,15704,0.4543375,0.6723125,0.8090109625346344,0.8275862068965517,4169.999416666666
21,18902,0.6546375,0.6036875,0.882231056499217,0.8275862068965517,4167.33275
22,17178,0.8151125,0.693125,0.8529213347789423,0.3448275862068966,4000.4992999999995
23,1488,0.1875,0.578125,0.6023370678231538,0.13793103448275862,4000.399299999999
24,5377,0.8625,0.0577125,0.8399349475966751,0.6206896551724137,3999.1992999999993
25,5139,0.625,0.182234375,0.9998795325864354,0.6896551724137931,3738.504018691588
26,11607,0.3625,0.875,0.6534465727020841,0.48275862068965514,3685.1811818181814
27,17055,0.125,0.69625,0.8605951090230093,0.48275862068965514,3603.999363636363
28,15243,0.791575,0.04159125,0.790350560173473,0.3448275862068966,2999.8992999999996
29,8374,0.625,0.6379374999999999,0.7905914950006022,0.3448275862068966,2998.9992999999995
30,14268,0.875,0.96253125,0.7478014697024454,0.13793103448275862,2985.7992999999997
31,11310,0.125,0.8167500000000001,0.9638718226719671,0.9655172413793103,2834.0559433962258
32,5666,0.8625,0.040591875,0.7470545717383447,0.9655172413793103,2830.6597169811316
33,560,0.6875,0.40625,0.62643055053608,0.48275862068965514,2727.3629999999994
34,6847,0.1125,0.3943125,0.7915190940850501,0.0,2527.340886075949
35,11210,0.125,0.844125,0.9902300927599084,0.27586206896551724,2380.221444444444
36,7713,0.375,0.403125,0.8367546078785688,1.0,1108.4214444444442
37,4162,0.375,0.28125,0.8586073966991927,0.3448275862068966,1000.4992999999998
38,10268,0.8625,0.53125,0.978279725334297,0.13793103448275862,900.1593999999999
39,6916,0.1125,0.590625,0.8578604987350921,1.0,889.588222222222
40,13580,0.8625,0.8195625,0.8788820624021202,0.48275862068965514,794.153909090909
41,12001,0.375,0.9640625,0.7157583423683893,0.6206896551724137,782.8193999999999
42,4135,0.375,0.12385312499999998,0.9653294783760993,0.6896551724137931,747.1302803738316
43,10869,0.125,0.73371875,0.8866401638356823,0.0,727.2017721518987
44,11640,0.3625,0.9375,0.62643055053608,0.0,680.759493670886
45,12648,0.6125,0.9375,0.62643055053608,0.0,679.8734177215189
46,13024,0.625,0.9375,0.62643055053608,0.0,673.9240506329113
47,12016,0.375,0.9375,0.62643055053608,0.0,671.0126582278481
48,13656,0.8625,0.9375,0.62643055053608,0.0,667.7215189873417
49,8353,0.625,0.5625,0.884001927478617,0.27586206896551724,667.677111111111
50,14032,0.875,0.9375,0.62643055053608,0.0,662.6582278481012
51,10632,0.1125,0.9375,0.62643055053608,0.0,659.2405063291138
52,11640,0.3625,0.9375,0.62643055053608,1.0,659.111111111111
53,12648,0.6125,0.9375,0.62643055053608,1.0,657.3333333333331
54,13024,0.625,0.9375,0.62643055053608,1.0,644.3333333333333
55,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,641.2222222222221
56,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,640.5555555555554
57,12016,0.375,0.9375,0.62643055053608,1.0,639.3666666666666
58,14032,0.875,0.9375,0.62643055053608,1.0,637.2222222222221
59,10632,0.1125,0.9375,0.62643055053608,1.0,635.111111111111
60,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,634.9999999999999
61,11666,0.3625,0.934375,0.8107697867726779,0.27586206896551724,633.2326666666665
62,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,632.5555555555554
63,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,629.9999999999999
64,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,624.2222222222221
65,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,620.5555555555554
66,11008,0.125,0.9375,0.62643055053608,0.0,615.8227848101266
67,8537,0.625,0.528125,0.6509613299602457,0.6206896551724137,612.1193999999999
68,13634,0.8625,0.903125,0.8009998795325863,0.27586206896551724,608.2548888888888
69,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,585.2222222222221
70,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,584.9056603773583
71,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,581.9999999999999
72,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,580.8999999999999
73,11640,0.3625,0.9375,0.62643055053608,0.9655172413793103,580.188679245283
74,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,579.9999999999999
75,12648,0.6125,0.9375,0.62643055053608,0.9655172413793103,575.4716981132075
76,11640,0.3625,0.9375,0.62643055053608,0.3448275862068966,574.9999999999999
77,11640,0.3625,0.9375,0.62643055053608,0.13793103448275862,574.4999999999999
78,12648,0.6125,0.9375,0.62643055053608,0.13793103448275862,573.5999999999999
79,12648,0.6125,0.9375,0.62643055053608,0.3448275862068966,573.2999999999998
80,13656,0.8625,0.9375,0.62643055053608,0.3448275862068966,572.5999999999999
81,13024,0.625,0.9375,0.62643055053608,0.6206896551724137,571.9999999999999
82,13656,0.8625,0.9375,0.62643055053608,0.13793103448275862,571.7999999999998
83,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,571.3999999999999
84,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,569.9999999999999
85,13024,0.625,0.9375,0.62643055053608,0.13793103448275862,568.4999999999999
