rank,node_number,x_n,y_n,z_n,t_n,score
1,6759,0.125,0.46875,0.8838935068064088,0.48275862068965514,18179.99927272727
2,20855,0.6487,0.43846875,0.955149981929888,0.48275862068965514,9092.726545454543
3,23985,0.19619625000000002,0.5103125000000001,0.9987591856402842,0.48275862068965514,9088.999272727271
4,13742,0.8625,0.6761250000000001,0.733739308517046,0.9655172413793103,8366.666
5,12781,0.6125,0.7205625,0.9114323575472835,0.9655172413793103,7498.166083333333
6,22375,0.8388375,0.772875,0.9749066377544873,0.8275862068965517,5722.388626609441
7,12166,0.375,0.71875,0.7718949524153716,0.13793103448275862,5001.799299999999
8,8589,0.625,0.590625,0.62643055053608,0.0,3994.799299999999
9,3820,0.375,0.059375,0.7448066498012287,0.3448275862068966,2999.3992999999996
10,13594,0.8625,0.84375,0.8456330562582821,0.13793103448275862,2997.5992999999994
11,18906,0.67245,0.599375,0.8912540657752078,1.0,2220.1990011098774
12,22980,0.5414375,0.84159375,0.9916757017226839,1.0,2219.644062153163
13,11067,0.125,0.84375,0.62643055053608,0.27586206896551724,2002.2992999999997
14,16936,0.5234500000000001,0.38103125000000004,0.8682327430430068,0.6206896551724137,2001.1992999999995
15,22725,0.4462125,0.52909375,0.9795205396940128,0.0,2000.1992999999995
16,12852,0.625,0.7876562500000001,0.8868570051800987,0.6206896551724137,2000.1992999999995
17,21941,0.8625,0.1587375,0.9813155041561258,0.6206896551724137,2000.0992999999996
18,24358,0.8151375,0.8243750000000001,0.9984098301409469,0.0,1999.8992999999996
19,20974,0.17246125,0.75253125,0.9693771834718709,0.3448275862068966,1999.8992999999996
20,9303,0.8625,0.501,0.8855318636308878,0.27586206896551724,1999.1992999999995
21,21080,0.81515,0.7525625,0.956896759426575,0.48275862068965514,1818.3629999999996
22,5274,0.8625,0.20273750000000001,0.9854234429586796,0.3448275862068966,1000.0992999999999
23,2023,1.0,0.421875,0.6023370678231538,0.27586206896551724,1000.0992999999999
24,7985,0.3625,0.59375,0.6827141308276111,0.0,998.6792999999998
25,20084,0.3625,0.56503125,0.9599807252138296,0.9655172413793103,822.4744166666666
26,15854,0.267775,0.327525,0.7995422238284544,0.6896551724137931,749.8411666666666
27,9410,0.875,0.531625,0.9902300927599084,0.0,700.8493999999998
28,2408,0.1125,0.146021875,0.8653776653415252,0.6206896551724137,700.4593999999998
29,18422,0.4699375,0.711875,0.8950608360438501,0.9655172413793103,666.9744999999999
30,8298,0.625,0.625,0.8084809059149499,0.9655172413793103,666.1244999999999
31,7378,0.375,0.56053125,0.9653294783760993,0.6896551724137931,584.8578333333332
32,2313,0.1125,0.2550875,0.9567642452716538,0.6896551724137931,499.98283333333325
33,9089,0.6125,0.46875,0.7245512588844717,0.6896551724137931,498.58283333333327
34,5466,0.8625,0.15625,0.8717383447777376,1.0,443.9061043285238
35,14310,0.875,0.8634375000000001,0.9629442235875195,0.13793103448275862,400.23939999999993
36,9663,0.875,0.590625,0.8578604987350921,0.0,399.23939999999993
37,9851,0.8625,0.4375,0.9468497771352848,0.0,399.10939999999994
38,8879,0.6125,0.3815,0.8251897361763642,0.8275862068965517,357.71773962804
39,7568,0.375,0.58375,0.8127815925792072,0.9655172413793103,250.06616666666662
40,6383,0.125,0.4223125,0.9472834598241175,0.6896551724137931,109.98333333333332
41,6383,0.125,0.4223125,0.9472834598241175,0.9655172413793103,107.83333333333331
42,6383,0.125,0.4223125,0.9472834598241175,1.0,103.05216426193117
43,6383,0.125,0.4223125,0.9472834598241175,0.8275862068965517,102.58226037195993
44,7194,0.1125,0.65003125,0.7478014697024454,1.0,82.35294117647057
45,9390,0.875,0.65003125,0.7478014697024454,1.0,81.56492785793561
46,7195,0.1125,0.64378125,0.7470545717383447,0.3448275862068966,81.39999999999999
47,7195,0.1125,0.64378125,0.7470545717383447,0.6206896551724137,80.89999999999999
48,7195,0.1125,0.64378125,0.7470545717383447,0.13793103448275862,80.59999999999998
49,9384,0.875,0.64378125,0.7470545717383447,0.13793103448275862,79.69999999999999
50,8189,0.3625,0.4223125,0.9472834598241175,1.0,79.25638179800221
51,9384,0.875,0.64378125,0.7470545717383447,0.3448275862068966,79.19999999999999
52,8376,0.625,0.65003125,0.7478014697024454,1.0,78.95671476137623
53,9384,0.875,0.64378125,0.7470545717383447,0.6206896551724137,78.79999999999998
54,7195,0.1125,0.64378125,0.7470545717383447,0.0,78.19999999999999
55,20735,0.12499999999999992,0.43690625,0.9659559089266353,1.0,77.91342952275248
56,8208,0.3625,0.65003125,0.7478014697024454,1.0,77.8690344062153
57,7195,0.1125,0.64378125,0.7470545717383447,0.27586206896551724,77.49999999999999
58,9384,0.875,0.64378125,0.7470545717383447,0.0,77.19999999999999
59,8206,0.3625,0.6420625,0.7767256956993133,1.0,76.60377358490564
60,9384,0.875,0.64378125,0.7470545717383447,0.27586206896551724,76.59999999999998
61,7194,0.1125,0.65003125,0.7478014697024454,0.0,75.49999999999999
62,8189,0.3625,0.4223125,0.9472834598241175,0.6896551724137931,75.45833333333333
63,7194,0.1125,0.65003125,0.7478014697024454,0.27586206896551724,75.09999999999998
64,7194,0.1125,0.65003125,0.7478014697024454,0.13793103448275862,74.59999999999998
65,7361,0.375,0.6420625,0.7767256956993133,1.0,74.58379578246391
66,8189,0.3625,0.4223125,0.9472834598241175,0.9655172413793103,74.15833333333332
67,7195,0.1125,0.64378125,0.7470545717383447,0.48275862068965514,73.63636363636363
68,8370,0.625,0.64378125,0.7470545717383447,1.0,72.9744728079911
69,10217,0.8625,0.4223125,0.9472834598241175,0.6896551724137931,72.31666666666665
70,9390,0.875,0.65003125,0.7478014697024454,0.0,72.19999999999999
71,9390,0.875,0.65003125,0.7478014697024454,0.27586206896551724,72.19999999999999
72,9384,0.875,0.64378125,0.7470545717383447,0.48275862068965514,71.81818181818181
73,7195,0.1125,0.64378125,0.7470545717383447,1.0,71.8091009988901
74,1081,0.0625,0.15625,0.6023370678231538,0.8275862068965517,71.55894134477825
75,7142,0.1125,0.64940625,0.7669437417178653,1.0,71.46503884572695
76,9384,0.875,0.64378125,0.7470545717383447,1.0,71.43174250832406
77,7196,0.1125,0.63753125,0.7463052644259728,0.6206896551724137,70.99999999999999
78,7196,0.1125,0.63753125,0.7463052644259728,0.3448275862068966,70.99999999999999
79,9390,0.875,0.65003125,0.7478014697024454,0.13793103448275862,70.99999999999999
80,10217,0.8625,0.4223125,0.9472834598241175,0.9655172413793103,70.66666666666666
81,7196,0.1125,0.63753125,0.7463052644259728,0.13793103448275862,70.49999999999999
82,7361,0.375,0.6420625,0.7767256956993133,0.9655172413793103,70.24999999999999
83,9383,0.875,0.63753125,0.7463052644259728,0.3448275862068966,69.99999999999999
