rank,node_number,x_n,y_n,z_n,t_n,score
1,10688,0.1125,0.86546875,0.8653294783760993,0.8275862068965517,35743.919313304716
2,3107,0.125,0.2408875,0.9729671123960967,0.13793103448275862,30000.999199999995
3,6759,0.125,0.46875,0.8838935068064088,0.48275862068965514,18179.99927272727
4,10570,0.1125,0.84375,0.8456330562582821,0.48275862068965514,9113.635636363635
5,5455,0.8625,0.153125,0.62643055053608,0.48275862068965514,9094.544727272725
6,13771,0.8625,0.702125,0.8743645343934465,0.9655172413793103,8343.332666666665
7,12781,0.6125,0.7205625,0.9114323575472835,0.9655172413793103,7479.332749999999
8,12758,0.6125,0.6875,0.8107697867726779,0.48275862068965514,5480.817545454544
9,12166,0.375,0.71875,0.7718949524153716,0.13793103448275862,5069.9992999999995
10,13571,0.8625,0.8125,0.803589928924226,0.9655172413793103,5008.999416666666
11,4534,0.6125,0.278125,0.8009998795325863,0.6206896551724137,5002.299299999999
12,6676,0.125,0.371875,0.7872545476448619,0.0,4995.299299999999
13,8589,0.625,0.590625,0.62643055053608,0.0,4013.5992999999994
14,4635,0.6125,0.0328125,0.6552355137935189,0.27586206896551724,4000.4992999999995
15,8098,0.3625,0.4375,0.6813612817732804,0.13793103448275862,3996.4992999999995
16,17821,0.6724875,0.92753125,0.8559812070834839,1.0,2225.4154273029962
17,18528,0.8387625,0.7165625,0.9174798217082278,1.0,2224.5275249722526
18,9943,0.8625,0.55296875,0.8653294783760993,0.13793103448275862,2004.5992999999996
19,20050,0.2736375,0.5779062500000001,0.9294422358751956,0.13793103448275862,2000.1992999999995
20,4852,0.625,0.0406334375,0.6826466690760149,0.27586206896551724,2000.0992999999996
21,18380,0.21993625,0.711875,0.9086013733285146,0.3448275862068966,1999.8992999999996
22,22725,0.4462125,0.52909375,0.9795205396940128,0.0,1999.8992999999996
23,21941,0.8625,0.1587375,0.9813155041561258,0.6206896551724137,1999.8992999999996
24,5540,0.8625,0.2712375,0.8127815925792072,0.6206896551724137,1999.7992999999997
25,21753,0.7734,0.8615,0.977159378388146,0.13793103448275862,1998.4992999999997
26,11067,0.125,0.84375,0.62643055053608,0.27586206896551724,1990.4992999999997
27,21080,0.81515,0.7525625,0.956896759426575,0.48275862068965514,1822.0902727272723
28,1230,0.9375,0.296875,0.6023370678231538,0.48275862068965514,1818.2720909090906
29,16666,0.5887374999999999,0.06968125,0.8567883387543669,0.8275862068965517,1430.7577253218883
30,21515,0.832775,0.54509375,0.9682568365257197,0.8275862068965517,1430.328540772532
31,15775,0.6449125,0.6761874999999999,0.8210095169256716,1.0,1096.7361820199776
32,7985,0.3625,0.59375,0.6827141308276111,0.0,1012.7992999999998
33,20479,0.3625,0.12445312500000001,0.9534393446572701,0.3448275862068966,999.9492999999998
34,13704,0.8625,0.896625,0.8892302132273219,0.0,721.3293999999999
35,9410,0.875,0.531625,0.9902300927599084,0.0,699.7093999999998
36,2408,0.1125,0.146021875,0.8653776653415252,0.6206896551724137,699.1293999999999
37,18422,0.4699375,0.711875,0.8950608360438501,0.9655172413793103,666.0328333333332
38,8298,0.625,0.625,0.8084809059149499,0.9655172413793103,665.0411666666665
39,2313,0.1125,0.2550875,0.9567642452716538,0.6896551724137931,500.08283333333327
40,9089,0.6125,0.46875,0.7245512588844717,0.6896551724137931,498.7578333333333
41,13454,0.8625,0.756,0.9729671123960967,0.6206896551724137,456.54939999999993
42,5466,0.8625,0.15625,0.8717383447777376,1.0,444.06148723640393
43,12648,0.6125,0.9375,0.62643055053608,1.0,342.8412874583795
44,11640,0.3625,0.9375,0.62643055053608,1.0,341.84239733629295
45,13656,0.8625,0.9375,0.62643055053608,1.0,341.39844617092115
46,11008,0.125,0.9375,0.62643055053608,1.0,337.84683684794663
47,12016,0.375,0.9375,0.62643055053608,1.0,334.1842397336292
48,10632,0.1125,0.9375,0.62643055053608,1.0,334.0732519422863
49,6762,0.125,0.48384375,0.9860498735092157,0.6896551724137931,333.41616666666664
50,13024,0.625,0.9375,0.62643055053608,1.0,332.519422863485
51,14032,0.875,0.9375,0.62643055053608,1.0,327.85793562708096
52,6225,0.875,0.20270937499999997,0.9400313215275267,0.3448275862068966,299.91939999999994
53,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,294.99999999999994
54,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,292.99999999999994
55,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,292.99999999999994
56,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,290.99999999999994
57,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,290.99999999999994
58,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,289.99999999999994
59,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,289.99999999999994
60,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,288.99999999999994
61,11640,0.3625,0.9375,0.62643055053608,0.13793103448275862,288.99999999999994
62,12648,0.6125,0.9375,0.62643055053608,0.13793103448275862,287.99999999999994
63,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,287.99999999999994
64,10632,0.1125,0.9375,0.62643055053608,0.6206896551724137,286.99999999999994
65,13024,0.625,0.9375,0.62643055053608,0.6206896551724137,286.99999999999994
66,11640,0.3625,0.9375,0.62643055053608,0.3448275862068966,286.99999999999994
67,13656,0.8625,0.9375,0.62643055053608,0.13793103448275862,285.99999999999994
68,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,284.99999999999994
69,12648,0.6125,0.9375,0.62643055053608,0.3448275862068966,284.99999999999994
70,11008,0.125,0.9375,0.62643055053608,0.13793103448275862,284.99999999999994
71,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,283.99999999999994
72,13656,0.8625,0.9375,0.62643055053608,0.3448275862068966,283.99999999999994
73,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,282.99999999999994
74,14032,0.875,0.9375,0.62643055053608,0.6206896551724137,281.99999999999994
75,12016,0.375,0.9375,0.62643055053608,0.13793103448275862,281.99999999999994
76,11008,0.125,0.9375,0.62643055053608,0.3448275862068966,281.99999999999994
77,13024,0.625,0.9375,0.62643055053608,0.13793103448275862,280.99999999999994
78,12016,0.375,0.9375,0.62643055053608,0.3448275862068966,279.99999999999994
79,10632,0.1125,0.9375,0.62643055053608,0.13793103448275862,279.99999999999994
80,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,278.99999999999994
81,10632,0.1125,0.9375,0.62643055053608,0.3448275862068966,277.99999999999994
82,13024,0.625,0.9375,0.62643055053608,0.3448275862068966,277.99999999999994
83,14032,0.875,0.9375,0.62643055053608,0.13793103448275862,276.99999999999994
84,12647,0.6125,0.9375,0.6508384531984098,1.0,275.6936736958934
85,12648,0.6125,0.9375,0.62643055053608,0.9655172413793103,274.99999999999994
86,11008,0.125,0.9375,0.62643055053608,0.9655172413793103,274.99999999999994
87,14032,0.875,0.9375,0.62643055053608,0.3448275862068966,274.99999999999994
88,11639,0.3625,0.9375,0.6508384531984098,1.0,274.91675915649273
89,13655,0.8625,0.9375,0.6508384531984098,1.0,273.2519422863484
90,11005,0.125,0.9375,0.6508384531984098,1.0,270.2552719200887
91,12013,0.375,0.9375,0.6508384531984098,1.0,268.81243063263037
92,13021,0.625,0.9375,0.6508384531984098,1.0,267.59156492785786
93,12016,0.375,0.9375,0.62643055053608,0.9655172413793103,266.66666666666663
94,10632,0.1125,0.9375,0.62643055053608,0.9655172413793103,266.66666666666663
95,13024,0.625,0.9375,0.62643055053608,0.9655172413793103,266.66666666666663
96,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,266.66666666666663
97,11640,0.3625,0.9375,0.62643055053608,0.9655172413793103,266.66666666666663
98,10631,0.1125,0.9375,0.6508384531984098,1.0,265.37180910099886
99,11640,0.3625,0.9375,0.62643055053608,0.48275862068965514,264.5454545454545
100,12648,0.6125,0.9375,0.62643055053608,0.48275862068965514,262.7272727272727
101,13656,0.8625,0.9375,0.62643055053608,0.48275862068965514,262.7272727272727
102,14029,0.875,0.9375,0.6508384531984098,1.0,261.2652608213096
103,11008,0.125,0.9375,0.62643055053608,0.48275862068965514,259.99999999999994
104,14032,0.875,0.9375,0.62643055053608,0.9655172413793103,258.3333333333333
105,12016,0.375,0.9375,0.62643055053608,0.48275862068965514,258.18181818181813
106,11640,0.3625,0.9375,0.62643055053608,0.0,257.99999999999994
107,13656,0.8625,0.9375,0.62643055053608,0.0,256.99999999999994
108,12648,0.6125,0.9375,0.62643055053608,0.0,256.99999999999994
109,10632,0.1125,0.9375,0.62643055053608,0.48275862068965514,256.3636363636363
110,13024,0.625,0.9375,0.62643055053608,0.48275862068965514,256.3636363636363
111,14033,0.875,0.934375,0.62643055053608,1.0,255.93784683684788
112,11008,0.125,0.9375,0.62643055053608,0.0,253.99999999999994
113,10628,0.1125,0.934375,0.62643055053608,1.0,253.38512763596
114,14032,0.875,0.9375,0.62643055053608,0.48275862068965514,252.7272727272727
115,12016,0.375,0.9375,0.62643055053608,0.0,251.99999999999994
116,10632,0.1125,0.9375,0.62643055053608,0.0,251.19999999999996
117,13024,0.625,0.9375,0.62643055053608,0.0,249.99999999999994
118,13025,0.625,0.934375,0.62643055053608,1.0,248.9456159822419
119,12017,0.375,0.934375,0.62643055053608,1.0,247.72475027746944
120,11009,0.125,0.934375,0.62643055053608,1.0,246.94783573806876
121,14032,0.875,0.9375,0.62643055053608,0.0,246.09999999999997
122,13652,0.8625,0.934375,0.62643055053608,1.0,241.73140954495
123,11636,0.3625,0.934375,0.62643055053608,1.0,241.2874583795782
124,12644,0.6125,0.934375,0.62643055053608,1.0,239.51165371809097
125,11639,0.3625,0.9375,0.6508384531984098,0.6206896551724137,235.99999999999994
126,12647,0.6125,0.9375,0.6508384531984098,0.6206896551724137,234.99999999999994
127,13655,0.8625,0.9375,0.6508384531984098,0.6206896551724137,233.99999999999997
128,11639,0.3625,0.9375,0.6508384531984098,0.27586206896551724,233.69999999999996
129,12647,0.6125,0.9375,0.6508384531984098,0.27586206896551724,232.99999999999997
130,12013,0.375,0.9375,0.6508384531984098,0.6206896551724137,230.99999999999997
131,13021,0.625,0.9375,0.6508384531984098,0.6206896551724137,230.99999999999997
132,13655,0.8625,0.9375,0.6508384531984098,0.27586206896551724,230.99999999999997
133,11639,0.3625,0.9375,0.6508384531984098,0.13793103448275862,230.99999999999997
134,11005,0.125,0.9375,0.6508384531984098,0.6206896551724137,230.99999999999997
135,12647,0.6125,0.9375,0.6508384531984098,0.13793103448275862,229.99999999999997
136,12647,0.6125,0.9375,0.6508384531984098,0.3448275862068966,229.99999999999997
137,11639,0.3625,0.9375,0.6508384531984098,0.3448275862068966,229.99999999999997
138,12013,0.375,0.9375,0.6508384531984098,0.27586206896551724,228.99999999999997
139,13655,0.8625,0.9375,0.6508384531984098,0.13793103448275862,228.99999999999997
140,11005,0.125,0.9375,0.6508384531984098,0.27586206896551724,228.99999999999997
141,10631,0.1125,0.9375,0.6508384531984098,0.6206896551724137,227.99999999999997
142,13021,0.625,0.9375,0.6508384531984098,0.27586206896551724,227.99999999999997
143,13655,0.8625,0.9375,0.6508384531984098,0.3448275862068966,227.99999999999997
144,12013,0.375,0.9375,0.6508384531984098,0.13793103448275862,226.99999999999997
145,14029,0.875,0.9375,0.6508384531984098,0.6206896551724137,225.99999999999997
146,12013,0.375,0.9375,0.6508384531984098,0.3448275862068966,225.99999999999997
147,13021,0.625,0.9375,0.6508384531984098,0.13793103448275862,225.99999999999997
148,11005,0.125,0.9375,0.6508384531984098,0.13793103448275862,225.99999999999997
149,10631,0.1125,0.9375,0.6508384531984098,0.27586206896551724,225.09999999999997
150,12647,0.6125,0.9375,0.6508384531984098,0.9655172413793103,224.99999999999997
151,13021,0.625,0.9375,0.6508384531984098,0.3448275862068966,224.99999999999997
152,11005,0.125,0.9375,0.6508384531984098,0.3448275862068966,224.99999999999997
153,10631,0.1125,0.9375,0.6508384531984098,0.13793103448275862,222.99999999999997
154,14029,0.875,0.9375,0.6508384531984098,0.27586206896551724,222.59999999999997
155,2639,0.1125,0.0752375,0.7775207806288399,1.0,222.15249722530518
156,10628,0.1125,0.934375,0.62643055053608,0.6206896551724137,221.99999999999997
157,14033,0.875,0.934375,0.62643055053608,0.6206896551724137,220.99999999999997
158,10631,0.1125,0.9375,0.6508384531984098,0.3448275862068966,220.99999999999997
159,14029,0.875,0.9375,0.6508384531984098,0.13793103448275862,219.99999999999997
160,14029,0.875,0.9375,0.6508384531984098,0.3448275862068966,219.99999999999997
161,10628,0.1125,0.934375,0.62643055053608,0.27586206896551724,218.79999999999995
162,14033,0.875,0.934375,0.62643055053608,0.27586206896551724,218.09999999999997
163,11009,0.125,0.934375,0.62643055053608,0.6206896551724137,217.99999999999997
164,12013,0.375,0.9375,0.6508384531984098,0.9655172413793103,216.66666666666663
165,10631,0.1125,0.9375,0.6508384531984098,0.9655172413793103,216.66666666666663
