rank,node_number,x_n,y_n,z_n,t_n,score
1,6958,0.1125,0.625,0.62643055053608,0.6206896551724137,36547.55999999999
2,3809,0.375,0.0818,0.7915190940850501,0.0,12657.847088607594
3,7129,0.1125,0.371875,0.6752463558607397,0.3448275862068966,11361.81727272727
4,4956,0.625,0.278125,0.8009998795325863,0.13793103448275862,11112.221333333331
5,7626,0.375,0.6091249999999999,0.7775207806288399,0.48275862068965514,10005.999199999998
6,12231,0.375,0.74884375,0.9653294783760993,0.8275862068965517,10000.999199999998
7,7373,0.375,0.5949687499999999,0.9134441633538127,0.48275862068965514,9994.199199999997
8,12358,0.6125,0.840625,0.958089386820865,0.8275862068965517,7999.799299999999
9,9497,0.875,0.4375,0.8461510661366101,0.6206896551724137,4877.560121951218
10,7894,0.3625,0.36128125,0.7085905312612938,0.3448275862068966,3411.4764772727267
11,9246,0.6125,0.5690625,0.8742561137212383,0.3448275862068966,3406.931022727272
12,16950,0.5887374999999999,0.3821875,0.8710516805204191,0.27586206896551724,2586.036586942469
13,19469,0.315125,0.42437500000000006,0.950210817973738,1.0,2532.2775949367087
14,17389,0.6724875,0.302521875,0.8559812070834839,0.6206896551724137,2438.901585365853
15,21122,0.6547625,0.7630312499999999,0.9795446331767256,0.6206896551724137,2438.779634146341
16,20237,0.6547375,0.56696875,0.9575352367184676,0.6896551724137931,2015.4992999999997
17,16254,0.7439250000000001,0.64159375,0.7783640525237921,0.8275862068965517,2015.3992999999996
18,21998,0.15475,0.47240624999999997,0.9818817009998795,0.6896551724137931,2006.1992999999995
19,16474,0.572875,0.94575,0.8208047223226117,0.8275862068965517,2000.0992999999996
20,11526,0.3625,0.778125,0.8699915672810504,0.6206896551724137,1220.8528048780486
21,1224,0.5625,0.296875,0.6023370678231538,0.3448275862068966,1136.476477272727
22,10479,0.1125,0.71875,0.7428056860619202,0.13793103448275862,1111.7769999999998
23,18928,0.6844,0.5908125,0.9078303818817011,0.13793103448275862,1111.4436666666663
24,12210,0.375,0.90078125,0.9256113721238406,0.13793103448275862,1110.899222222222
25,9524,0.875,0.48278125000000005,0.8773762197325623,0.27586206896551724,1035.345054945055
