rank,node_number,x_n,y_n,z_n,t_n,score
1,3373,0.3625,0.0625,0.7059462715335502,0.8275862068965517,99974.99955
2,3075,0.125,0.0625,0.7059462715335502,0.9655172413793103,66706.66606666666
3,19290,0.375,0.10253125,0.9232502108179736,0.8275862068965517,29989.4996
4,4503,0.6125,0.21875,0.62643055053608,0.13793103448275862,16670.555111111113
5,18274,0.625,0.405625,0.9069871099867486,0.3448275862068966,15385.383999999998
6,3773,0.375,0.1443125,0.8764004336826888,0.6896551724137931,13338.666133333332
7,5295,0.8625,0.24490625000000002,0.9562703288760389,0.8275862068965517,9996.9996
8,2049,1.0,0.015625,0.6023370678231538,0.27586206896551724,8335.832666666665
9,15742,0.6449125,0.6761874999999999,0.8056499216961811,0.27586206896551724,8333.249333333331
10,15292,0.125,0.34628125,0.7456993133357427,0.6206896551724137,8332.832666666665
11,7510,0.375,0.5,0.8289001325141548,0.3448275862068966,7691.2301538461525
12,15184,0.842825,0.0350715625,0.7506083604385013,0.6206896551724137,7502.916083333333
13,9211,0.6125,0.37021875,0.8399349475966751,0.6206896551724137,7501.832749999999
14,10894,0.125,0.6875,0.8107697867726779,0.3448275862068966,6153.99946153846
15,10451,0.1125,0.6593125,0.6440983014094687,0.0,6000.699299999999
16,21704,0.8329000000000001,0.87240625,0.9534513913986267,1.0,5449.699509536784
17,479,0.12499999999999986,0.5,0.62643055053608,0.6206896551724137,4999.916083333333
18,18657,0.52335,0.28025625,0.917588242380436,0.6896551724137931,4667.399533333332
19,8193,0.3625,0.3953125,0.9004216359474762,1.0,4358.691335149863
20,5898,0.875,0.265309375,0.8349837368991687,0.3448275862068966,3849.691769230769
21,21776,0.3388375,0.147875,0.9749066377544873,0.6206896551724137,3335.8327499999996
22,16974,0.7143125,0.38103125000000004,0.8539091675701722,0.9655172413793103,3333.599533333333
23,18986,0.1724825,0.90565625,0.9034815082520178,0.9655172413793103,3333.2661999999996
24,5009,0.625,0.1875,0.7023551379351886,0.3448275862068966,3073.691769230769
25,18253,0.838875,0.39475,0.8855318636308878,0.8275862068965517,3000.29965
26,13091,0.625,0.840625,0.7000216841344417,0.6896551724137931,2667.0661999999998
27,11988,0.375,0.95796875,0.7352017829177208,0.27586206896551724,2500.3327499999996
28,16898,0.5827375,0.38490625,0.8634140465004215,0.8275862068965517,1999.44965
29,16939,0.4045375,0.37009375,0.8396096855800506,0.8275862068965517,1998.09965
30,12384,0.6125,0.8815625,0.8742561137212383,0.3448275862068966,1538.2302307692305
31,16795,0.6545375,0.0575940625,0.8396096855800506,0.9655172413793103,1334.799533333333
32,3450,0.3625,0.184375,0.752969521744368,0.9655172413793103,1331.5328666666665
33,10250,0.8625,0.6005625,0.8888085772798457,1.0,1090.0264850136239
34,3902,0.375,0.3390625,0.6552355137935189,1.0,1078.9965122615802
35,934,0.75,0.015625,0.62643055053608,1.0,979.214604904632
36,6082,0.875,0.121875,0.7074798217082279,0.27586206896551724,831.0910833333332
37,9674,0.875,0.559375,0.9248042404529574,0.0,800.0293999999999
38,17880,0.696275,0.92909375,0.8664377785808939,0.0,799.9793999999998
39,9859,0.8625,0.456875,0.8973135766775088,0.13793103448275862,555.6107222222222
40,9533,0.875,0.496875,0.8289001325141548,0.6896551724137931,465.6129333333333
41,939,0.4375,0.015625,0.62643055053608,0.48275862068965514,352.1525882352941
42,2814,0.125,0.042315000000000005,0.7767256956993133,1.0,135.58583106267028
43,15057,0.12499999999999992,0.036905625,0.7740151788941092,1.0,133.841961852861
44,18535,0.3625,0.277578125,0.9091555234309118,0.0,120.99999999999997
45,17281,0.12499999999999992,0.29940625,0.8776894350078304,1.0,113.78746594005447
