rank,node_number,x_n,y_n,z_n,t_n,score
1,3373,0.3625,0.0625,0.7059462715335502,0.8275862068965517,99994.99955
2,13170,0.625,0.71875,0.655524635586074,0.8275862068965517,20024.4996
3,4503,0.6125,0.21875,0.62643055053608,0.13793103448275862,16668.33288888889
4,1860,0.9375,0.953125,0.6023370678231538,0.9655172413793103,13317.999466666664
5,12310,0.375,0.8125,0.9355860739669918,0.13793103448275862,11103.888444444445
6,14122,0.875,0.809375,0.752969521744368,0.0,10004.999199999998
7,5507,0.8625,0.21875,0.8212865919768702,0.0,9998.199199999997
8,12405,0.6125,0.9375,0.7448066498012287,0.27586206896551724,8355.832666666665
9,13068,0.625,0.871875,0.6538959161546801,0.3448275862068966,7713.845538461537
10,7510,0.375,0.5,0.8289001325141548,0.3448275862068966,7695.383999999999
11,2978,0.125,0.215625,0.8717383447777376,0.0,6999.099299999999
12,4158,0.375,0.325021875,0.7463052644259728,0.6206896551724137,6667.666083333333
13,21599,0.3625,0.85565625,0.9821949162751474,0.6896551724137931,6659.466133333332
14,10894,0.125,0.6875,0.8107697867726779,0.3448275862068966,6139.922538461537
15,10451,0.1125,0.6593125,0.6440983014094687,0.0,5990.299299999999
16,3784,0.375,0.121875,0.8618600168654379,0.6896551724137931,5332.799533333333
17,20130,0.42246249999999996,0.5775,0.9300686664257317,0.27586206896551724,5000.166083333333
18,18319,0.3625,0.70253125,0.8752680399951813,0.9655172413793103,4691.799533333333
19,12338,0.6125,0.9375,0.7660281893747741,0.13793103448275862,4449.8885
20,20086,0.125,0.5806250000000001,0.9382363570654136,1.0,4360.217220708446
21,23985,0.19619625000000002,0.5103125000000001,0.9987591856402842,0.27586206896551724,4166.749416666666
22,654,0.4375,0.3125,0.62643055053608,0.48275862068965514,4117.705470588236
23,1356,0.375,0.4375,0.6023370678231538,0.0,3999.5992999999994
24,1414,0.25,0.5,0.6023370678231538,0.0,3999.4992999999995
25,702,0.25,0.265625,0.62643055053608,0.13793103448275862,3888.9440555555557
26,5898,0.875,0.265309375,0.8349837368991687,0.3448275862068966,3845.4609999999993
27,15751,0.6486,0.66346875,0.7631128779665101,0.48275862068965514,3524.999588235294
28,20085,0.125,0.58375,0.933249006143838,1.0,3269.5360217983643
29,5009,0.625,0.1875,0.7023551379351886,0.3448275862068966,3075.5379230769227
30,16999,0.6488125,0.3821875,0.8710396337790628,0.8275862068965517,2999.84965
31,20089,0.3625,0.58375,0.933249006143838,0.6896551724137931,2666.799533333333
32,13091,0.625,0.840625,0.7000216841344417,0.6896551724137931,2664.4662
33,19005,0.33876249999999997,0.904125,0.9196482351523912,0.6206896551724137,2500.166083333333
34,9999,0.8625,0.625,0.6996542585230695,0.27586206896551724,1667.166083333333
35,12384,0.6125,0.8815625,0.8742561137212383,0.3448275862068966,1553.5379230769229
36,55,0.375,0.9375,0.62643055053608,0.48275862068965514,1191.1760588235295
37,4716,0.6125,0.140046875,0.922840621611854,0.48275862068965514,1176.6466470588234
38,3902,0.375,0.3390625,0.6552355137935189,1.0,1090.462452316076
39,10250,0.8625,0.6005625,0.8888085772798457,1.0,1089.7104087193459
40,11085,0.125,0.8125,0.7023551379351886,1.0,1084.6749863760215
41,10417,0.1125,0.8514375,0.9854234429586796,0.6206896551724137,865.1660833333332
42,17880,0.696275,0.92909375,0.8664377785808939,0.0,800.1993999999999
43,11640,0.3625,0.9375,0.62643055053608,1.0,327.0844686648501
44,9579,0.875,0.559375,0.7362920130104806,1.0,326.3753678474114
45,5105,0.625,0.059375,0.7240621611853992,1.0,326.2881743869209
46,10632,0.1125,0.9375,0.62643055053608,1.0,318.3651226158037
47,12648,0.6125,0.9375,0.62643055053608,1.0,315.5313351498637
48,13024,0.625,0.9375,0.62643055053608,1.0,314.0054495912806
49,14032,0.875,0.9375,0.62643055053608,1.0,312.58855585831054
50,12016,0.375,0.9375,0.62643055053608,1.0,295.04087193460487
51,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,274.99999999999994
52,11639,0.3625,0.9375,0.6508384531984098,1.0,271.82561307901904
53,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,266.66666666666663
54,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,266.66666666666663
55,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,266.66666666666663
56,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,266.66666666666663
57,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,266.66666666666663
58,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,266.66666666666663
59,13021,0.625,0.9375,0.6508384531984098,1.0,262.2343324250681
60,11008,0.125,0.9375,0.62643055053608,1.0,261.6021798365122
61,12647,0.6125,0.9375,0.6508384531984098,1.0,259.8365122615803
62,10631,0.1125,0.9375,0.6508384531984098,1.0,259.400544959128
63,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,258.3333333333333
64,14029,0.875,0.9375,0.6508384531984098,1.0,254.71389645776563
65,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,249.99999999999997
66,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,248.3333333333333
67,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,246.66666666666663
68,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,242.49999999999997
69,10632,0.1125,0.9375,0.62643055053608,0.6206896551724137,242.49999999999997
70,13024,0.625,0.9375,0.62643055053608,0.6206896551724137,242.49999999999997
71,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,241.66666666666663
72,14032,0.875,0.9375,0.62643055053608,0.6206896551724137,239.16666666666663
73,13652,0.8625,0.934375,0.62643055053608,1.0,238.91008174386917
74,11009,0.125,0.934375,0.62643055053608,1.0,238.692098092643
75,12017,0.375,0.934375,0.62643055053608,1.0,238.58310626702993
76,12013,0.375,0.9375,0.6508384531984098,1.0,236.07629427792912
77,12648,0.6125,0.9375,0.62643055053608,0.0,229.99999999999997
78,11640,0.3625,0.9375,0.62643055053608,0.9655172413793103,226.66666666666663
79,11639,0.3625,0.9375,0.6508384531984098,0.27586206896551724,224.99999999999997
80,13655,0.8625,0.9375,0.6508384531984098,0.27586206896551724,224.99999999999997
81,11005,0.125,0.9375,0.6508384531984098,0.27586206896551724,224.99999999999997
82,12644,0.6125,0.934375,0.62643055053608,1.0,223.542234332425
83,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,219.99999999999997
84,12648,0.6125,0.9375,0.62643055053608,0.9655172413793103,219.99999999999997
85,11640,0.3625,0.9375,0.62643055053608,0.0,219.99999999999997
86,13656,0.8625,0.9375,0.62643055053608,0.0,219.99999999999997
87,11008,0.125,0.9375,0.62643055053608,0.0,219.99999999999997
88,12016,0.375,0.9375,0.62643055053608,0.0,219.99999999999997
89,10632,0.1125,0.9375,0.62643055053608,0.0,219.99999999999997
90,13024,0.625,0.9375,0.62643055053608,0.0,219.99999999999997
91,12647,0.6125,0.9375,0.6508384531984098,0.27586206896551724,216.66666666666663
92,12017,0.375,0.934375,0.62643055053608,0.27586206896551724,216.66666666666663
93,14029,0.875,0.9375,0.6508384531984098,0.27586206896551724,216.66666666666663
94,12013,0.375,0.9375,0.6508384531984098,0.27586206896551724,216.66666666666663
