rank,node_number,x_n,y_n,z_n,t_n,score
1,16001,0.8625,0.321328125,0.8036742561137211,0.0,11107.887999999997
2,5162,0.625,0.31689375000000003,0.817094325984821,0.6896551724137931,9094.544727272725
3,11399,0.3625,0.95003125,0.7463052644259728,0.0,7777.332555555554
4,10743,0.1125,0.6875,0.789519335019877,0.8275862068965517,7691.999384615384
5,9644,0.875,0.6476875,0.6691205878809782,0.27586206896551724,7000.699299999998
6,22463,0.125,0.22748749999999998,0.984652451511866,0.8275862068965517,6926.307153846153
7,15461,0.72385,0.35278125,0.7695819780749307,0.0,6666.443666666665
8,12567,0.6125,0.8125,0.7023551379351886,0.0,6666.2214444444435
9,12025,0.375,0.920625,0.7658836284784966,0.6896551724137931,6364.2720909090895
10,3915,0.375,0.3328,0.6612275629442236,0.27586206896551724,6012.099299999999
11,18649,0.375,0.2931125,0.8918564028430309,0.13793103448275862,5829.582749999999
12,9215,0.6125,0.34746875,0.7669437417178653,0.3448275862068966,5001.799299999999
13,22026,0.125,0.45565625,0.9714251295024696,0.27586206896551724,5000.099299999999
14,2835,0.125,0.11969062500000001,0.8525719792796047,0.27586206896551724,4999.299299999999
15,2140,0.5625,0.0,0.62643055053608,1.0,4734.67372781065
16,9713,0.875,0.35481250000000003,0.7767256956993133,0.9655172413793103,4550.362999999999
17,10429,0.1125,0.7631875,0.9796651005902903,0.9655172413793103,4545.544818181817
18,11918,0.375,0.684375,0.7872545476448619,0.6896551724137931,4545.27209090909
19,21787,0.15475,0.15991875,0.9818817009998795,0.13793103448275862,4171.83275
20,20664,0.625,0.12128125000000001,0.9623298397783399,0.6206896551724137,4001.399299999999
21,577,0.5625,0.390625,0.62643055053608,0.6206896551724137,3999.1992999999993
22,599,0.1249999999999997,0.375,0.62643055053608,0.27586206896551724,3998.799299999999
23,18634,0.6125,0.27440625,0.9147693049030237,0.8275862068965517,3857.153307692307
24,1342,0.4375,0.421875,0.6023370678231538,0.8275862068965517,3076.691769230769
25,5580,0.8625,0.3390625,0.7157583423683893,0.6206896551724137,2992.9992999999995
26,4478,0.6125,0.1875,0.62643055053608,0.6206896551724137,2990.0992999999994
27,19198,0.3328,0.11616562500000001,0.943235754728346,0.48275862068965514,2733.544818181818
28,13000,0.625,0.939625,0.7330092759908444,0.9655172413793103,2727.453909090909
29,3824,0.375,0.059375,0.8297072641850378,1.0,2354.910414201183
30,12753,0.6125,0.71346875,0.8046500421635947,0.6206896551724137,1999.6992999999995
31,1222,0.4375,0.296875,0.6023370678231538,0.6206896551724137,1999.5992999999996
32,11538,0.3625,0.78125,0.8717383447777376,0.3448275862068966,1999.2992999999997
33,7265,0.1125,0.625,0.7660281893747741,0.48275862068965514,1818.726636363636
34,11751,0.3625,0.6875,0.789519335019877,0.48275862068965514,1817.817545454545
35,8460,0.625,0.40625,0.655524635586074,0.13793103448275862,1664.5827499999998
36,13198,0.625,0.6593125,0.6440983014094687,1.0,1183.0050887573962
37,2403,0.1125,0.125,0.6538959161546801,1.0,1155.2417751479288
38,11136,0.125,0.75,0.7362920130104806,0.48275862068965514,909.1811818181817
39,5622,0.8625,0.23404375000000002,0.8712323816407661,0.13793103448275862,836.6660833333332
40,10132,0.8625,0.4375,0.62643055053608,0.13793103448275862,666.2328333333332
41,7264,0.1125,0.52125,0.9009275990844476,0.6896551724137931,636.2903636363635
42,7589,0.375,0.621875,0.67944103120106,1.0,592.4253254437868
43,7263,0.1125,0.517,0.9166606432959884,0.27586206896551724,499.9093999999999
44,11585,0.3625,0.84375,0.675142753885074,1.0,235.80994082840232
45,2204,0.0,0.109375,0.62643055053608,0.3448275862068966,199.18939999999998
46,2814,0.125,0.042315000000000005,0.7767256956993133,1.0,159.99999999999997
47,15057,0.12499999999999992,0.036905625,0.7740151788941092,1.0,159.05325443786978
48,9077,0.6125,0.496875,0.7276641368509817,0.8275862068965517,154.30723076923076
49,2532,0.1125,0.3125,0.62643055053608,1.0,116.68639053254435
50,18535,0.3625,0.277578125,0.9091555234309118,1.0,115.14792899408282
51,2364,0.1125,0.0625,0.62643055053608,1.0,113.01775147928991
52,3920,0.375,0.3125,0.62643055053608,1.0,111.24260355029584
53,4089,0.375,0.059375,0.62643055053608,1.0,111.12426035502956
54,15053,0.3625,0.036951875,0.7741838332730996,1.0,110.65088757396447
