rank,node_number,x_n,y_n,z_n,t_n,score
1,16001,0.8625,0.321328125,0.8036742561137211,0.0,11102.776888888886
2,900,0.0625,0.0625,0.62643055053608,0.0,10014.88811111111
3,22504,0.375,0.22436249999999996,0.9746536561860017,0.6896551724137931,9136.362909090907
4,5162,0.625,0.31689375000000003,0.817094325984821,0.6896551724137931,9075.362909090907
5,3023,0.125,0.153125,0.7482110589085652,0.13793103448275862,8334.166
6,12925,0.625,0.684375,0.8084809059149499,0.0,7777.999222222221
7,11399,0.3625,0.95003125,0.7463052644259728,0.0,7776.5547777777765
8,2255,0.1125,0.22746874999999997,0.9116973858571257,0.8275862068965517,7715.383999999999
9,3874,0.375,0.265309375,0.8349837368991687,0.8275862068965517,7703.076307692307
10,9644,0.875,0.6476875,0.6691205878809782,0.27586206896551724,7002.299299999999
11,15461,0.72385,0.35278125,0.7695819780749307,0.0,6666.5547777777765
12,17496,0.125,0.60878125,0.8848572461149259,0.3448275862068966,5999.799299999999
13,18649,0.375,0.2931125,0.8918564028430309,0.13793103448275862,5832.499416666666
14,3011,0.125,0.15625,0.7245512588844717,0.27586206896551724,5004.9992999999995
15,16912,0.4224375,0.37440625,0.8366341404650042,0.27586206896551724,5000.399299999999
16,2835,0.125,0.11969062500000001,0.8525719792796047,0.27586206896551724,4987.199299999999
17,19943,0.375,0.25565625000000003,0.9560293940489097,0.6896551724137931,4553.817545454544
18,9713,0.875,0.35481250000000003,0.7767256956993133,0.9655172413793103,4551.181181818181
19,10429,0.1125,0.7631875,0.9796651005902903,0.9655172413793103,4545.635727272726
20,11918,0.375,0.684375,0.7872545476448619,0.6896551724137931,4544.908454545453
21,16133,0.22400124999999999,0.642875,0.7900012046741356,0.0,4444.332555555555
22,21787,0.15475,0.15991875,0.9818817009998795,0.13793103448275862,4171.83275
23,20674,0.8388500000000001,0.126,0.9677267799060354,0.13793103448275862,4170.916083333333
24,2565,0.1125,0.28339375,0.8046500421635947,0.3448275862068966,4031.5992999999994
