rank,node_number,x_n,y_n,z_n,t_n,score
1,3656,0.3625,0.0625,0.7682568365257197,0.6896551724137931,18189.99927272727
2,16001,0.8625,0.321328125,0.8036742561137211,0.0,11040.887999999997
3,16249,0.84285,0.6480625,0.7552222623780267,1.0,10652.07017751479
4,5162,0.625,0.31689375000000003,0.817094325984821,0.6896551724137931,8998.544727272725
5,3743,0.375,0.15625,0.9722684013974219,0.13793103448275862,8344.999333333331
6,6953,0.1125,0.6453125,0.6612275629442236,0.13793103448275862,8333.249333333331
7,11399,0.3625,0.95003125,0.7463052644259728,0.0,7778.221444444443
8,12925,0.625,0.684375,0.8084809059149499,0.0,7777.5547777777765
9,10743,0.1125,0.6875,0.789519335019877,0.8275862068965517,7691.999384615384
10,9644,0.875,0.6476875,0.6691205878809782,0.27586206896551724,6999.399299999999
11,22605,0.8625,0.22748749999999998,0.984652451511866,0.0,6669.2214444444435
12,15461,0.72385,0.35278125,0.7695819780749307,0.0,6667.332555555554
13,18649,0.375,0.2931125,0.8918564028430309,0.13793103448275862,5817.582749999999
14,2835,0.125,0.11969062500000001,0.8525719792796047,0.27586206896551724,5000.099299999999
15,22993,0.4344625000000001,0.84859375,0.987411155282496,0.3448275862068966,5000.099299999999
16,9713,0.875,0.35481250000000003,0.7767256956993133,0.9655172413793103,4553.453909090908
17,10429,0.1125,0.7631875,0.9796651005902903,0.9655172413793103,4545.544818181817
18,11918,0.375,0.684375,0.7872545476448619,0.6896551724137931,4545.090272727272
19,1327,0.4375,0.40625,0.6023370678231538,0.9655172413793103,3637.0902727272723
20,5011,0.625,0.1875,0.752969521744368,0.9655172413793103,3635.999363636363
21,7141,0.1125,0.3421875,0.7468979641007107,1.0,3542.129349112425
22,5580,0.8625,0.3390625,0.7157583423683893,0.6206896551724137,3022.7992999999997
23,4478,0.6125,0.1875,0.62643055053608,0.6206896551724137,2995.8992999999996
24,3824,0.375,0.059375,0.8297072641850378,1.0,2376.5672189349107
25,11538,0.3625,0.78125,0.8717383447777376,0.3448275862068966,2000.0992999999996
26,19167,0.81515,0.911875,0.9048427900252981,0.9655172413793103,1818.2720909090906
27,8460,0.625,0.40625,0.655524635586074,0.13793103448275862,1668.3327499999998
28,11136,0.125,0.75,0.7362920130104806,0.48275862068965514,909.1811818181817
29,10132,0.8625,0.4375,0.62643055053608,0.13793103448275862,666.7494999999999
30,7589,0.375,0.621875,0.67944103120106,1.0,592.200473372781
31,7263,0.1125,0.517,0.9166606432959884,0.27586206896551724,500.0193999999999
32,3217,0.125,0.3125,0.8084809059149499,1.0,206.86390532544374
33,2204,0.0,0.109375,0.62643055053608,0.3448275862068966,198.96939999999995
34,3217,0.125,0.3125,0.8084809059149499,0.0,169.99999999999997
35,5256,0.8625,0.3125,0.8084809059149499,0.0,166.66666666666663
36,15057,0.12499999999999992,0.036905625,0.7740151788941092,1.0,166.27218934911238
37,2814,0.125,0.042315000000000005,0.7767256956993133,1.0,164.37869822485203
38,5256,0.8625,0.3125,0.8084809059149499,1.0,161.89349112426032
39,3217,0.125,0.3125,0.8084809059149499,0.6206896551724137,158.29999999999998
40,3217,0.125,0.3125,0.8084809059149499,0.27586206896551724,155.99999999999997
41,3217,0.125,0.3125,0.8084809059149499,0.3448275862068966,154.29999999999998
42,3217,0.125,0.3125,0.8084809059149499,0.9655172413793103,153.6363636363636
43,5256,0.8625,0.3125,0.8084809059149499,0.27586206896551724,151.99999999999997
44,3217,0.125,0.3125,0.8084809059149499,0.6896551724137931,149.09090909090907
45,5256,0.8625,0.3125,0.8084809059149499,0.6206896551724137,147.29999999999998
46,4229,0.375,0.3125,0.8084809059149499,1.0,147.21893491124257
47,5256,0.8625,0.3125,0.8084809059149499,0.3448275862068966,144.09999999999997
48,4244,0.6125,0.3125,0.8084809059149499,0.0,141.55555555555551
49,3217,0.125,0.3125,0.8084809059149499,0.48275862068965514,141.45454545454544
50,15228,0.8625,0.036951875,0.7741838332730996,1.0,139.28994082840234
51,4244,0.6125,0.3125,0.8084809059149499,1.0,139.28994082840234
52,4229,0.375,0.3125,0.8084809059149499,0.0,136.88888888888886
53,5657,0.8625,0.042315000000000005,0.7767256956993133,1.0,134.91124260355028
54,5241,0.625,0.3125,0.8084809059149499,1.0,134.59171597633133
55,15827,0.125,0.31815625000000003,0.8133477894229612,1.0,133.9644970414201
56,3217,0.125,0.3125,0.8084809059149499,0.8275862068965517,133.84615384615384
57,5256,0.8625,0.3125,0.8084809059149499,0.48275862068965514,133.09090909090907
58,4244,0.6125,0.3125,0.8084809059149499,0.27586206896551724,129.99999999999997
59,15053,0.3625,0.036951875,0.7741838332730996,1.0,129.58579881656803
60,16019,0.8625,0.321328125,0.8190820383086375,1.0,128.63905325443784
61,5256,0.8625,0.3125,0.8084809059149499,0.13793103448275862,127.49999999999999
62,4229,0.375,0.3125,0.8084809059149499,0.6206896551724137,127.29999999999998
63,4244,0.6125,0.3125,0.8084809059149499,0.6206896551724137,126.79999999999998
64,3217,0.125,0.3125,0.8084809059149499,0.13793103448275862,126.66666666666664
65,2294,0.1125,0.31689375000000003,0.817094325984821,1.0,126.62721893491121
66,4229,0.375,0.3125,0.8084809059149499,0.27586206896551724,124.29999999999998
67,4244,0.6125,0.3125,0.8084809059149499,0.3448275862068966,123.69999999999997
68,23114,0.125,0.16503125000000002,0.9961450427659317,0.6896551724137931,123.63636363636361
69,5241,0.625,0.3125,0.8084809059149499,0.0,123.55555555555553
70,4229,0.375,0.3125,0.8084809059149499,0.3448275862068966,123.29999999999998
71,16006,0.8625,0.31815625000000003,0.8133477894229612,1.0,123.07692307692305
72,23114,0.125,0.16503125000000002,0.9961450427659317,0.9655172413793103,122.7272727272727
73,6174,0.875,0.31689375000000003,0.817094325984821,1.0,122.60355029585796
74,5256,0.8625,0.3125,0.8084809059149499,0.9655172413793103,122.36363636363635
75,5256,0.8625,0.3125,0.8084809059149499,0.6896551724137931,122.09090909090907
76,4229,0.375,0.3125,0.8084809059149499,0.9655172413793103,121.8181818181818
77,5162,0.625,0.31689375000000003,0.817094325984821,1.0,121.42011834319524
78,6174,0.875,0.31689375000000003,0.817094325984821,0.0,118.88888888888887
79,4229,0.375,0.3125,0.8084809059149499,0.6896551724137931,118.7272727272727
80,15826,0.1448775,0.319459375,0.8094085049993975,1.0,118.2248520710059
81,3306,0.3625,0.31689375000000003,0.817094325984821,1.0,116.68639053254435
82,3216,0.125,0.3125,0.7872545476448619,1.0,115.97633136094672
83,2294,0.1125,0.31689375000000003,0.817094325984821,0.0,115.55555555555553
84,15849,0.12499999999999992,0.32128125,0.8192145524635586,1.0,115.02958579881654
85,3136,0.125,0.04040375,0.7863028550777015,1.0,114.55621301775146
86,3232,0.3625,0.3125,0.8084809059149499,0.0,114.55555555555553
87,23114,0.125,0.16503125000000002,0.9961450427659317,0.8275862068965517,113.84615384615383
88,5162,0.625,0.31689375000000003,0.817094325984821,0.0,113.33333333333331
89,15827,0.125,0.31815625000000003,0.8133477894229612,0.0,113.33333333333331
90,4244,0.6125,0.3125,0.8084809059149499,0.48275862068965514,113.18181818181816
91,5241,0.625,0.3125,0.8084809059149499,0.27586206896551724,112.89999999999998
92,3232,0.3625,0.3125,0.8084809059149499,1.0,112.76923076923075
93,5241,0.625,0.3125,0.8084809059149499,0.6206896551724137,112.19999999999997
94,4229,0.375,0.3125,0.8084809059149499,0.48275862068965514,111.90909090909089
95,15827,0.125,0.31815625000000003,0.8133477894229612,0.6206896551724137,111.89999999999998
96,4244,0.6125,0.3125,0.8084809059149499,0.9655172413793103,111.63636363636361
97,5302,0.8625,0.26331875,0.9325864353692326,0.8275862068965517,111.53846153846152
98,15044,0.125,0.033780624999999995,0.7456993133357427,1.0,111.24260355029584
99,4150,0.375,0.31689375000000003,0.817094325984821,1.0,111.12426035502956
100,16006,0.8625,0.31815625000000003,0.8133477894229612,0.0,111.11111111111109
101,15827,0.125,0.31815625000000003,0.8133477894229612,0.3448275862068966,111.09999999999998
102,4318,0.6125,0.31689375000000003,0.817094325984821,1.0,110.76923076923075
103,15231,0.625,0.036905625,0.7740151788941092,1.0,110.5325443786982
104,15043,0.14467375,0.0350715625,0.7506083604385013,1.0,109.94082840236685
105,4244,0.6125,0.3125,0.8084809059149499,0.6896551724137931,109.7272727272727
106,5657,0.8625,0.042315000000000005,0.7767256956993133,0.3448275862068966,109.69999999999997
107,5657,0.8625,0.042315000000000005,0.7767256956993133,0.6206896551724137,109.49999999999999
108,4244,0.6125,0.3125,0.8084809059149499,0.13793103448275862,109.16666666666666
109,3306,0.3625,0.31689375000000003,0.817094325984821,0.0,109.11111111111109
110,16006,0.8625,0.31815625000000003,0.8133477894229612,0.6206896551724137,108.99999999999999
111,3633,0.3625,0.042315000000000005,0.7767256956993133,1.0,108.99408284023666
112,5241,0.625,0.3125,0.8084809059149499,0.3448275862068966,108.69999999999997
113,15228,0.8625,0.036951875,0.7741838332730996,0.6206896551724137,108.09999999999998
114,16006,0.8625,0.31815625000000003,0.8133477894229612,0.3448275862068966,107.99999999999999
115,15228,0.8625,0.036951875,0.7741838332730996,0.3448275862068966,107.99999999999999
116,6174,0.875,0.31689375000000003,0.817094325984821,0.27586206896551724,106.99999999999999
117,17283,0.3327,0.298234375,0.8803999518130344,1.0,106.98224852071003
118,4229,0.375,0.3125,0.8084809059149499,0.8275862068965517,106.15384615384613
119,2622,0.1125,0.0464478125,0.7905914950006022,1.0,105.91715976331359
120,6174,0.875,0.31689375000000003,0.817094325984821,0.3448275862068966,105.79999999999998
121,6174,0.875,0.31689375000000003,0.817094325984821,0.6206896551724137,105.69999999999997
122,5162,0.625,0.31689375000000003,0.817094325984821,0.3448275862068966,105.29999999999998
123,5162,0.625,0.31689375000000003,0.817094325984821,0.6206896551724137,105.19999999999997
124,5241,0.625,0.3125,0.8084809059149499,0.9655172413793103,105.18181818181816
125,3232,0.3625,0.3125,0.8084809059149499,0.27586206896551724,104.59999999999998
126,2294,0.1125,0.31689375000000003,0.817094325984821,0.6206896551724137,104.29999999999998
127,2294,0.1125,0.31689375000000003,0.817094325984821,0.27586206896551724,103.99999999999999
128,3232,0.3625,0.3125,0.8084809059149499,0.6206896551724137,102.79999999999998
129,15816,0.12499999999999992,0.32128125,0.8038188170099987,1.0,102.4852071005917
130,2294,0.1125,0.31689375000000003,0.817094325984821,0.3448275862068966,102.29999999999998
131,3163,0.125,0.25,0.9282857487049753,1.0,102.24852071005915
132,17262,0.125,0.31186250000000004,0.831478135164438,1.0,102.0118343195266
133,5162,0.625,0.31689375000000003,0.817094325984821,0.27586206896551724,101.99999999999999
134,15827,0.125,0.31815625000000003,0.8133477894229612,0.27586206896551724,101.99999999999999
135,3306,0.3625,0.31689375000000003,0.817094325984821,0.6206896551724137,101.79999999999998
136,2813,0.125,0.038275312500000006,0.762462353933261,1.0,101.77514792899406
137,5241,0.625,0.3125,0.8084809059149499,0.6896551724137931,101.7272727272727
138,17278,0.3625,0.29628125,0.8848572461149259,1.0,101.42011834319524
139,5657,0.8625,0.042315000000000005,0.7767256956993133,0.48275862068965514,101.27272727272725
140,15827,0.125,0.31815625000000003,0.8133477894229612,0.9655172413793103,100.90909090909089
141,3632,0.3625,0.038275312500000006,0.762462353933261,1.0,100.59171597633134
142,17395,0.7737,0.3091625,0.8388507408745933,1.0,100.59171597633134
143,15815,0.148845,0.32284375,0.7989037465365619,1.0,100.35502958579879
144,3306,0.3625,0.31689375000000003,0.817094325984821,0.3448275862068966,100.19999999999999
145,16006,0.8625,0.31815625000000003,0.8133477894229612,0.27586206896551724,99.99999999999999
146,17283,0.3327,0.298234375,0.8803999518130344,0.0,99.66666666666664
147,17249,0.21405875000000002,0.3091625,0.8388507408745933,1.0,99.64497041420117
148,3232,0.3625,0.3125,0.8084809059149499,0.3448275862068966,99.29999999999998
149,4318,0.6125,0.31689375000000003,0.817094325984821,0.0,99.2222222222222
