rank,node_number,x_n,y_n,z_n,t_n,score
1,5399,0.8625,0.0625,0.65293579086857,0.13793103448275862,88363.64646464646
2,5085,0.625,0.090625,0.7671364895795687,0.13793103448275862,76858.59595959596
3,2526,0.1125,0.309375,0.7059462715335502,0.13793103448275862,75202.0303030303
4,2910,0.125,0.309375,0.7059462715335502,0.13793103448275862,74020.21212121213
5,5394,0.8625,0.059375,0.6996542585230695,0.13793103448275862,56838.393939393936
6,4816,0.625,0.0625,0.7682568365257197,0.13793103448275862,55686.878787878784
7,4668,0.6125,0.0625,0.7682568365257197,0.13793103448275862,54585.868686868685
8,3937,0.375,0.28125,0.62643055053608,0.13793103448275862,54303.0404040404
9,3370,0.3625,0.059375,0.6996542585230695,0.13793103448275862,54202.030303030304
10,5397,0.8625,0.0625,0.7059462715335502,0.13793103448275862,53888.89898989899
11,4941,0.625,0.295615625,0.7658836284784966,0.13793103448275862,49757.58585858586
12,4556,0.6125,0.3125,0.62643055053608,0.0,49462.75826446281
13,5399,0.8625,0.0625,0.65293579086857,0.0,45206.663223140495
14,5944,0.875,0.3125,0.62643055053608,0.0,43326.4979338843
15,4933,0.625,0.309375,0.62643055053608,0.13793103448275862,38777.767676767675
16,2926,0.125,0.278125,0.62643055053608,0.13793103448275862,38585.868686868685
17,5547,0.8625,0.278125,0.62643055053608,0.13793103448275862,38323.22222222222
18,4131,0.375,0.15274062500000002,0.9902300927599084,0.13793103448275862,38050.49494949495
19,4943,0.625,0.30485937500000004,0.7440320443320082,0.13793103448275862,37686.85858585859
20,4351,0.6125,0.15274062500000002,0.9902300927599084,0.13793103448275862,37121.22222222222
21,2523,0.1125,0.30485937500000004,0.7440320443320082,0.13793103448275862,35131.32323232323
22,2364,0.1125,0.0625,0.62643055053608,0.0,33119.78305785124
23,5962,0.875,0.278125,0.62643055053608,0.13793103448275862,32494.959595959597
24,4391,0.6125,0.071603125,0.7551740754126008,0.13793103448275862,32050.515151515152
25,11008,0.125,0.9375,0.62643055053608,0.6896551724137931,31556.86274509804
26,4087,0.375,0.0625,0.7059462715335502,0.27586206896551724,31529.166666666668
27,3069,0.125,0.071603125,0.7551740754126008,0.13793103448275862,31313.121212121212
28,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,31162.962962962964
29,5372,0.8625,0.089403125,0.9134441633538127,0.13793103448275862,29010.090909090908
30,4535,0.6125,0.278125,0.62643055053608,0.13793103448275862,28949.484848484848
31,4072,0.375,0.090625,0.62643055053608,0.13793103448275862,28797.969696969696
32,7424,0.375,0.371875,0.62643055053608,0.48275862068965514,28700.0
33,12183,0.375,0.6875,0.7059462715335502,0.8275862068965517,28473.333333333332
34,11639,0.3625,0.9375,0.6508384531984098,0.8275862068965517,27723.333333333332
35,4380,0.6125,0.059375,0.6508384531984098,0.13793103448275862,27575.76767676768
36,3059,0.125,0.09375,0.62643055053608,0.13793103448275862,27515.141414141413
37,4092,0.375,0.059375,0.6508384531984098,0.27586206896551724,27062.5
38,9155,0.6125,0.371875,0.62643055053608,0.48275862068965514,26660.0
39,3060,0.125,0.090625,0.62643055053608,0.13793103448275862,26020.21212121212
40,2920,0.125,0.28125,0.6545717383447777,0.13793103448275862,25595.949494949495
41,3080,0.125,0.059375,0.6508384531984098,0.27586206896551724,25487.5
42,8438,0.625,0.371875,0.62643055053608,0.48275862068965514,24760.0
43,6096,0.875,0.090625,0.62643055053608,0.13793103448275862,24242.41414141414
44,20659,0.8625,0.12445312500000001,0.9660040958920612,0.13793103448275862,24030.29292929293
45,8988,0.6125,0.621875,0.7059462715335502,0.48275862068965514,23613.333333333332
46,6958,0.1125,0.625,0.62643055053608,0.48275862068965514,23523.333333333332
47,4937,0.625,0.309375,0.7324515118660402,0.13793103448275862,23494.939393939392
48,4929,0.625,0.3125,0.6508384531984098,0.0,22861.51859504132
49,9620,0.875,0.621875,0.62643055053608,0.48275862068965514,22616.666666666668
50,9624,0.875,0.625,0.62643055053608,0.48275862068965514,22413.333333333332
51,10001,0.8625,0.621875,0.62643055053608,0.48275862068965514,22313.333333333332
52,4556,0.6125,0.3125,0.62643055053608,0.27586206896551724,22220.833333333332
53,2683,0.1125,0.139959375,0.96883508011083,0.13793103448275862,21959.60606060606
54,4951,0.625,0.278125,0.7718949524153716,0.13793103448275862,21777.76767676768
55,10624,0.1125,0.934375,0.65293579086857,0.8275862068965517,21776.666666666668
56,6095,0.875,0.09375,0.62643055053608,0.0,21436.002066115703
57,20587,0.6125,0.12445312500000001,0.9660040958920612,0.13793103448275862,20959.60606060606
58,12018,0.375,0.934375,0.7059462715335502,0.8275862068965517,20786.666666666668
59,3939,0.375,0.278125,0.7718949524153716,0.13793103448275862,20777.78787878788
60,5839,0.875,0.0819875,0.8115046379954222,0.13793103448275862,20474.737373737375
61,5563,0.8625,0.309375,0.7324515118660402,0.13793103448275862,20414.151515151516
62,5417,0.8625,0.09375,0.6846187206360679,0.13793103448275862,20333.343434343435
63,3419,0.3625,0.138959375,0.8598602578002649,0.13793103448275862,19838.37373737374
64,2634,0.1125,0.0819875,0.8115046379954222,0.13793103448275862,19757.565656565657
65,2381,0.1125,0.09375,0.6846187206360679,0.13793103448275862,19696.9797979798
66,4658,0.6125,0.0819875,0.8115046379954222,0.13793103448275862,19202.010101010103
67,2407,0.1125,0.138959375,0.8598602578002649,0.13793103448275862,19151.52525252525
68,2509,0.1125,0.278125,0.7718949524153716,0.13793103448275862,19040.39393939394
69,5104,0.625,0.059375,0.6508384531984098,0.13793103448275862,18848.49494949495
70,5097,0.625,0.0625,0.65293579086857,0.27586206896551724,18616.666666666668
71,5467,0.8625,0.163253125,0.8749909649439825,0.13793103448275862,18484.838383838385
72,8438,0.625,0.371875,0.62643055053608,0.3448275862068966,18200.0
73,10626,0.1125,0.934375,0.7059462715335502,0.8275862068965517,17433.333333333332
74,8438,0.625,0.371875,0.62643055053608,0.6206896551724137,16728.0
75,11010,0.125,0.934375,0.7059462715335502,0.8275862068965517,16713.333333333332
76,14184,0.875,0.715625,0.62643055053608,0.8275862068965517,16233.333333333334
77,5402,0.8625,0.067015625,0.7440320443320082,0.13793103448275862,16212.111111111111
78,6958,0.1125,0.625,0.62643055053608,0.6206896551724137,15916.0
79,8610,0.625,0.625,0.62643055053608,0.6206896551724137,15772.0
80,4360,0.6125,0.089403125,0.9134441633538127,0.13793103448275862,15666.656565656565
81,5814,0.875,0.10855624999999999,0.9325864353692326,0.13793103448275862,15656.555555555555
82,13176,0.625,0.715625,0.62643055053608,0.8275862068965517,15476.666666666666
83,4456,0.6125,0.17028125,0.8773762197325623,0.13793103448275862,15404.030303030304
84,3542,0.3625,0.3125,0.6752463558607397,0.13793103448275862,15222.232323232323
85,11485,0.3625,0.715625,0.62643055053608,0.8275862068965517,15206.666666666666
86,9624,0.875,0.625,0.62643055053608,0.6206896551724137,15152.0
87,2658,0.1125,0.10201875,0.9224189856643776,0.13793103448275862,15151.525252525253
88,4405,0.6125,0.09375,0.6846187206360679,0.13793103448275862,15030.29292929293
89,6068,0.875,0.146021875,0.8653776653415252,0.13793103448275862,15030.29292929293
90,12185,0.375,0.684375,0.62643055053608,0.6896551724137931,14501.960784313726
91,2659,0.1125,0.10855624999999999,0.9325864353692326,0.13793103448275862,14333.343434343435
92,13501,0.8625,0.715625,0.62643055053608,0.8275862068965517,14133.333333333334
93,3376,0.3625,0.0625,0.62643055053608,0.27586206896551724,13937.5
94,4930,0.625,0.3125,0.6752463558607397,0.13793103448275862,13767.68686868687
95,11468,0.3625,0.684375,0.62643055053608,0.9655172413793103,13440.74074074074
96,13484,0.8625,0.684375,0.62643055053608,0.9655172413793103,13403.703703703704
97,2873,0.125,0.29007499999999997,0.7915190940850501,0.13793103448275862,13242.434343434343
98,5100,0.625,0.0625,0.62643055053608,0.27586206896551724,13100.0
99,11177,0.125,0.684375,0.62643055053608,0.6896551724137931,13086.274509803921
100,5597,0.8625,0.29007499999999997,0.7915190940850501,0.13793103448275862,13030.29292929293
101,6156,0.875,0.145440625,0.9854234429586796,0.13793103448275862,12858.575757575758
102,4357,0.6125,0.109803125,0.9472834598241175,0.13793103448275862,12515.161616161617
103,3377,0.3625,0.0625,0.7324515118660402,0.0,12313.997933884297
