rank,node_number,x_n,y_n,z_n,t_n,score
1,3375,0.3625,0.0625,0.65293579086857,0.13793103448275862,95989.90909090909
2,4085,0.375,0.0625,0.65293579086857,0.13793103448275862,83080.81818181818
3,2526,0.1125,0.309375,0.7059462715335502,0.13793103448275862,75222.23232323233
4,2908,0.125,0.3125,0.62643055053608,0.13793103448275862,74404.0505050505
5,2910,0.125,0.309375,0.7059462715335502,0.13793103448275862,74030.31313131313
6,4546,0.6125,0.300271875,0.7551740754126008,0.13793103448275862,65808.07070707071
7,3076,0.125,0.0625,0.62643055053608,0.13793103448275862,62020.19191919192
8,3937,0.375,0.28125,0.62643055053608,0.13793103448275862,54353.545454545456
9,4090,0.375,0.059375,0.6996542585230695,0.13793103448275862,52373.72727272727
10,4941,0.625,0.295615625,0.7658836284784966,0.13793103448275862,49828.292929292926
11,5101,0.625,0.059375,0.62643055053608,0.13793103448275862,49555.545454545456
12,4085,0.375,0.0625,0.65293579086857,0.0,46033.00619834711
13,2908,0.125,0.3125,0.62643055053608,0.0,44938.068181818184
14,5944,0.875,0.3125,0.62643055053608,0.0,43357.489669421484
15,4929,0.625,0.3125,0.6508384531984098,0.13793103448275862,39111.121212121216
16,4351,0.6125,0.15274062500000002,0.9902300927599084,0.13793103448275862,37161.62626262626
17,12016,0.375,0.9375,0.62643055053608,0.9655172413793103,34470.37037037037
18,3932,0.375,0.28125,0.6545717383447777,0.13793103448275862,34282.818181818184
19,5955,0.875,0.30485937500000004,0.7440320443320082,0.13793103448275862,34262.61616161616
20,2383,0.1125,0.09375,0.62643055053608,0.13793103448275862,33828.27272727273
21,5403,0.8625,0.071603125,0.7551740754126008,0.13793103448275862,32555.545454545456
22,5100,0.625,0.0625,0.62643055053608,0.0,30857.489669421488
23,3528,0.3625,0.28125,0.6545717383447777,0.13793103448275862,29282.81818181818
24,7425,0.375,0.375,0.7059462715335502,0.48275862068965514,28623.333333333332
25,11010,0.125,0.934375,0.7059462715335502,0.9655172413793103,27262.962962962964
26,4092,0.375,0.059375,0.6508384531984098,0.27586206896551724,27145.833333333332
27,3060,0.125,0.090625,0.62643055053608,0.13793103448275862,26080.81818181818
28,3080,0.125,0.059375,0.6508384531984098,0.27586206896551724,25570.833333333332
29,8438,0.625,0.371875,0.62643055053608,0.48275862068965514,24746.666666666668
30,4551,0.6125,0.309375,0.7324515118660402,0.13793103448275862,24030.29292929293
31,4937,0.625,0.309375,0.7324515118660402,0.13793103448275862,23494.939393939392
32,4556,0.6125,0.3125,0.62643055053608,0.27586206896551724,22250.0
33,2683,0.1125,0.139959375,0.96883508011083,0.13793103448275862,22030.31313131313
34,2905,0.125,0.3125,0.6508384531984098,0.0,21260.278925619834
35,20517,0.3625,0.12445312500000001,0.9660040958920612,0.13793103448275862,21191.909090909092
36,20587,0.6125,0.12445312500000001,0.9660040958920612,0.13793103448275862,20989.909090909092
37,3939,0.375,0.278125,0.7718949524153716,0.13793103448275862,20808.090909090908
38,5563,0.8625,0.309375,0.7324515118660402,0.13793103448275862,20424.252525252527
39,5104,0.625,0.059375,0.6508384531984098,0.13793103448275862,18989.909090909092
40,5097,0.625,0.0625,0.65293579086857,0.27586206896551724,18670.833333333332
41,2945,0.125,0.246875,0.62643055053608,0.13793103448275862,18010.090909090908
42,10631,0.1125,0.9375,0.6508384531984098,0.9655172413793103,17237.037037037036
43,3006,0.125,0.17028125,0.8773762197325623,0.13793103448275862,15646.454545454546
44,3918,0.375,0.3125,0.6752463558607397,0.13793103448275862,15414.131313131313
45,3542,0.3625,0.3125,0.6752463558607397,0.13793103448275862,15212.131313131313
46,2658,0.1125,0.10201875,0.9224189856643776,0.13793103448275862,15171.727272727272
47,9624,0.875,0.625,0.62643055053608,0.6206896551724137,15160.0
48,3885,0.375,0.29007499999999997,0.7915190940850501,0.13793103448275862,14626.252525252525
49,2659,0.1125,0.10855624999999999,0.9325864353692326,0.13793103448275862,14353.545454545454
50,4930,0.625,0.3125,0.6752463558607397,0.13793103448275862,13757.585858585859
51,2873,0.125,0.29007499999999997,0.7915190940850501,0.13793103448275862,13282.838383838383
52,5100,0.625,0.0625,0.62643055053608,0.27586206896551724,13091.666666666666
53,4384,0.6125,0.059375,0.62643055053608,0.0,11704.597107438016
54,2528,0.1125,0.309375,0.62643055053608,0.48275862068965514,11560.0
55,9158,0.6125,0.371875,0.6508384531984098,0.48275862068965514,10956.666666666666
56,17995,0.6125,0.0931125,0.9203228526683531,0.13793103448275862,10353.545454545454
57,4575,0.6125,0.3390625,0.6552355137935189,0.0,10321.229338842975
58,3902,0.375,0.3390625,0.6552355137935189,0.0,10321.229338842975
59,4153,0.375,0.325428125,0.7905914950006022,0.0,10291.373966942148
60,19298,0.375,0.10253125,0.9362968317070233,0.13793103448275862,10282.838383838383
61,5339,0.8625,0.32008749999999997,0.822816528129141,0.13793103448275862,10080.79797979798
62,2724,0.125,0.16485,0.9839657872545476,0.0,10023.70867768595
63,1956,0.8125,0.0,0.6023370678231538,0.0,10023.70867768595
64,5423,0.8625,0.114709375,0.8335742681604624,0.0,9921.539256198346
65,2990,0.125,0.1875,0.8289001325141548,0.0,9919.473140495867
66,9469,0.875,0.403125,0.62643055053608,0.13793103448275862,9897.9898989899
67,4381,0.6125,0.059375,0.6752463558607397,0.0,9845.092975206611
68,3921,0.375,0.309375,0.62643055053608,0.48275862068965514,9820.0
69,2232,0.1125,0.1875,0.979604866883508,0.13793103448275862,9798.979797979799
70,2626,0.1125,0.059375,0.7872545476448619,0.13793103448275862,9793.949494949495
71,4089,0.375,0.059375,0.62643055053608,0.0,9752.11776859504
72,4225,0.375,0.2045125,0.9166606432959884,0.0,9714.927685950413
73,7885,0.3625,0.36974999999999997,0.7330092759908444,0.13793103448275862,9708.09090909091
74,23225,0.6487375,0.17905625,0.9875316226960605,0.13793103448275862,9704.050505050505
75,4312,0.6125,0.28125,0.8148897723165883,0.0,9512.448347107438
76,18084,0.6548125,0.0942875,0.9224189856643776,0.13793103448275862,9497.969696969696
77,22594,0.8625,0.20878125,0.9832791229972292,0.13793103448275862,9397.969696969696
78,21241,0.375,0.24936250000000001,0.9637754487411154,0.0,9308.832644628099
79,2531,0.1125,0.3125,0.6508384531984098,0.27586206896551724,9308.333333333334
80,4137,0.375,0.109803125,0.9472834598241175,0.0,9283.006198347108
81,1037,0.125,0.109375,0.6023370678231538,0.0,9270.609504132231
82,5078,0.625,0.09375,0.655524635586074,0.0,9258.316115702479
83,2933,0.125,0.257165625,0.8335742681604624,0.0,9258.212809917355
84,5667,0.8625,0.04685281249999999,0.7463052644259728,0.0,9228.357438016528
85,4576,0.6125,0.33519375,0.6691205878809782,0.0,9227.221074380166
86,4926,0.625,0.327909375,0.6778038790507167,0.0,9197.36570247934
87,2547,0.1125,0.31889687499999997,0.7209938561619081,0.0,9194.26652892562
