rank,node_number,x_n,y_n,z_n,t_n,score
1,13025,0.625,0.934375,0.62643055053608,0.8275862068965517,25495.833333333332
2,3077,0.125,0.059375,0.62643055053608,0.0,25246.89566337484
3,6113,0.875,0.059375,0.62643055053608,0.0,23769.866895663374
4,5396,0.8625,0.059375,0.62643055053608,0.13793103448275862,23457.14285714286
5,3077,0.125,0.059375,0.62643055053608,0.13793103448275862,23300.0
6,4087,0.375,0.0625,0.7059462715335502,0.13793103448275862,20361.904761904763
7,14034,0.875,0.934375,0.7059462715335502,0.8275862068965517,17329.166666666668
8,4384,0.6125,0.059375,0.62643055053608,0.27586206896551724,16140.0
9,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,14880.0
10,2360,0.1125,0.059375,0.62643055053608,0.27586206896551724,14325.0
11,12648,0.6125,0.9375,0.62643055053608,0.6896551724137931,10869.158878504673
12,11008,0.125,0.9375,0.62643055053608,0.6896551724137931,10070.093457943925
13,2363,0.1125,0.0625,0.65293579086857,0.13793103448275862,9609.52380952381
14,4932,0.625,0.3125,0.62643055053608,0.13793103448275862,9147.619047619048
15,5104,0.625,0.059375,0.6508384531984098,0.0,8595.955345641907
16,3395,0.3625,0.09375,0.62643055053608,0.0,8575.36281665951
17,5547,0.8625,0.278125,0.62643055053608,0.0,8177.76728209532
18,2337,0.1125,0.0828125,0.9004216359474762,0.0,8077.294976384715
19,4092,0.375,0.059375,0.6508384531984098,0.13793103448275862,8047.619047619048
20,2528,0.1125,0.309375,0.62643055053608,0.0,7781.013310433663
21,4550,0.6125,0.309375,0.7059462715335502,0.0,7650.502361528553
22,7127,0.1125,0.371875,0.62643055053608,0.48275862068965514,7622.727272727273
23,3445,0.3625,0.17732187500000002,0.8788820624021202,0.0,7610.983254615715
24,3776,0.375,0.131390625,0.8653294783760993,0.0,7568.063546586518
25,3116,0.125,0.17483437500000001,0.9989157932779182,0.0,7519.098325461571
26,4540,0.6125,0.28125,0.6545717383447777,0.0,7506.217260626879
27,4348,0.6125,0.17483437500000001,0.9989157932779182,0.0,7505.375697724346
28,16024,0.625,0.31815625000000003,0.828538730273461,0.0,7398.03349076857
29,4353,0.6125,0.1381875,0.9796651005902903,0.0,7372.254186346071
30,2296,0.1125,0.325428125,0.7905914950006022,0.0,7337.06311721769
31,3725,0.3625,0.17785625,0.9873750150584266,0.0,7325.882352941177
32,4934,0.625,0.309375,0.7059462715335502,0.0,7180.755689136969
33,5800,0.875,0.131390625,0.8653294783760993,0.0,7139.536281665951
34,3368,0.3625,0.059375,0.6508384531984098,0.13793103448275862,7128.571428571428
35,2638,0.1125,0.0818,0.7915190940850501,0.0,7076.006869901245
36,5064,0.625,0.125,0.62643055053608,0.0,7056.255903821382
37,4237,0.6125,0.126028125,0.8534754848813396,0.0,7027.917561185058
38,4236,0.625,0.126028125,0.8534754848813396,0.0,6991.8334048948045
39,2636,0.1125,0.068996875,0.8251897361763642,0.0,6985.839416058394
40,2359,0.1125,0.059375,0.7240621611853992,0.0,6978.952340060112
41,3512,0.3625,0.25,0.62643055053608,0.0,6975.517389437527
42,3695,0.3625,0.139959375,0.96883508011083,0.0,6947.179046801202
43,4700,0.6125,0.131390625,0.8653294783760993,0.0,6939.450407900386
44,4788,0.625,0.131390625,0.8653294783760993,0.0,6893.078574495492
