regime_key,case_name,residual_csv_path,events_csv_path,n_candidates,k,n_events_written,n_missing_coord_nodes_skipped,tau_rel,tau_abs,p,kmin,kmax,status
G1_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_1and3line_3_arc_78910\events_topk.csv,100226,3007,3007,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\Ip_1track_1_arc_345\events_topk.csv,50402,1512,1512,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_2_arc_all_tracks_222\events_topk.csv,42164,1265,1265,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_3track_1_arc_678\events_topk.csv,69164,2075,2075,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_first_track_3arc_78910\events_topk.csv,79214,2376,2376,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,52566,1577,1577,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_1and3line_3_arc_78910\events_topk.csv,105240,3157,3157,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\Ip_1track_1_arc_345\events_topk.csv,54711,1641,1641,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_2_arc_all_tracks_222\events_topk.csv,39820,1195,1195,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_3track_1_arc_678\events_topk.csv,74068,2222,2222,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_first_track_3arc_78910\events_topk.csv,85425,2563,2563,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,41136,1234,1234,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_1and3line_3_arc_78910\events_topk.csv,97991,2940,2940,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\Ip_1track_1_arc_345\events_topk.csv,49480,1484,1484,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_2_arc_all_tracks_222\events_topk.csv,43525,1306,1306,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_3track_1_arc_678\events_topk.csv,66449,1993,1993,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_first_track_3arc_78910\events_topk.csv,76360,2291,2291,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,50464,1514,1514,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_1and3line_3_arc_78910\events_topk.csv,102228,3067,3067,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\Ip_1track_1_arc_345\events_topk.csv,51002,1530,1530,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_2_arc_all_tracks_222\events_topk.csv,42055,1262,1262,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_3track_1_arc_678\events_topk.csv,72270,2168,2168,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_first_track_3arc_78910\events_topk.csv,81780,2453,2453,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,48578,1457,1457,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\ip_1and3line_3_arc_78910\events_topk.csv,101960,3059,3059,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\Ip_1track_1_arc_345\events_topk.csv,50841,1525,1525,0,3.0,0.0,0.03,1000,10000,OK
