Entity	 X(mm)	 Y(mm)	 Z(mm)	Node ID	Body
"25041 Nodes, Summary"	29.532	149.9	16.453		
Mesh Node 1	65	305.5	-3.57E-25	1	SYS\Solid1
Mesh Node 2	60	305.5	-3.57E-25	2	SYS\Solid1
Mesh Node 3	55	305.5	-3.57E-25	3	SYS\Solid1
Mesh Node 4	50	305.5	-3.57E-25	4	SYS\Solid1
Mesh Node 5	45	305.5	-3.57E-25	5	SYS\Solid1
Mesh Node 6	40	305.5	-3.57E-25	6	SYS\Solid1
Mesh Node 7	35	305.5	-3.57E-25	7	SYS\Solid1
Mesh Node 8	30	305.5	-3.57E-25	8	SYS\Solid1
Mesh Node 9	25	305.5	-3.57E-25	9	SYS\Solid1
Mesh Node 10	20	305.5	-3.57E-25	10	SYS\Solid1
Mesh Node 11	15	305.5	-3.57E-25	11	SYS\Solid1
Mesh Node 12	10	305.5	-3.57E-25	12	SYS\Solid1
Mesh Node 13	5	305.5	-3.57E-25	13	SYS\Solid1
Mesh Node 14	-3.51E-14	305.5	-3.57E-25	14	SYS\Solid1
Mesh Node 15	-5	305.5	-3.57E-25	15	SYS\Solid1
Mesh Node 16	65	300.5	-3.49E-25	16	SYS\Solid1
Mesh Node 17	60	300.5	-3.49E-25	17	SYS\Solid1
Mesh Node 18	55	300.5	-3.49E-25	18	SYS\Solid1
Mesh Node 19	50	300.5	-3.49E-25	19	SYS\Solid1
Mesh Node 20	45	300.5	-3.49E-25	20	SYS\Solid1
Mesh Node 21	40	300.5	-3.49E-25	21	SYS\Solid1
Mesh Node 22	35	300.5	-3.49E-25	22	SYS\Solid1
Mesh Node 23	30	300.5	-3.49E-25	23	SYS\Solid1
Mesh Node 24	25	300.5	-3.49E-25	24	SYS\Solid1
Mesh Node 25	20	300.5	-3.49E-25	25	SYS\Solid1
Mesh Node 26	15	300.5	-3.49E-25	26	SYS\Solid1
Mesh Node 27	10	300.5	-3.49E-25	27	SYS\Solid1
Mesh Node 28	5	300.5	-3.49E-25	28	SYS\Solid1
Mesh Node 29	7.81E-15	300.5	-3.49E-25	29	SYS\Solid1
Mesh Node 30	-5	300.5	-3.49E-25	30	SYS\Solid1
Mesh Node 31	65	295.5	-3.41E-25	31	SYS\Solid1
Mesh Node 32	60	295.5	-3.41E-25	32	SYS\Solid1
Mesh Node 33	55	295.5	-3.41E-25	33	SYS\Solid1
Mesh Node 34	50	295.5	-3.41E-25	34	SYS\Solid1
Mesh Node 35	45	295.5	-3.41E-25	35	SYS\Solid1
Mesh Node 36	40	295.5	-3.41E-25	36	SYS\Solid1
Mesh Node 37	35	295.5	-3.41E-25	37	SYS\Solid1
Mesh Node 38	30	295.5	-3.41E-25	38	SYS\Solid1
Mesh Node 39	25	295.5	-3.41E-25	39	SYS\Solid1
Mesh Node 40	20	295.5	-3.41E-25	40	SYS\Solid1
Mesh Node 41	15	295.5	-3.41E-25	41	SYS\Solid1
Mesh Node 42	10	295.5	-3.41E-25	42	SYS\Solid1
Mesh Node 43	5	295.5	-3.41E-25	43	SYS\Solid1
Mesh Node 44	3.47E-15	295.5	-3.41E-25	44	SYS\Solid1
Mesh Node 45	-5	295.5	-3.41E-25	45	SYS\Solid1
