Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0
1,-63331500.0,-74751900.0,-63491300.0,325200.0,-66000.0,-68300.0,14995000.0,82483000.0,14666000.0,270900.0
2,-61177900.0,-60184900.0,-61186100.0,315800.0,-58000.0,-59900.0,3364000.0,90416000.0,2722000.0,258200.0
3,-62673500.0,-56843100.0,-62651800.0,317100.0,-54000.0,-56500.0,1846000.0,94749000.0,1040000.0,255900.0
4,-63926000.0,-57521500.0,-63907300.0,323200.0,-50000.0,-53300.0,2296000.0,93815000.0,1449000.0,256600.0
5,-63623300.0,-63772200.0,-63597500.0,325000.0,-44000.0,-47900.0,1740000.0,100832000.0,942000.0,256500.0
6,-62763700.0,-72869300.0,-62751400.0,325600.0,-42000.0,-45300.0,2000000.0,109448000.0,1334000.0,256200.0
7,-59346700.0,-72937500.0,-59369700.0,329300.0,-41000.0,-44000.0,178000.0,108865000.0,-358000.0,256900.0
8,-53156500.0,-61556400.0,-53207200.0,337100.0,-38000.0,-41100.0,-5904000.0,95063000.0,-6405000.0,258800.0
9,-46868700.0,-47998400.0,-46924500.0,339200.0,-32000.0,-34900.0,-12115000.0,83540000.0,-12622000.0,259600.0
10,-43556100.0,-40657100.0,-43618700.0,339700.0,-28000.0,-31500.0,-16850000.0,77261000.0,-17441000.0,261000.0
11,-42590500.0,-38344300.0,-42669700.0,342900.0,-27000.0,-30000.0,-19123000.0,75403000.0,-19818000.0,263600.0
12,-42851300.0,-38316700.0,-42951100.0,350200.0,-24000.0,-28100.0,-18766000.0,73523000.0,-19501000.0,266700.0
13,-43472700.0,-42138500.0,-43595600.0,354500.0,-20000.0,-24100.0,-17545000.0,77096000.0,-18214000.0,268500.0
14,-47123100.0,-54376900.0,-47309000.0,362400.0,-19000.0,-22100.0,-11039000.0,80444000.0,-11500000.0,273000.0
15,-56342200.0,-77422900.0,-56667800.0,384700.0,-18000.0,-21500.0,7594000.0,81282000.0,7431000.0,288600.0
16,-159966200.0,-286944800.0,-161167000.0,676900.0,-115000.0,-121200.0,126580000.0,148360000.0,127120000.0,491900.0
17,-160173800.0,-291263400.0,-161329000.0,641200.0,-105000.0,-109300.0,130530000.0,163490000.0,131090000.0,459000.0
18,-166021100.0,-303426400.0,-167192400.0,657700.0,-103000.0,-107600.0,136440000.0,176660000.0,137030000.0,441500.0
19,-169079500.0,-309725300.0,-170268400.0,674600.0,-95000.0,-100100.0,139170000.0,182440000.0,139770000.0,433000.0
20,-164830100.0,-301350200.0,-165992800.0,672700.0,-84000.0,-88200.0,134640000.0,173800000.0,135230000.0,434600.0
21,-155737100.0,-283463400.0,-156867700.0,653300.0,-78000.0,-81900.0,125750000.0,156760000.0,126310000.0,439300.0
22,-150141900.0,-272112100.0,-151305900.0,670800.0,-80000.0,-85300.0,119810000.0,143670000.0,120390000.0,440000.0
23,-143511300.0,-258699400.0,-144711000.0,692500.0,-73000.0,-79100.0,112910000.0,128890000.0,113520000.0,441500.0
24,-134858000.0,-241723700.0,-136040800.0,692300.0,-61000.0,-67900.0,104570000.0,113200000.0,105160000.0,443700.0
25,-127276500.0,-227381900.0,-128417100.0,673200.0,-56000.0,-61700.0,97420000.0,100880000.0,97990000.0,442800.0
26,-129289800.0,-231420300.0,-130473500.0,694500.0,-56000.0,-62300.0,99180000.0,104010000.0,99780000.0,442800.0
27,-131522100.0,-235996500.0,-132740200.0,718600.0,-51000.0,-57900.0,101520000.0,108270000.0,102150000.0,448100.0
28,-130707800.0,-234783300.0,-131925800.0,725700.0,-44000.0,-50200.0,100900000.0,106960000.0,101530000.0,462300.0
29,-128800500.0,-230775700.0,-130001500.0,719500.0,-39000.0,-44900.0,98840000.0,101520000.0,99440000.0,484500.0
30,-135401000.0,-239650200.0,-136647500.0,769000.0,-38000.0,-44000.0,101640000.0,99320000.0,102230000.0,522800.0
31,-208907900.0,-380142000.0,-210631600.0,986000.0,-156000.0,-165000.0,169840000.0,235940000.0,170870000.0,558700.0
32,-216368300.0,-397765000.0,-218166300.0,1024000.0,-146000.0,-155000.0,179890000.0,260080000.0,181020000.0,510600.0
33,-214018700.0,-393777000.0,-215735100.0,983000.0,-146000.0,-153000.0,178240000.0,258820000.0,179340000.0,514600.0
34,-212504600.0,-390675000.0,-214178400.0,979000.0,-133000.0,-140000.0,175950000.0,254970000.0,177020000.0,512000.0
35,-212213700.0,-389726000.0,-213913200.0,1003000.0,-119000.0,-127000.0,175780000.0,254080000.0,176860000.0,514200.0
36,-213747000.0,-392468000.0,-215544300.0,1068000.0,-107000.0,-117000.0,177300000.0,256080000.0,178440000.0,502200.0
37,-202171300.0,-370835000.0,-203917300.0,1023000.0,-107000.0,-116000.0,167240000.0,238700000.0,168340000.0,520400.0
38,-194734500.0,-356591000.0,-196438300.0,1018000.0,-91000.0,-101000.0,160400000.0,226560000.0,161480000.0,525400.0
39,-192052500.0,-350871000.0,-193781400.0,1046000.0,-76000.0,-86000.0,157360000.0,219490000.0,158470000.0,537400.0
40,-197173900.0,-359965000.0,-198981100.0,1118000.0,-55000.0,-66000.0,160880000.0,223850000.0,162040000.0,529600.0
41,-189326200.0,-345941000.0,-191072600.0,1065000.0,-62000.0,-73000.0,152900000.0,210030000.0,154030000.0,542300.0
