regime_key,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0
G1_S_H,10000.0,10000.0,10000.0,11000.0,12300.0,10000.0,13300.0,18000.0,12000.0,8700.0
G1_S_L,7935.0,10000.0,7700.0,9000.0,10000.0,9000.0,10100.0,11200.0,10000.0,8200.0
G1_W_H,9500.0,11000.0,10000.0,12000.0,14000.0,12000.0,14000.0,16000.0,14000.0,10000.0
G1_W_L,7000.0,10000.0,9000.0,10000.0,11000.0,10000.0,10700.0,12000.0,10600.0,9000.0
G2_S_H,10000.0,10000.0,10000.0,10000.0,11000.0,10000.0,12000.0,13980.0,12000.0,8200.0
G2_S_L,7900.0,9000.0,7600.0,8800.0,10000.0,8200.0,10000.0,10000.0,9400.0,7900.0
G2_W_H,9000.0,10000.0,10000.0,11000.0,13000.0,11000.0,13000.0,15000.0,13000.0,9100.0
G2_W_L,7000.0,10000.0,9000.0,10000.0,10140.0,10000.0,10600.0,11500.0,10000.0,9000.0
G3_S_H,30000.0,40000.0,31000.0,26000.0,34000.0,28000.0,34000.0,41000.0,36000.0,20000.0
G3_S_L,9000.0,10000.0,9000.0,10000.0,10000.0,10000.0,10000.0,12000.0,10000.0,7000.0
G3_W_H,10000.0,18000.0,12000.0,13000.0,17000.0,12000.0,15000.0,20000.0,15000.0,8500.0
G3_W_L,9000.0,12000.0,10000.0,10000.0,11000.0,10000.0,11000.0,13000.0,11000.0,8000.0
G4_S_H,586029200.0,690000000.0,660000000.0,719125000.0,869899000.0,800000000.0,580536300.0,620000000.0,603000000.0,429700000.0
G4_S_L,560000000.0,628000000.0,607750000.0,615004650.0,720000000.0,615000000.0,538896600.0,550000000.0,550000000.0,419830140.0
G4_W_H,660000000.0,820000000.0,770000000.0,760000000.0,900000000.0,840000000.0,690150500.0,741936900.0,703861300.0,603242000.0
G4_W_L,590000000.0,732299500.0,671000000.0,670000000.0,750000000.0,680000000.0,593000000.0,602000000.0,610000000.0,544700000.0
