regime_key,case_name,residual_csv_path,candidate_count_equivalent_only,tau_rel,tau_abs
G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,234086,5.0,0.0
G4_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_first_track_3arc_78910\stress_residual.csv,207948,5.0,0.0
G4_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,207948,5.0,0.0
G4_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_first_track_3arc_78910\stress_residual.csv,204745,5.0,0.0
G4_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,204744,5.0,0.0
G4_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_first_track_3arc_78910\stress_residual.csv,204575,5.0,0.0
G4_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,204575,5.0,0.0
G4_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,198522,5.0,0.0
G4_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_first_track_3arc_78910\stress_residual.csv,198522,5.0,0.0
G2_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,92309,5.0,0.0
G1_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,90743,5.0,0.0
G3_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,90183,5.0,0.0
G2_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,88370,5.0,0.0
G1_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,87886,5.0,0.0
G3_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,87524,5.0,0.0
G2_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,87042,5.0,0.0
G1_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,84966,5.0,0.0
G2_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,84532,5.0,0.0
G1_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,82304,5.0,0.0
G3_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,79669,5.0,0.0
G2_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_first_track_3arc_78910\stress_residual.csv,70398,5.0,0.0
G3_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_first_track_3arc_78910\stress_residual.csv,69108,5.0,0.0
G1_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_first_track_3arc_78910\stress_residual.csv,68859,5.0,0.0
G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv,66001,5.0,0.0
G3_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_first_track_3arc_78910\stress_residual.csv,65923,5.0,0.0
G1_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_first_track_3arc_78910\stress_residual.csv,65513,5.0,0.0
G2_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_first_track_3arc_78910\stress_residual.csv,64669,5.0,0.0
G1_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_first_track_3arc_78910\stress_residual.csv,63145,5.0,0.0
G4_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,62914,5.0,0.0
G2_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_first_track_3arc_78910\stress_residual.csv,62510,5.0,0.0
G4_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,61557,5.0,0.0
G1_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_first_track_3arc_78910\stress_residual.csv,60505,5.0,0.0
G4_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,60479,5.0,0.0
G2_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_3track_1_arc_678\stress_residual.csv,59617,5.0,0.0
G3_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_first_track_3arc_78910\stress_residual.csv,59613,5.0,0.0
G3_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_3track_1_arc_678\stress_residual.csv,59387,5.0,0.0
G4_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,58546,5.0,0.0
G1_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_3track_1_arc_678\stress_residual.csv,58422,5.0,0.0
G3_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_3track_1_arc_678\stress_residual.csv,58226,5.0,0.0
G1_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_3track_1_arc_678\stress_residual.csv,57429,5.0,0.0
G3_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,57066,5.0,0.0
G2_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_3track_1_arc_678\stress_residual.csv,56346,5.0,0.0
G2_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_3track_1_arc_678\stress_residual.csv,54782,5.0,0.0
G1_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_3track_1_arc_678\stress_residual.csv,54519,5.0,0.0
G2_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_3track_1_arc_678\stress_residual.csv,52881,5.0,0.0
G1_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_3track_1_arc_678\stress_residual.csv,51931,5.0,0.0
G3_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_3track_1_arc_678\stress_residual.csv,51596,5.0,0.0
G4_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_3track_1_arc_678\stress_residual.csv,42531,5.0,0.0
G4_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_3track_1_arc_678\stress_residual.csv,40859,5.0,0.0
G1_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,40293,5.0,0.0
G4_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_3track_1_arc_678\stress_residual.csv,40071,5.0,0.0
G1_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\Ip_1track_1_arc_345\stress_residual.csv,39410,5.0,0.0
G2_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\Ip_1track_1_arc_345\stress_residual.csv,39392,5.0,0.0
G4_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_3track_1_arc_678\stress_residual.csv,38985,5.0,0.0
G3_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\Ip_1track_1_arc_345\stress_residual.csv,38714,5.0,0.0
G3_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\Ip_1track_1_arc_345\stress_residual.csv,37838,5.0,0.0
G1_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,37551,5.0,0.0
G3_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_first_track_3arc_78910\stress_residual.csv,37279,5.0,0.0
G1_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\Ip_1track_1_arc_345\stress_residual.csv,37187,5.0,0.0
G2_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\Ip_1track_1_arc_345\stress_residual.csv,36818,5.0,0.0
G3_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,36478,5.0,0.0
G3_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,36317,5.0,0.0
G2_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\Ip_1track_1_arc_345\stress_residual.csv,35741,5.0,0.0
G1_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\Ip_1track_1_arc_345\stress_residual.csv,35422,5.0,0.0
G1_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\Ip_1track_1_arc_345\stress_residual.csv,35407,5.0,0.0
G1_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,35380,5.0,0.0
G4_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\Ip_1track_1_arc_345\stress_residual.csv,34903,5.0,0.0
G4_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\Ip_1track_1_arc_345\stress_residual.csv,34627,5.0,0.0
G2_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\Ip_1track_1_arc_345\stress_residual.csv,34418,5.0,0.0
G3_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\Ip_1track_1_arc_345\stress_residual.csv,33848,5.0,0.0
G4_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\Ip_1track_1_arc_345\stress_residual.csv,33775,5.0,0.0
G4_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\Ip_1track_1_arc_345\stress_residual.csv,33659,5.0,0.0
G4_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,32401,5.0,0.0
G2_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,32391,5.0,0.0
G2_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,32181,5.0,0.0
G4_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,30837,5.0,0.0
