column,mean_n_nonzero_absdev,median_n_nonzero_absdev,min_n_nonzero_absdev,max_n_nonzero_absdev,mean_scale_used,median_scale_used,min_scale_used,max_scale_used,floored_regime_count,regimes_present,rank_by_mean_nonzero_absdev,rank_by_mean_scale_used
Residual_ShearStress_YZ_t3p0,138155.25,137623.5,132900,146196,8048247.0184375,1140.0,890.0,46000000.0,0,16,1,20
Residual_ShearStress_XZ_t3p0,135573.5625,133784.5,128550,146196,3157171.1320312503,402.96875,307.0,17220057.8,8,16,2,40
Residual_ShearStress_YZ_t1p9,135278.0625,132981.0,126182,146196,19396706.84375,1200.0,1000.0,101686100.0,0,16,3,13
Residual_ShearStress_YZ_t1p1,134575.5625,131892.5,125805,146161,19047011.15625,1200.0,1000.0,100000000.0,0,16,4,14
Residual_ShearStress_YZ_t1p5,132614.375,130238.5,119963,145893,22625995.34375,1350.0,1000.0,110000000.0,0,16,5,11
Residual_ShearStress_XZ_t1p1,132503.8125,129530.0,124099,146016,4412808.03125,439.25,320.0,23400000.0,1,16,6,32
Residual_ShearStress_YZ_t0p1,132321.375,130324.0,118327,146196,15085626.875,1010.0,990.0,74814850.0,0,16,7,19
Residual_ShearStress_XZ_t1p9,132314.125,130619.0,122088,145985,4875301.578125,408.125,310.0,24600000.0,1,16,8,28
Residual_ShearStress_YZ_t0p9,132157.3125,130111.5,118121,146196,16563970.6875,1100.0,970.0,83001955.0,0,16,9,16
Residual_ShearStress_XY_t3p0,132056.125,133077.0,117909,146196,3157310.523559375,720.0,370.0,17220057.8,4,16,10,39
Residual_ShearStress_YZ_t2p1,131452.0625,127644.0,121963,146196,15150563.3125,1525.0,1100.0,79890290.0,0,16,11,17
Residual_ShearStress_YZ_t2p9,131413.125,128145.0,120290,146196,15127335.40625,1450.0,1100.0,83092710.0,0,16,12,18
Residual_ShearStress_XZ_t2p1,131082.6875,127275.5,121835,146196,3625105.978125,500.0,370.0,21300000.0,0,16,13,37
Residual_ShearStress_XZ_t1p5,130426.5,126923.0,118033,146127,6410315.40625,495.0,350.0,37000000.0,0,16,14,22
Residual_ShearStress_XZ_t2p9,130414.0625,126854.0,120542,146196,4030960.965625,500.0,360.0,28000000.0,0,16,15,35
Residual_ShearStress_XZ_t0p1,130321.75,128152.5,116653,145969,3381537.63859375,400.0,300.0,17600000.0,7,16,16,38
Residual_ShearStress_XZ_t0p9,129828.125,127088.0,116234,146051,3856541.67375,400.0,300.0,20900000.0,6,16,17,36
Residual_ShearStress_YZ_t0p5,129663.3125,127767.5,111932,146180,19713445.625,1250.0,1000.0,96000000.0,0,16,18,12
Residual_ShearStress_XY_t1p9,129522.375,129901.0,115825,146074,5717059.125,700.0,386.0,29800000.0,0,16,19,24
Residual_EquivalentStress_t3p0,129344.5625,123513.0,120989,146196,124849108.75,9000.0,7000.0,603242000.0,0,16,20,10
Residual_ShearStress_XY_t1p1,129121.375,128679.5,116981,146033,5394171.75,675.0,398.0,29400000.0,0,16,21,26
Residual_ShearStress_XZ_t0p5,128420.6875,125301.0,113868,146082,5212829.375,435.0,300.0,29500000.0,0,16,22,27
Residual_ShearStress_YZ_t2p5,128375.375,125610.0,113657,146023,17205575.621875,1740.0,1166.5,86990100.0,0,16,23,15
Residual_ShearStress_XY_t2p1,128262.125,127035.0,116465,145727,4669262.14375,839.65,400.0,29000000.0,0,16,24,31
Residual_ShearStress_XY_t1p5,128139.4375,126956.5,112928,145961,7823007.8125,770.0,400.0,42000000.0,0,16,25,21
Residual_ShearStress_XZ_t2p5,128061.75,124003.0,116724,145888,4832793.125,570.0,400.0,28000000.0,0,16,26,30
Residual_ShearStress_XY_t2p9,127986.125,126502.5,116472,145655,4844107.5287500005,830.0,400.0,30800000.0,0,16,27,29
Residual_ShearStress_XY_t0p1,127581.1875,128442.0,113071,146014,4112897.5,500.0,400.0,21200660.0,0,16,28,34
Residual_ShearStress_XY_t0p9,127091.6875,127295.0,112340,146033,4344152.5,600.0,330.0,22300000.0,0,16,29,33
Residual_ShearStress_XY_t2p5,126142.4375,123057.0,113331,146061,5644310.0,935.0,420.0,32000000.0,0,16,30,25
Residual_ShearStress_XY_t0p5,125972.8125,124392.0,110901,146083,6342530.625,700.0,390.0,37000000.0,0,16,31,23
Residual_EquivalentStress_t1p9,125969.4375,120917.0,112349,146181,183446262.5,10500.0,8200.0,840000000.0,0,16,32,2
Residual_EquivalentStress_t1p1,125771.5,120690.5,113296,146196,172766903.125,11000.0,8800.0,760000000.0,0,16,33,4
Residual_EquivalentStress_t0p1,124330.25,118564.5,107608,146196,149759720.9375,9750.0,7000.0,660000000.0,0,16,34,9
Residual_EquivalentStress_t2p1,124133.875,117844.5,112666,146196,150171693.75,13150.0,10000.0,690150500.0,0,16,35,8
Residual_EquivalentStress_t2p9,124090.6875,118184.5,110446,146196,154189018.75,12500.0,9400.0,703861300.0,0,16,36,7
Residual_EquivalentStress_t1p5,123738.5,119221.5,108828,144860,202503902.5,12650.0,10000.0,900000000.0,0,16,37,1
Residual_EquivalentStress_t0p9,123641.0625,117058.0,107078,146190,169305331.25,10000.0,7600.0,770000000.0,0,16,38,5
Residual_EquivalentStress_t0p5,121461.0,114705.5,102982,146196,179403718.75,10500.0,9000.0,820000000.0,0,16,39,3
Residual_EquivalentStress_t2p5,121304.625,114960.0,105758,146196,157133161.25,15500.0,10000.0,741936900.0,0,16,40,6
