sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path
1,0,Ip_1track_1_arc_345,G1_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\Ip_1track_1_arc_345\events_topk.csv,1516,50541,1516,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\Ip_1track_1_arc_345\stress_residual.csv
2,0,Ip_1track_1_arc_345,G1_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\Ip_1track_1_arc_345\events_topk.csv,1641,54716,1641,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\Ip_1track_1_arc_345\stress_residual.csv
3,0,Ip_1track_1_arc_345,G1_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\Ip_1track_1_arc_345\events_topk.csv,1486,49546,1486,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\Ip_1track_1_arc_345\stress_residual.csv
4,0,Ip_1track_1_arc_345,G1_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\Ip_1track_1_arc_345\events_topk.csv,1537,51243,1537,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\Ip_1track_1_arc_345\stress_residual.csv
5,0,Ip_1track_1_arc_345,G2_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\Ip_1track_1_arc_345\events_topk.csv,1536,51188,1536,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\Ip_1track_1_arc_345\stress_residual.csv
6,0,Ip_1track_1_arc_345,G2_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\Ip_1track_1_arc_345\events_topk.csv,1646,54882,1646,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\Ip_1track_1_arc_345\stress_residual.csv
7,0,Ip_1track_1_arc_345,G2_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\Ip_1track_1_arc_345\events_topk.csv,1473,49090,1473,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\Ip_1track_1_arc_345\stress_residual.csv
8,0,Ip_1track_1_arc_345,G2_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\Ip_1track_1_arc_345\events_topk.csv,1528,50924,1528,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\Ip_1track_1_arc_345\stress_residual.csv
9,0,Ip_1track_1_arc_345,G3_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\Ip_1track_1_arc_345\events_topk.csv,1000,25055,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\Ip_1track_1_arc_345\stress_residual.csv
10,0,Ip_1track_1_arc_345,G3_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\Ip_1track_1_arc_345\events_topk.csv,1633,54426,1633,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\Ip_1track_1_arc_345\stress_residual.csv
11,0,Ip_1track_1_arc_345,G3_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\Ip_1track_1_arc_345\events_topk.csv,1449,48307,1449,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\Ip_1track_1_arc_345\stress_residual.csv
12,0,Ip_1track_1_arc_345,G3_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\Ip_1track_1_arc_345\events_topk.csv,1577,52553,1577,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\Ip_1track_1_arc_345\stress_residual.csv
13,0,Ip_1track_1_arc_345,G4_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\Ip_1track_1_arc_345\events_topk.csv,1148,38271,1148,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\Ip_1track_1_arc_345\stress_residual.csv
14,0,Ip_1track_1_arc_345,G4_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\Ip_1track_1_arc_345\events_topk.csv,1208,40271,1208,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\Ip_1track_1_arc_345\stress_residual.csv
15,0,Ip_1track_1_arc_345,G4_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\Ip_1track_1_arc_345\events_topk.csv,1145,38174,1145,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\Ip_1track_1_arc_345\stress_residual.csv
16,0,Ip_1track_1_arc_345,G4_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\Ip_1track_1_arc_345\events_topk.csv,1190,39658,1190,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\Ip_1track_1_arc_345\stress_residual.csv
