rank,node_number,x_n,y_n,z_n,t_n,score
1,3878,0.375,0.278125,0.8578604987350921,0.13793103448275862,18158.18109090909
2,6462,0.125,0.465625,0.7238561619082038,0.48275862068965514,14284.999428571427
3,12600,0.6125,0.871875,0.6538959161546801,0.48275862068965514,7141.142285714285
4,18651,0.46415000000000006,0.28025625,0.917588242380436,1.0,5998.199299999999
5,6137,0.875,0.28247187500000004,0.9134441633538127,0.0,5265.157157894736
6,487,0.5625,0.484375,0.62643055053608,0.13793103448275862,4545.090272727272
7,16985,0.6486500000000001,0.37284375000000003,0.8323695940248163,0.27586206896551724,4000.899299999999
8,378,0.8125,0.59375,0.62643055053608,0.27586206896551724,3999.899299999999
9,19427,0.14877125,0.4259375,0.9395494518732683,0.6896551724137931,3571.3566428571426
10,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,0.8275862068965517,3132.0620624999997
11,397,0.5625,0.578125,0.62643055053608,0.9655172413793103,2857.0709285714283
12,17320,0.6125,0.31498750000000003,0.8226478737501505,0.3448275862068966,2498.8327499999996
13,3991,0.375,0.194553125,0.8788820624021202,0.6206896551724137,2460.166083333333
14,10633,0.1125,0.9375,0.7240621611853992,0.0,2103.68347368421
15,6830,0.1125,0.39649999999999996,0.8218527888206241,0.27586206896551724,2001.5992999999996
16,7457,0.375,0.434375,0.7885315022286471,0.27586206896551724,1996.8992999999996
17,5682,0.8625,0.07058125,0.8589928924225997,0.3448275862068966,1676.7494166666663
18,15217,0.8625,0.036951875,0.7576316106493193,0.3448275862068966,1650.0827499999998
19,7260,0.1125,0.5042500000000001,0.9638718226719671,1.0,1000.1992999999998
20,5132,0.625,0.2336875,0.9796651005902903,0.6206896551724137,860.8327499999999
21,7269,0.1125,0.48821875,0.9265992049150704,0.3448275862068966,833.1994166666666
22,10204,0.8625,0.5169374999999999,0.9969883146608842,0.6896551724137931,714.3566428571428
23,1786,0.0625,0.890625,0.6023370678231538,0.27586206896551724,300.0694
24,11940,0.375,0.7382187499999999,0.8647873750150584,0.27586206896551724,299.39939999999996
25,6113,0.875,0.059375,0.62643055053608,0.27586206896551724,239.99999999999994
26,5396,0.8625,0.059375,0.62643055053608,0.27586206896551724,239.99999999999994
27,3077,0.125,0.059375,0.62643055053608,0.27586206896551724,229.99999999999997
28,4089,0.375,0.059375,0.62643055053608,0.27586206896551724,229.99999999999997
29,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,229.99999999999997
30,3372,0.3625,0.059375,0.62643055053608,0.27586206896551724,229.99999999999997
31,2360,0.1125,0.059375,0.62643055053608,0.27586206896551724,219.99999999999997
32,4384,0.6125,0.059375,0.62643055053608,0.27586206896551724,219.99999999999997
33,5101,0.625,0.059375,0.62643055053608,1.0,216.39999999999995
34,7311,0.375,0.5152187500000001,0.9400313215275267,0.0,210.33621052631574
35,6113,0.875,0.059375,0.62643055053608,1.0,209.89999999999995
36,4089,0.375,0.059375,0.62643055053608,1.0,208.29999999999995
37,3372,0.3625,0.059375,0.62643055053608,1.0,202.89999999999998
38,5392,0.8625,0.059375,0.6508384531984098,0.27586206896551724,199.99999999999997
39,2360,0.1125,0.059375,0.62643055053608,1.0,199.59999999999997
40,4384,0.6125,0.059375,0.62643055053608,1.0,199.19999999999996
41,7953,0.3625,0.6476875,0.6691205878809782,0.27586206896551724,198.29939999999996
42,3080,0.125,0.059375,0.6508384531984098,0.27586206896551724,189.99999999999997
43,4092,0.375,0.059375,0.6508384531984098,0.27586206896551724,189.99999999999997
44,6112,0.875,0.0625,0.62643055053608,0.27586206896551724,189.99999999999997
45,6116,0.875,0.059375,0.6508384531984098,0.27586206896551724,189.99999999999997
46,2364,0.1125,0.0625,0.62643055053608,0.27586206896551724,189.99999999999997
47,5104,0.625,0.059375,0.6508384531984098,0.27586206896551724,189.99999999999997
48,5400,0.8625,0.0625,0.62643055053608,0.27586206896551724,189.99999999999997
