rank,node_number,x_n,y_n,z_n,t_n,score
1,3107,0.125,0.2408875,0.9729671123960967,0.13793103448275862,29995.999199999995
2,4997,0.625,0.215625,0.7490784242862305,0.0,9999.199199999997
3,12156,0.375,0.746875,0.6534465727020841,0.3448275862068966,7999.499299999999
4,12917,0.625,0.6940000000000001,0.8251897361763642,0.9655172413793103,6666.832749999999
5,3866,0.375,0.246875,0.9027707505119864,0.27586206896551724,6000.399299999999
6,12166,0.375,0.71875,0.7718949524153716,0.13793103448275862,5000.099299999999
7,1300,0.625,0.375,0.6023370678231538,0.3448275862068966,4998.099299999999
8,370,0.375,0.609375,0.62643055053608,0.48275862068965514,4545.544818181817
9,8589,0.625,0.590625,0.62643055053608,0.0,3999.799299999999
10,13752,0.8625,0.684375,0.8297072641850378,0.48275862068965514,2727.3629999999994
11,21941,0.8625,0.1587375,0.9813155041561258,0.6206896551724137,2000.7992999999997
12,19843,0.15466125,0.269296875,0.9233224912661124,0.0,1993.6992999999995
13,23138,0.3388125,0.179059375,0.9995904107938802,0.6206896551724137,1975.7992999999997
14,16666,0.5887374999999999,0.06968125,0.8567883387543669,0.8275862068965517,1431.3299713876966
15,20479,0.3625,0.12445312500000001,0.9534393446572701,0.3448275862068966,1014.4992999999998
16,7985,0.3625,0.59375,0.6827141308276111,0.0,999.9892999999998
17,10869,0.125,0.73371875,0.8866401638356823,0.27586206896551724,700.0093999999999
18,1830,0.9375,0.921875,0.6023370678231538,0.13793103448275862,699.9893999999998
19,9410,0.875,0.531625,0.9902300927599084,0.0,699.6793999999999
20,2408,0.1125,0.146021875,0.8653776653415252,0.6206896551724137,689.0893999999998
21,8298,0.625,0.625,0.8084809059149499,0.9655172413793103,666.5745
22,11683,0.3625,0.903125,0.8142633417660522,1.0,609.791951219512
23,2313,0.1125,0.2550875,0.9567642452716538,0.6896551724137931,500.8661666666666
24,9089,0.6125,0.46875,0.7245512588844717,0.6896551724137931,499.8911666666666
25,2780,0.125,0.0840125,0.8218527888206241,0.6896551724137931,497.9411666666666
26,6271,0.125,0.625,0.7872545476448619,1.0,487.7187804878048
27,5466,0.8625,0.15625,0.8717383447777376,1.0,485.3529268292682
28,4195,0.375,0.24490625000000002,0.9562703288760389,0.8275862068965517,358.71201716738193
29,4635,0.6125,0.0328125,0.6552355137935189,0.8275862068965517,357.8822603719599
30,12668,0.6125,0.9601875,0.6691205878809782,1.0,243.8285365853658
31,8756,0.625,0.4375,0.9248042404529574,0.8275862068965517,214.89227467811156
32,3232,0.3625,0.3125,0.8084809059149499,1.0,153.07317073170728
33,5241,0.625,0.3125,0.8084809059149499,1.0,143.64634146341461
34,4244,0.6125,0.3125,0.8084809059149499,1.0,142.35365853658533
35,4229,0.375,0.3125,0.8084809059149499,1.0,138.60975609756093
36,3217,0.125,0.3125,0.8084809059149499,0.13793103448275862,123.99999999999997
37,3217,0.125,0.3125,0.8084809059149499,0.27586206896551724,121.99999999999997
38,3232,0.3625,0.3125,0.8084809059149499,0.6206896551724137,119.69999999999997
39,5256,0.8625,0.3125,0.8084809059149499,0.13793103448275862,117.99999999999997
40,3217,0.125,0.3125,0.8084809059149499,0.0,117.99999999999997
41,5256,0.8625,0.3125,0.8084809059149499,0.27586206896551724,116.99999999999999
42,5256,0.8625,0.3125,0.8084809059149499,1.0,116.9512195121951
43,5256,0.8625,0.3125,0.8084809059149499,0.6206896551724137,116.19999999999997
44,6253,0.875,0.3125,0.8084809059149499,1.0,114.99999999999997
45,4244,0.6125,0.3125,0.8084809059149499,0.6206896551724137,114.69999999999997
46,3232,0.3625,0.3125,0.8084809059149499,0.3448275862068966,114.49999999999999
47,5241,0.625,0.3125,0.8084809059149499,0.27586206896551724,113.99999999999999
48,4229,0.375,0.3125,0.8084809059149499,0.27586206896551724,113.99999999999999
49,3232,0.3625,0.3125,0.8084809059149499,0.27586206896551724,112.99999999999999
50,5256,0.8625,0.3125,0.8084809059149499,0.0,111.99999999999999
51,4244,0.6125,0.3125,0.8084809059149499,0.27586206896551724,111.99999999999999
52,5241,0.625,0.3125,0.8084809059149499,0.6206896551724137,111.79999999999998
53,4229,0.375,0.3125,0.8084809059149499,0.13793103448275862,110.99999999999999
54,5256,0.8625,0.3125,0.8084809059149499,0.3448275862068966,110.89999999999998
55,4229,0.375,0.3125,0.8084809059149499,0.6206896551724137,110.29999999999998
56,5241,0.625,0.3125,0.8084809059149499,0.0,109.99999999999999
57,4244,0.6125,0.3125,0.8084809059149499,0.3448275862068966,109.59999999999998
58,4229,0.375,0.3125,0.8084809059149499,0.0,108.99999999999999
59,3232,0.3625,0.3125,0.8084809059149499,0.0,108.99999999999999
60,5241,0.625,0.3125,0.8084809059149499,0.13793103448275862,107.99999999999999
61,4244,0.6125,0.3125,0.8084809059149499,0.0,107.99999999999999
62,3232,0.3625,0.3125,0.8084809059149499,0.13793103448275862,107.99999999999999
63,4244,0.6125,0.3125,0.8084809059149499,0.13793103448275862,106.99999999999999
64,5241,0.625,0.3125,0.8084809059149499,0.3448275862068966,106.69999999999997
