rank,node_number,x_n,y_n,z_n,t_n,score
1,6958,0.1125,0.625,0.62643055053608,0.6206896551724137,36587.80390243902
2,3399,0.3625,0.114709375,0.8335742681604624,0.0,12660.758481012657
3,2764,0.125,0.131390625,0.8653294783760993,0.0,12657.593924050632
4,9497,0.875,0.4375,0.8461510661366101,0.6206896551724137,4878.657682926828
5,11714,0.3625,0.6616875,0.6691205878809782,0.6206896551724137,4878.413780487804
6,9246,0.6125,0.5690625,0.8742561137212383,0.3448275862068966,3408.9764772727267
7,16950,0.5887374999999999,0.3821875,0.8710516805204191,0.27586206896551724,2632.1043421052627
8,3664,0.3625,0.090625,0.9023370678231537,0.0,2530.5054430379746
9,22489,0.31513749999999996,0.22125625,0.9889410914347668,0.3448275862068966,2274.771931818181
10,17338,0.517775,0.30565000000000003,0.8480905914950007,0.6896551724137931,2006.6992999999995
11,21998,0.15475,0.47240624999999997,0.9818817009998795,0.6896551724137931,2000.1992999999995
12,11526,0.3625,0.778125,0.8699915672810504,0.6206896551724137,1219.7552439024387
13,1224,0.5625,0.296875,0.6023370678231538,0.3448275862068966,1134.2492045454544
14,18928,0.6844,0.5908125,0.9078303818817011,0.13793103448275862,1111.088111111111
15,9524,0.875,0.48278125000000005,0.8773762197325623,0.27586206896551724,1052.459736842105
16,10462,0.1125,0.6875,0.67944103120106,1.0,1012.3030379746834
17,13644,0.8625,0.915875,0.7761354053728465,0.48275862068965514,1000.0992999999999
18,19839,0.3625,0.26811250000000003,0.9252258764004336,0.8275862068965517,992.9192999999998
19,6445,0.125,0.434375,0.842561137212384,0.6896551724137931,799.1593999999999
20,4998,0.625,0.215625,0.7245512588844717,0.3448275862068966,567.5902272727271
21,9325,0.875,0.5,0.9575954704252498,0.13793103448275862,444.5437777777777
22,4585,0.6125,0.29007499999999997,0.7915190940850501,0.6896551724137931,389.8793999999999
23,13386,0.8625,0.84375,0.9338392964703047,0.3448275862068966,340.95386363636356
24,13701,0.8625,0.8771875,0.8525719792796047,0.13793103448275862,333.29933333333327
25,11863,0.375,0.77153125,0.9739549451873267,0.27586206896551724,263.1702631578947
26,3217,0.125,0.3125,0.8084809059149499,0.27586206896551724,158.9473684210526
27,3232,0.3625,0.3125,0.8084809059149499,1.0,153.2151898734177
28,5241,0.625,0.3125,0.8084809059149499,0.27586206896551724,151.57894736842104
29,5256,0.8625,0.3125,0.8084809059149499,0.27586206896551724,149.99999999999997
30,3232,0.3625,0.3125,0.8084809059149499,0.27586206896551724,149.21052631578945
31,4229,0.375,0.3125,0.8084809059149499,0.27586206896551724,149.07894736842104
32,3217,0.125,0.3125,0.8084809059149499,0.0,148.86075949367086
33,5241,0.625,0.3125,0.8084809059149499,1.0,148.49367088607593
34,4244,0.6125,0.3125,0.8084809059149499,0.27586206896551724,148.15789473684208
35,4244,0.6125,0.3125,0.8084809059149499,1.0,144.40506329113921
36,3232,0.3625,0.3125,0.8084809059149499,0.6206896551724137,143.78048780487802
37,4229,0.375,0.3125,0.8084809059149499,1.0,142.37974683544303
38,5241,0.625,0.3125,0.8084809059149499,0.0,142.1518987341772
39,5256,0.8625,0.3125,0.8084809059149499,0.0,141.1392405063291
40,3232,0.3625,0.3125,0.8084809059149499,0.0,140.37974683544303
