rank,node_number,x_n,y_n,z_n,t_n,score
1,3342,0.3625,0.13098749999999998,0.9729671123960967,0.27586206896551724,40022.99919999999
2,3378,0.3625,0.067015625,0.7440320443320082,0.0,33348.88799999999
3,19331,0.8625,0.11498749999999999,0.9416696783520058,0.27586206896551724,29993.999199999995
4,8145,0.3625,0.371875,0.7240621611853992,0.48275862068965514,23073.845538461534
5,5145,0.625,0.1381875,0.9796651005902903,0.0,22232.221333333327
6,21876,0.5531375,0.14705,0.9743283941693772,0.13793103448275862,9996.999199999998
7,16969,0.8625,0.38687499999999997,0.868027948439947,0.6206896551724137,9091.817454545453
8,21210,0.42246249999999996,0.24312499999999998,0.9581857607517166,0.0,6636.665888888888
9,5083,0.625,0.09375,0.62643055053608,0.6206896551724137,6329.2720909090895
10,22145,0.6487499999999999,0.46968750000000004,0.9805324659679556,0.27586206896551724,6000.099299999999
11,19432,0.17245625,0.41815625,0.9281773280327671,1.0,5494.394835164834
12,1556,0.6875,0.640625,0.6023370678231538,0.27586206896551724,5000.099299999999
13,6891,0.1125,0.4126250000000001,0.8250090350560174,0.48275862068965514,4613.460999999999
14,9377,0.875,0.59375,0.8804722322611732,0.6206896551724137,4545.362999999999
15,5411,0.8625,0.090625,0.7671364895795687,0.3448275862068966,4522.362999999999
16,22738,0.6125,0.52128125,0.9832791229972292,0.0,4444.5547777777765
17,16087,0.3151,0.6369374999999999,0.7938441151668474,0.27586206896551724,4000.0992999999994
18,2930,0.125,0.278125,0.6846187206360679,0.48275862068965514,3849.6148461538455
19,23398,0.6125,0.49312500000000004,0.9997470184315143,0.9655172413793103,3845.845615384615
20,21829,0.21993625,0.152509375,0.9900975786049874,1.0,3293.735494505494
21,16876,0.29137500000000005,0.37906249999999997,0.8633899530177087,0.6896551724137931,3076.7686923076917
22,16644,0.19628125000000002,0.0665625,0.8633658595349958,0.6896551724137931,3075.922538461538
23,15375,0.5729875,0.348875,0.7554872906878689,0.3448275862068966,2727.635727272727
24,3523,0.3625,0.278125,0.62643055053608,1.0,2180.2190109890107
25,7071,0.1125,0.465625,0.796928080954102,0.13793103448275862,2000.9992999999997
26,13101,0.625,0.8125,0.7023551379351886,0.6206896551724137,1817.9084545454543
27,2558,0.1125,0.309375,0.8107697867726779,0.9655172413793103,1494.4609999999998
28,4452,0.6125,0.15625,0.6509613299602457,0.8275862068965517,1325.3995333333332
29,21802,0.24375,0.15094687499999998,0.9769425370437297,0.13793103448275862,801.4693999999998
30,13884,0.875,0.75,0.8586917238886881,0.27586206896551724,800.4793999999998
31,7014,0.1125,0.53125,0.796928080954102,0.6896551724137931,768.6686923076923
32,9778,0.875,0.465625,0.9338392964703047,0.6896551724137931,692.5303076923076
33,6556,0.125,0.590625,0.6846187206360679,1.0,438.39494505494497
34,7632,0.375,0.615375,0.8251897361763642,0.27586206896551724,400.34939999999995
35,12692,0.6125,0.8967499999999999,0.8250090350560174,0.13793103448275862,399.77939999999995
36,3785,0.375,0.121875,0.9282857487049753,0.48275862068965514,309.81492307692304
37,1665,0.9375,0.75,0.6023370678231538,0.13793103448275862,300.00939999999997
38,4583,0.6125,0.309375,0.789519335019877,0.8275862068965517,278.2729333333333
39,130,0.375,0.859375,0.62643055053608,0.27586206896551724,199.94939999999997
40,1094,0.875,0.15625,0.6023370678231538,0.3448275862068966,180.23581818181816
41,18535,0.3625,0.277578125,0.9091555234309118,1.0,140.87912087912085
42,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,1.0,128.13186813186812
43,17281,0.12499999999999992,0.29940625,0.8776894350078304,1.0,125.8241758241758
44,3163,0.125,0.25,0.9282857487049753,0.13793103448275862,119.99999999999997
45,2278,0.1125,0.294746875,0.8743645343934465,1.0,118.021978021978
46,18535,0.3625,0.277578125,0.9091555234309118,0.6206896551724137,116.27272727272725
47,18535,0.3625,0.277578125,0.9091555234309118,0.3448275862068966,115.7272727272727
48,18557,0.12499999999999992,0.27753125,0.9092398506204071,0.13793103448275862,112.99999999999999
49,19854,0.125,0.26811250000000003,0.9252258764004336,1.0,112.4175824175824
50,3582,0.3625,0.278125,0.8796530538489338,1.0,111.97802197802196
51,19872,0.125,0.26811250000000003,0.9382363570654136,1.0,111.86813186813184
52,3920,0.375,0.3125,0.62643055053608,1.0,111.64835164835162
53,2532,0.1125,0.3125,0.62643055053608,0.13793103448275862,109.99999999999999
54,17278,0.3625,0.29628125,0.8848572461149259,0.0,109.99999999999997
55,19846,0.332925,0.269296875,0.9233224912661124,1.0,109.010989010989
56,2532,0.1125,0.3125,0.62643055053608,1.0,109.010989010989
57,17278,0.3625,0.29628125,0.8848572461149259,0.27586206896551724,108.99999999999999
58,2532,0.1125,0.3125,0.62643055053608,0.27586206896551724,107.99999999999999
59,3104,0.125,0.262071875,0.9472834598241175,1.0,105.7142857142857
60,19854,0.125,0.26811250000000003,0.9252258764004336,0.13793103448275862,104.99999999999999
61,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,0.6206896551724137,104.27272727272725
62,18557,0.12499999999999992,0.27753125,0.9092398506204071,0.0,103.33333333333331
63,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,0.3448275862068966,102.7272727272727
64,3544,0.3625,0.3125,0.62643055053608,1.0,102.30769230769229
65,2532,0.1125,0.3125,0.62643055053608,0.0,102.2222222222222
66,17278,0.3625,0.29628125,0.8848572461149259,0.13793103448275862,101.99999999999999
67,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,0.13793103448275862,100.99999999999999
68,18557,0.12499999999999992,0.27753125,0.9092398506204071,0.27586206896551724,100.99999999999999
69,2531,0.1125,0.3125,0.6508384531984098,0.13793103448275862,99.99999999999999
70,3077,0.125,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
71,3163,0.125,0.25,0.9282857487049753,0.27586206896551724,99.99999999999999
72,3372,0.3625,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
73,2360,0.1125,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
74,4384,0.6125,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
75,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
76,5396,0.8625,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
77,3372,0.3625,0.059375,0.62643055053608,1.0,99.99999999999999
