rank,node_number,x_n,y_n,z_n,t_n,score
1,2511,0.1125,0.278125,0.62643055053608,0.0,33337.77688888888
2,8145,0.3625,0.371875,0.7240621611853992,0.48275862068965514,23073.845538461534
3,6976,0.1125,0.590625,0.62643055053608,0.3448275862068966,18182.72654545454
4,7359,0.375,0.63371875,0.8040477050957715,0.0,7805.665888888887
5,6590,0.125,0.6546875,0.716781110709553,0.6896551724137931,7666.999384615384
6,5083,0.625,0.09375,0.62643055053608,0.6206896551724137,6366.544818181817
7,22145,0.6487499999999999,0.46968750000000004,0.9805324659679556,0.27586206896551724,6000.099299999999
8,23582,0.4047375000000001,0.8067812499999999,0.9877966510059029,0.0,5555.443666666665
9,19432,0.17245625,0.41815625,0.9281773280327671,1.0,5507.691538461538
10,24013,0.434375,0.5033125,0.9877484640404769,1.0,5503.295934065933
11,18157,0.24392624999999998,0.40096875,0.9116491988916997,0.9655172413793103,4616.153307692307
12,5411,0.8625,0.090625,0.7671364895795687,0.3448275862068966,4546.908454545453
13,22738,0.6125,0.52128125,0.9832791229972292,0.0,4444.999222222222
14,563,0.5,0.40625,0.62643055053608,0.0,4444.5547777777765
15,23104,0.3328375,0.166978125,0.9847367787013611,1.0,4395.493736263736
16,16087,0.3151,0.6369374999999999,0.7938441151668474,0.27586206896551724,3953.6992999999993
17,2930,0.125,0.278125,0.6846187206360679,0.48275862068965514,3847.153307692307
18,16876,0.29137500000000005,0.37906249999999997,0.8633899530177087,0.6896551724137931,3074.3071538461536
19,11239,0.125,0.9375,0.8297072641850378,0.27586206896551724,2999.6992999999993
20,9781,0.875,0.43946874999999996,0.9562703288760389,0.9655172413793103,2301.614846153846
21,278,0.5,0.703125,0.62643055053608,0.0,2220.6658888888883
22,3523,0.3625,0.278125,0.62643055053608,1.0,2193.955274725274
23,13871,0.875,0.75196875,0.9562703288760389,0.27586206896551724,2000.6992999999995
24,13101,0.625,0.8125,0.7023551379351886,0.6206896551724137,1818.9084545454543
25,1615,0.625,0.703125,0.6023370678231538,0.6206896551724137,1816.9084545454543
26,4452,0.6125,0.15625,0.6509613299602457,0.8275862068965517,1334.0661999999998
27,10755,0.1125,0.70240625,0.8288158053246596,0.0,1111.4436666666663
28,9778,0.875,0.465625,0.9338392964703047,0.6896551724137931,682.9072307692306
29,11777,0.3625,0.746875,0.8618600168654379,0.0,444.8548888888888
30,6556,0.125,0.590625,0.6846187206360679,1.0,430.1202197802197
31,12692,0.6125,0.8967499999999999,0.8250090350560174,0.13793103448275862,400.2693999999999
32,4583,0.6125,0.309375,0.789519335019877,0.8275862068965517,267.38626666666664
33,10729,0.1125,0.65934375,0.7478014697024454,0.0,168.66666666666663
34,10729,0.1125,0.65934375,0.7478014697024454,1.0,162.30769230769226
35,16063,0.125,0.64625,0.7619563907962895,0.0,156.99999999999997
36,10729,0.1125,0.65934375,0.7478014697024454,0.27586206896551724,151.99999999999997
37,6342,0.125,0.64378125,0.7470545717383447,1.0,151.31868131868129
38,7193,0.1125,0.64609375,0.762462353933261,0.6206896551724137,150.09090909090907
39,6342,0.125,0.64378125,0.7470545717383447,0.0,148.99999999999997
40,10729,0.1125,0.65934375,0.7478014697024454,0.13793103448275862,147.89999999999998
41,8208,0.3625,0.65003125,0.7478014697024454,0.0,142.33333333333331
42,6342,0.125,0.64378125,0.7470545717383447,0.13793103448275862,142.29999999999998
43,16063,0.125,0.64625,0.7619563907962895,0.27586206896551724,141.19999999999996
44,15587,0.12499999999999992,0.66190625,0.7740151788941092,1.0,140.76923076923075
45,16063,0.125,0.64625,0.7619563907962895,0.13793103448275862,139.49999999999997
46,6342,0.125,0.64378125,0.7470545717383447,0.6206896551724137,139.18181818181816
47,16064,0.14860375,0.6446875000000001,0.7675219853029756,0.0,138.88888888888886
48,10729,0.1125,0.65934375,0.7478014697024454,0.6206896551724137,137.54545454545453
