rank,node_number,x_n,y_n,z_n,t_n,score
1,13769,0.8625,0.6875,0.7469943380315623,0.8275862068965517,20016.666133333332
2,11457,0.3625,0.6546875,0.7468979641007107,0.6896551724137931,15399.999384615383
3,16373,0.12499999999999992,0.94628125,0.8192145524635586,0.6206896551724137,9093.635636363635
4,16884,0.6125,0.3713125,0.8281652812914105,0.48275862068965514,6922.922538461537
5,5083,0.625,0.09375,0.62643055053608,0.6206896551724137,6358.18118181818
6,22145,0.6487499999999999,0.46968750000000004,0.9805324659679556,0.27586206896551724,6000.099299999999
7,18720,0.625,0.27440625,0.9279604866883507,0.13793103448275862,6000.099299999999
8,23582,0.4047375000000001,0.8067812499999999,0.9877966510059029,0.0,5618.999222222221
9,19432,0.17245625,0.41815625,0.9281773280327671,1.0,5494.614615384614
10,15027,0.2834,0.0472984375,0.7933622455125888,0.13793103448275862,5000.099299999999
11,9767,0.875,0.45034375000000004,0.8712323816407661,0.3448275862068966,4542.999363636362
12,5411,0.8625,0.090625,0.7671364895795687,0.3448275862068966,4540.726636363635
13,563,0.5,0.40625,0.62643055053608,0.0,4444.5547777777765
14,22738,0.6125,0.52128125,0.9832791229972292,0.0,4444.5547777777765
15,16087,0.3151,0.6369374999999999,0.7938441151668474,0.27586206896551724,4000.4992999999995
16,5399,0.8625,0.0625,0.65293579086857,0.6896551724137931,3852.922538461538
17,2930,0.125,0.278125,0.6846187206360679,0.48275862068965514,3843.6148461538455
18,15580,0.17250875,0.67125,0.8056740151788941,0.3448275862068966,3637.999363636363
19,17103,0.5415375,0.68846875,0.8408745934224792,0.48275862068965514,3078.922538461538
20,16876,0.29137500000000005,0.37906249999999997,0.8633899530177087,0.6896551724137931,3077.076384615384
21,23958,0.3625,0.5025625,0.9877966510059029,0.9655172413793103,3076.691769230769
22,278,0.5,0.703125,0.62643055053608,0.0,2223.9992222222218
23,3523,0.3625,0.278125,0.62643055053608,1.0,2205.713516483516
24,1615,0.625,0.703125,0.6023370678231538,0.6206896551724137,1820.0902727272723
25,13101,0.625,0.8125,0.7023551379351886,0.6206896551724137,1813.0902727272723
26,4452,0.6125,0.15625,0.6509613299602457,0.8275862068965517,1331.4661999999998
27,10285,0.8625,0.528125,0.8922418985664377,0.13793103448275862,1000.6992999999998
28,21802,0.24375,0.15094687499999998,0.9769425370437297,0.13793103448275862,799.9893999999998
29,9328,0.875,0.5,0.8915552343091193,0.9655172413793103,770.8456153846153
30,9778,0.875,0.465625,0.9338392964703047,0.6896551724137931,692.2533846153846
31,6556,0.125,0.590625,0.6846187206360679,1.0,440.80153846153837
32,12692,0.6125,0.8967499999999999,0.8250090350560174,0.13793103448275862,423.3793999999999
33,11640,0.3625,0.9375,0.62643055053608,1.0,334.9450549450549
34,12648,0.6125,0.9375,0.62643055053608,1.0,333.73626373626365
35,13024,0.625,0.9375,0.62643055053608,1.0,327.03296703296695
36,12016,0.375,0.9375,0.62643055053608,1.0,326.37362637362634
37,10632,0.1125,0.9375,0.62643055053608,1.0,324.8351648351648
38,14032,0.875,0.9375,0.62643055053608,1.0,320.5494505494505
39,11640,0.3625,0.9375,0.62643055053608,0.0,299.11111111111103
40,12648,0.6125,0.9375,0.62643055053608,0.0,297.11111111111103
41,13656,0.8625,0.9375,0.62643055053608,0.0,294.66666666666663
42,12016,0.375,0.9375,0.62643055053608,0.0,294.2222222222222
43,11008,0.125,0.9375,0.62643055053608,0.0,293.66666666666663
44,13024,0.625,0.9375,0.62643055053608,0.0,293.4444444444444
45,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,292.69999999999993
46,11008,0.125,0.9375,0.62643055053608,1.0,291.043956043956
47,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,290.79999999999995
48,10632,0.1125,0.9375,0.62643055053608,0.0,290.2222222222222
49,11640,0.3625,0.9375,0.62643055053608,0.13793103448275862,289.99999999999994
50,14032,0.875,0.9375,0.62643055053608,0.0,288.66666666666663
51,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,288.19999999999993
52,12648,0.6125,0.9375,0.62643055053608,0.13793103448275862,287.99999999999994
53,13656,0.8625,0.9375,0.62643055053608,0.13793103448275862,285.99999999999994
54,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,284.29999999999995
55,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,283.99999999999994
56,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,283.49999999999994
57,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,283.3999999999999
58,11008,0.125,0.9375,0.62643055053608,0.13793103448275862,282.99999999999994
59,10632,0.1125,0.9375,0.62643055053608,0.13793103448275862,281.99999999999994
60,12016,0.375,0.9375,0.62643055053608,0.13793103448275862,281.99999999999994
61,13024,0.625,0.9375,0.62643055053608,0.13793103448275862,280.99999999999994
62,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,278.9
