rank,node_number,x_n,y_n,z_n,t_n,score
1,13495,0.8625,0.715625,0.6545717383447777,0.8275862068965517,26085.21669565217
2,5954,0.875,0.300271875,0.7551740754126008,0.27586206896551724,22182.221333333327
3,10951,0.125,0.86546875,0.8653294783760993,0.8275862068965517,17390.43408695652
4,3958,0.375,0.246875,0.8186844958438743,0.0,11424.42757142857
5,6573,0.125,0.617375,0.7440320443320082,0.3448275862068966,10000.999199999998
6,20493,0.3625,0.1399875,0.9688591735935429,0.27586206896551724,8880.332555555553
7,1855,0.625,0.953125,0.6023370678231538,0.6896551724137931,8490.65971698113
8,10484,0.1125,0.71875,0.8009998795325863,0.6896551724137931,7547.735188679244
9,3433,0.3625,0.15625,0.8226719672328634,0.0,7153.42757142857
10,6774,0.1125,0.47734375,0.9839657872545476,0.3448275862068966,7000.299299999999
11,20705,0.14875875,0.44781250000000006,0.9647150945669196,0.6206896551724137,7000.199299999998
12,15927,0.4344875,0.322059375,0.8013853752559932,0.13793103448275862,6003.199299999999
13,22498,0.5236000000000001,0.22165625000000003,0.9764727141308276,0.3448275862068966,6002.399299999999
14,22449,0.19618625,0.21969374999999997,0.9777014817491867,0.3448275862068966,6000.999299999999
15,17160,0.5889,0.685375,0.8472352728586917,0.3448275862068966,6000.099299999999
16,23049,0.7734125,0.8396250000000001,0.9927237682206963,0.3448275862068966,5999.899299999999
17,15541,0.3625,0.6743750000000001,0.7999638597759305,0.0,5714.42757142857
18,9956,0.8625,0.590625,0.8142633417660522,0.48275862068965514,4930.669921104535
19,18251,0.8625,0.405625,0.9069871099867486,0.6896551724137931,4717.074811320754
20,13779,0.8625,0.70240625,0.8288158053246596,0.6896551724137931,4717.074811320754
21,1512,0.75,0.59375,0.6023370678231538,1.0,4444.332555555555
22,7841,0.3625,0.41453125,0.9224189856643776,0.8275862068965517,4348.086347826086
23,7657,0.375,0.559375,0.9468497771352848,0.6206896551724137,3000.1992999999993
24,9851,0.8625,0.4375,0.9468497771352848,0.13793103448275862,2000.1992999999995
25,210,0.0625,0.78125,0.62643055053608,0.6896551724137931,1886.8861320754713
26,12252,0.375,0.96253125,0.7478014697024454,0.0,1142.884857142857
27,10700,0.1125,0.71875,0.8796530538489338,1.0,1111.088111111111
28,9302,0.8625,0.50559375,0.8852547885796891,0.13793103448275862,998.1992999999998
29,11810,0.3625,0.8004999999999999,0.8906396819660282,0.48275862068965514,986.0939842209071
30,13972,0.875,0.84603125,0.8808095410191542,0.48275862068965514,986.0150887573963
31,3572,0.3625,0.309375,0.7682568365257197,0.48275862068965514,983.6186390532542
32,9458,0.875,0.3795,0.7440320443320082,0.6896551724137931,940.0465094339621
33,9020,0.6125,0.5625,0.7885315022286471,0.8275862068965517,870.4341739130433
34,4333,0.6125,0.28247187500000004,0.9134441633538127,0.8275862068965517,863.9906956521738
35,5082,0.625,0.09375,0.7718949524153716,0.9655172413793103,722.1793999999999
36,5735,0.8625,0.1648125,0.945319840983014,0.8275862068965517,605.5386086956521
37,11516,0.3625,0.77103125,0.8653776653415252,0.27586206896551724,555.0437777777777
38,2103,1.0,0.828125,0.62643055053608,0.6206896551724137,500.0593999999999
39,4766,0.625,0.14876562499999998,0.9005421033610408,0.6206896551724137,499.4593999999999
40,5053,0.625,0.13194999999999998,0.8534513913986266,0.6206896551724137,493.2593999999999
41,9150,0.6125,0.39828125000000003,0.7859414528370076,1.0,437.777111111111
42,2044,1.0,0.09375,0.6023370678231538,0.8275862068965517,345.2081739130434
43,8985,0.6125,0.625,0.6996542585230695,0.27586206896551724,335.8437777777777
44,6961,0.1125,0.621875,0.67944103120106,0.27586206896551724,333.1437777777777
45,1031,0.6875,0.09375,0.6023370678231538,0.48275862068965514,293.32287968441807
46,189,0.4375,0.796875,0.62643055053608,0.48275862068965514,197.18875739644966
47,18535,0.3625,0.277578125,0.9091555234309118,0.0,145.85714285714283
48,18535,0.3625,0.277578125,0.9091555234309118,1.0,145.44444444444443
49,2278,0.1125,0.294746875,0.8743645343934465,0.0,131.7142857142857
50,18535,0.3625,0.277578125,0.9091555234309118,0.9655172413793103,131.09999999999997
51,18535,0.3625,0.277578125,0.9091555234309118,0.6206896551724137,130.79999999999998
52,18535,0.3625,0.277578125,0.9091555234309118,0.3448275862068966,129.29999999999998
53,18535,0.3625,0.277578125,0.9091555234309118,0.48275862068965514,128.99408284023667
54,2532,0.1125,0.3125,0.62643055053608,0.0,127.14285714285712
55,3920,0.375,0.3125,0.62643055053608,0.0,125.7142857142857
56,18535,0.3625,0.277578125,0.9091555234309118,0.6896551724137931,123.77358490566036
57,3372,0.3625,0.059375,0.62643055053608,0.0,122.85714285714285
58,2360,0.1125,0.059375,0.62643055053608,0.0,122.85714285714285
59,4384,0.6125,0.059375,0.62643055053608,0.0,122.85714285714285
60,5396,0.8625,0.059375,0.62643055053608,0.0,121.42857142857142
61,3077,0.125,0.059375,0.62643055053608,0.0,121.42857142857142
62,2278,0.1125,0.294746875,0.8743645343934465,1.0,120.55555555555553
63,3582,0.3625,0.278125,0.8796530538489338,0.0,120.14285714285712
64,5101,0.625,0.059375,0.62643055053608,0.0,118.57142857142856
65,4089,0.375,0.059375,0.62643055053608,0.0,118.57142857142856
66,6113,0.875,0.059375,0.62643055053608,0.0,117.14285714285712
67,17281,0.12499999999999992,0.29940625,0.8776894350078304,1.0,117.11111111111109
68,17281,0.12499999999999992,0.29940625,0.8776894350078304,0.0,116.85714285714285
69,18535,0.3625,0.277578125,0.9091555234309118,0.27586206896551724,114.66666666666664
70,18535,0.3625,0.277578125,0.9091555234309118,0.8275862068965517,114.26086956521738
71,3582,0.3625,0.278125,0.8796530538489338,1.0,113.99999999999997
72,2531,0.1125,0.3125,0.6508384531984098,0.0,112.85714285714285
73,17278,0.3625,0.29628125,0.8848572461149259,0.0,112.7142857142857
74,19846,0.332925,0.269296875,0.9233224912661124,1.0,112.33333333333331
75,2532,0.1125,0.3125,0.62643055053608,0.27586206896551724,112.2222222222222
76,3920,0.375,0.3125,0.62643055053608,1.0,111.66666666666664
77,19847,0.30322499999999997,0.26735000000000003,0.9264305505360798,0.0,111.14285714285712
78,18575,0.125,0.2931125,0.8918564028430309,0.0,111.14285714285712
79,3917,0.375,0.3125,0.6508384531984098,0.0,109.99999999999999
80,3544,0.3625,0.3125,0.62643055053608,0.0,109.99999999999999
81,3920,0.375,0.3125,0.62643055053608,0.27586206896551724,109.99999999999997
82,19854,0.125,0.26811250000000003,0.9252258764004336,0.0,109.57142857142856
83,2278,0.1125,0.294746875,0.8743645343934465,0.6206896551724137,109.39999999999998
84,4556,0.6125,0.3125,0.62643055053608,0.0,108.57142857142856
85,19872,0.125,0.26811250000000003,0.9382363570654136,1.0,108.55555555555553
86,2278,0.1125,0.294746875,0.8743645343934465,0.3448275862068966,108.29999999999998
87,2278,0.1125,0.294746875,0.8743645343934465,0.9655172413793103,108.09999999999998
88,2278,0.1125,0.294746875,0.8743645343934465,0.48275862068965514,107.98816568047336
89,19838,0.3388625,0.2665625,0.9276593181544391,0.0,107.28571428571428
90,4932,0.625,0.3125,0.62643055053608,0.0,107.14285714285712
91,19848,0.2736375,0.265409375,0.9294422358751956,0.0,106.99999999999999
92,17337,0.375,0.29628125,0.8708709794000722,0.0,106.57142857142856
93,2879,0.125,0.309375,0.8107697867726779,0.0,106.57142857142856
94,19865,0.3031125,0.256428125,0.9422840621611853,0.0,105.99999999999999
95,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,0.0,105.85714285714285
96,4088,0.375,0.0625,0.62643055053608,0.0,105.7142857142857
97,2908,0.125,0.3125,0.62643055053608,0.0,105.7142857142857
98,17281,0.12499999999999992,0.29940625,0.8776894350078304,0.9655172413793103,105.29999999999998
99,19873,0.12499999999999992,0.25565625000000003,0.9560293940489097,0.0,104.85714285714285
100,3372,0.3625,0.059375,0.62643055053608,0.27586206896551724,104.44444444444443
101,2360,0.1125,0.059375,0.62643055053608,0.27586206896551724,104.44444444444443
102,4384,0.6125,0.059375,0.62643055053608,0.27586206896551724,104.44444444444443
103,19946,0.375,0.26811250000000003,0.9382363570654136,0.0,104.28571428571428
104,2532,0.1125,0.3125,0.62643055053608,1.0,104.11111111111109
105,17278,0.3625,0.29628125,0.8848572461149259,0.27586206896551724,103.77777777777776
106,19873,0.12499999999999992,0.25565625000000003,0.9560293940489097,1.0,103.66666666666664
107,5396,0.8625,0.059375,0.62643055053608,0.27586206896551724,103.33333333333331
108,3077,0.125,0.059375,0.62643055053608,0.27586206896551724,103.33333333333331
109,19840,0.24392624999999998,0.263459375,0.9323816407661726,0.0,103.28571428571428
110,5568,0.8625,0.3125,0.62643055053608,0.0,102.85714285714285
111,5944,0.875,0.3125,0.62643055053608,0.0,102.85714285714285
112,19837,0.31515,0.26500625,0.9300566196843754,0.0,102.57142857142856
113,19846,0.332925,0.269296875,0.9233224912661124,0.0,102.42857142857142
114,19847,0.30322499999999997,0.26735000000000003,0.9264305505360798,1.0,102.33333333333331
115,19853,0.12499999999999992,0.25565625000000003,0.9433080351764848,1.0,102.2222222222222
116,3582,0.3625,0.278125,0.8796530538489338,0.6206896551724137,102.09999999999998
117,3582,0.3625,0.278125,0.8796530538489338,0.9655172413793103,102.09999999999998
118,2532,0.1125,0.3125,0.62643055053608,0.13793103448275862,101.99999999999999
119,19841,0.21412874999999998,0.265409375,0.9294422358751956,0.0,101.7142857142857
120,19872,0.125,0.26811250000000003,0.9382363570654136,0.0,101.57142857142856
121,5100,0.625,0.0625,0.62643055053608,0.0,101.42857142857142
122,6112,0.875,0.0625,0.62643055053608,0.0,101.42857142857142
123,3376,0.3625,0.0625,0.62643055053608,0.0,101.42857142857142
124,2278,0.1125,0.294746875,0.8743645343934465,0.6896551724137931,101.41509433962263
125,3544,0.3625,0.3125,0.62643055053608,1.0,101.2222222222222
126,17281,0.12499999999999992,0.29940625,0.8776894350078304,0.6206896551724137,101.19999999999999
127,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,101.11111111111109
128,19846,0.332925,0.269296875,0.9233224912661124,0.9655172413793103,101.09999999999998
129,17281,0.12499999999999992,0.29940625,0.8776894350078304,0.3448275862068966,100.99999999999999
130,19846,0.332925,0.269296875,0.9233224912661124,0.6206896551724137,100.99999999999999
131,3372,0.3625,0.059375,0.62643055053608,1.0,100.88888888888887
132,4384,0.6125,0.059375,0.62643055053608,1.0,100.55555555555553
133,19846,0.332925,0.269296875,0.9233224912661124,0.3448275862068966,100.49999999999999
134,3582,0.3625,0.278125,0.8796530538489338,0.27586206896551724,100.44444444444443
135,3171,0.125,0.26331875,0.9325864353692326,1.0,100.35555555555554
136,3582,0.3625,0.278125,0.8796530538489338,0.48275862068965514,100.29585798816566
137,18547,0.1546325,0.291175,0.882231056499217,0.0,100.28571428571428
138,17278,0.3625,0.29628125,0.8848572461149259,0.13793103448275862,100.09999999999998
139,189,0.4375,0.796875,0.62643055053608,0.6206896551724137,100.02939999999998
140,6113,0.875,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
141,4089,0.375,0.059375,0.62643055053608,0.27586206896551724,99.99999999999999
142,3544,0.3625,0.3125,0.62643055053608,0.27586206896551724,99.99999999999999
143,5400,0.8625,0.0625,0.62643055053608,0.0,99.99999999999999
144,19866,0.273375,0.258378125,0.9396458258041199,0.0,99.99999999999999
145,3582,0.3625,0.278125,0.8796530538489338,0.3448275862068966,99.79999999999998
146,3920,0.375,0.3125,0.62643055053608,0.48275862068965514,99.60552268244574
147,19846,0.332925,0.269296875,0.9233224912661124,0.48275862068965514,99.50690335305718
148,17281,0.12499999999999992,0.29940625,0.8776894350078304,0.6896551724137931,99.43396226415092
149,11534,0.3625,0.78125,0.7000216841344417,0.13793103448275862,99.40239999999999
150,3920,0.375,0.3125,0.62643055053608,0.3448275862068966,99.39999999999998
151,3920,0.375,0.3125,0.62643055053608,0.6206896551724137,99.29999999999998
152,2360,0.1125,0.059375,0.62643055053608,1.0,99.11111111111109
153,19946,0.375,0.26811250000000003,0.9382363570654136,1.0,99.11111111111109
154,2531,0.1125,0.3125,0.6508384531984098,0.27586206896551724,98.88888888888887
155,4556,0.6125,0.3125,0.62643055053608,0.27586206896551724,98.88888888888887
156,19858,0.24375,0.260321875,0.9369232622575593,0.0,98.85714285714285
157,5101,0.625,0.059375,0.62643055053608,1.0,98.77777777777776
158,3920,0.375,0.3125,0.62643055053608,0.9655172413793103,98.69999999999999
159,2364,0.1125,0.0625,0.62643055053608,0.0,98.57142857142856
160,3076,0.125,0.0625,0.62643055053608,0.0,98.57142857142856
161,4388,0.6125,0.0625,0.62643055053608,0.0,98.57142857142856
162,3543,0.3625,0.3125,0.6508384531984098,0.0,98.57142857142856
163,3917,0.375,0.3125,0.6508384531984098,0.27586206896551724,97.77777777777776
164,6113,0.875,0.059375,0.62643055053608,1.0,97.77777777777776
165,4089,0.375,0.059375,0.62643055053608,1.0,97.77777777777776
166,19872,0.125,0.26811250000000003,0.9382363570654136,0.9655172413793103,97.59999999999998
167,3917,0.375,0.3125,0.6508384531984098,1.0,97.55555555555554
168,19872,0.125,0.26811250000000003,0.9382363570654136,0.6206896551724137,97.19999999999999
169,3080,0.125,0.059375,0.6508384531984098,0.0,97.14285714285712
170,17270,0.125,0.29628125,0.8708709794000722,0.0,97.14285714285712
171,19864,0.33276249999999996,0.25448125,0.9448379713287555,0.0,97.14285714285712
172,4932,0.625,0.3125,0.62643055053608,1.0,97.11111111111109
173,4556,0.6125,0.3125,0.62643055053608,1.0,97.11111111111109
174,3920,0.375,0.3125,0.62643055053608,0.13793103448275862,96.99999999999999
175,4932,0.625,0.3125,0.62643055053608,0.27586206896551724,96.66666666666664
176,19872,0.125,0.26811250000000003,0.9382363570654136,0.3448275862068966,96.49999999999999
177,3582,0.3625,0.278125,0.8796530538489338,0.6896551724137931,96.32075471698111
178,3583,0.3625,0.278125,0.8578604987350921,0.0,96.28571428571428
179,2356,0.1125,0.059375,0.6508384531984098,0.0,95.71428571428571
180,3368,0.3625,0.059375,0.6508384531984098,0.0,95.71428571428571
181,4380,0.6125,0.059375,0.6508384531984098,0.0,95.71428571428571
182,19838,0.3388625,0.2665625,0.9276593181544391,1.0,95.55555555555554
183,19846,0.332925,0.269296875,0.9233224912661124,0.6896551724137931,95.37735849056602
184,19854,0.125,0.26811250000000003,0.9252258764004336,1.0,95.2222222222222
185,19872,0.125,0.26811250000000003,0.9382363570654136,0.48275862068965514,95.06903353057197
186,21135,0.3625,0.24623750000000003,0.9547885796891941,1.0,94.88888888888887
187,2278,0.1125,0.294746875,0.8743645343934465,0.27586206896551724,94.66666666666664
188,3920,0.375,0.3125,0.62643055053608,0.6896551724137931,94.62264150943395
