rank,node_number,x_n,y_n,z_n,t_n,score
1,5954,0.875,0.300271875,0.7551740754126008,0.27586206896551724,22136.665777777773
2,10951,0.125,0.86546875,0.8653294783760993,0.8275862068965517,17390.43408695652
3,2145,0.875,0.0,0.62643055053608,0.13793103448275862,10009.999199999998
4,5524,0.8625,0.246875,0.763763401999759,0.13793103448275862,9018.199299999998
5,20493,0.3625,0.1399875,0.9688591735935429,0.27586206896551724,8871.88811111111
6,10484,0.1125,0.71875,0.8009998795325863,0.6896551724137931,7548.395566037734
7,3433,0.3625,0.15625,0.8226719672328634,0.0,7153.42757142857
8,6774,0.1125,0.47734375,0.9839657872545476,0.3448275862068966,7000.399299999999
9,19744,0.5235125,0.73728125,0.9507529213347788,1.0,6666.776999999998
10,21188,0.24392624999999998,0.24158437500000002,0.9722563546560654,0.27586206896551724,6663.8881111111095
11,22498,0.5236000000000001,0.22165625000000003,0.9764727141308276,0.3448275862068966,6016.099299999999
12,15927,0.4344875,0.322059375,0.8013853752559932,0.13793103448275862,5996.799299999999
13,15541,0.3625,0.6743750000000001,0.7999638597759305,0.0,5714.42757142857
14,15131,0.5887,0.047802500000000005,0.7949885555957114,1.0,5556.443666666665
15,23197,0.517775,0.1744,0.998831466088423,0.9655172413793103,5000.799299999999
16,23035,0.8625,0.8369375,0.9940127695458378,0.48275862068965514,4931.06439842209
17,23197,0.517775,0.1744,0.998831466088423,0.6896551724137931,4717.640849056603
18,13779,0.8625,0.70240625,0.8288158053246596,0.6896551724137931,4717.074811320754
19,19335,0.7915,0.107221875,0.9305866763040598,0.6896551724137931,4714.244622641509
20,1512,0.75,0.59375,0.6023370678231538,1.0,4444.332555555555
21,7841,0.3625,0.41453125,0.9224189856643776,0.8275862068965517,4348.173304347825
22,10176,0.8625,0.3515625,0.6612275629442236,0.6206896551724137,4019.299299999999
23,9377,0.875,0.59375,0.8804722322611732,0.48275862068965514,3943.983530571991
24,8433,0.625,0.366625,0.7092350319238645,0.6206896551724137,3020.0992999999994
25,7657,0.375,0.559375,0.9468497771352848,0.6206896551724137,3000.5992999999994
26,4764,0.625,0.173378125,0.9183833273099626,0.27586206896551724,2202.7769999999996
27,14082,0.875,0.84375,0.650786652210577,0.6206896551724137,2002.2992999999997
28,210,0.0625,0.78125,0.62643055053608,0.6896551724137931,1886.8861320754713
29,10700,0.1125,0.71875,0.8796530538489338,1.0,1111.088111111111
30,9511,0.875,0.465625,0.62643055053608,0.13793103448275862,1003.5992999999999
31,9302,0.8625,0.50559375,0.8852547885796891,0.13793103448275862,996.3892999999998
32,11810,0.3625,0.8004999999999999,0.8906396819660282,0.48275862068965514,985.9263313609466
33,13972,0.875,0.84603125,0.8808095410191542,0.48275862068965514,985.6600591715975
34,9458,0.875,0.3795,0.7440320443320082,0.6896551724137931,939.5276415094338
35,4333,0.6125,0.28247187500000004,0.9134441633538127,0.8275862068965517,876.3472173913042
36,9020,0.6125,0.5625,0.7885315022286471,0.8275862068965517,871.4776521739129
37,11516,0.3625,0.77103125,0.8653776653415252,0.27586206896551724,554.3104444444443
38,4766,0.625,0.14876562499999998,0.9005421033610408,0.6206896551724137,515.9293999999999
39,2103,1.0,0.828125,0.62643055053608,0.6206896551724137,500.1393999999999
40,855,0.0625,0.109375,0.62643055053608,1.0,452.99933333333325
41,9150,0.6125,0.39828125000000003,0.7859414528370076,1.0,435.677111111111
42,1750,0.625,0.84375,0.6023370678231538,0.13793103448275862,399.90939999999995
43,2044,1.0,0.09375,0.6023370678231538,0.8275862068965517,338.95599999999996
44,8985,0.6125,0.625,0.6996542585230695,0.27586206896551724,338.8104444444444
45,1031,0.6875,0.09375,0.6023370678231538,0.48275862068965514,287.30710059171594
46,5396,0.8625,0.059375,0.62643055053608,0.0,272.85714285714283
47,6113,0.875,0.059375,0.62643055053608,0.0,264.2857142857143
48,4384,0.6125,0.059375,0.62643055053608,0.0,264.2857142857143
49,3372,0.3625,0.059375,0.62643055053608,0.0,262.85714285714283
50,4089,0.375,0.059375,0.62643055053608,0.0,261.4285714285714
51,5101,0.625,0.059375,0.62643055053608,0.0,261.4285714285714
52,3077,0.125,0.059375,0.62643055053608,0.0,259.99999999999994
53,2360,0.1125,0.059375,0.62643055053608,0.0,258.57142857142856
54,5396,0.8625,0.059375,0.62643055053608,0.27586206896551724,251.11111111111106
55,6113,0.875,0.059375,0.62643055053608,0.27586206896551724,246.66666666666663
56,3077,0.125,0.059375,0.62643055053608,0.27586206896551724,243.3333333333333
57,4089,0.375,0.059375,0.62643055053608,0.27586206896551724,243.3333333333333
58,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,243.3333333333333
59,4384,0.6125,0.059375,0.62643055053608,0.27586206896551724,242.22222222222217
60,3372,0.3625,0.059375,0.62643055053608,0.27586206896551724,242.22222222222217
61,2360,0.1125,0.059375,0.62643055053608,0.27586206896551724,237.77777777777774
62,5101,0.625,0.059375,0.62643055053608,1.0,233.99999999999994
63,4089,0.375,0.059375,0.62643055053608,1.0,233.4444444444444
64,6113,0.875,0.059375,0.62643055053608,1.0,231.3333333333333
65,4384,0.6125,0.059375,0.62643055053608,1.0,230.4444444444444
66,3372,0.3625,0.059375,0.62643055053608,1.0,229.11111111111106
67,2360,0.1125,0.059375,0.62643055053608,1.0,223.3333333333333
68,5392,0.8625,0.059375,0.6508384531984098,0.0,218.57142857142856
69,6112,0.875,0.0625,0.62643055053608,0.0,214.28571428571425
70,5101,0.625,0.059375,0.62643055053608,0.6206896551724137,211.99999999999997
71,4089,0.375,0.059375,0.62643055053608,0.6206896551724137,211.89999999999995
72,6116,0.875,0.059375,0.6508384531984098,0.0,211.4285714285714
73,4380,0.6125,0.059375,0.6508384531984098,0.0,211.4285714285714
74,3368,0.3625,0.059375,0.6508384531984098,0.0,211.4285714285714
75,4089,0.375,0.059375,0.62643055053608,0.9655172413793103,211.19999999999996
76,5101,0.625,0.059375,0.62643055053608,0.9655172413793103,211.19999999999996
77,3077,0.125,0.059375,0.62643055053608,0.6206896551724137,210.69999999999996
78,5396,0.8625,0.059375,0.62643055053608,0.6206896551724137,210.69999999999996
79,6113,0.875,0.059375,0.62643055053608,0.13793103448275862,209.99999999999997
80,6113,0.875,0.059375,0.62643055053608,0.6206896551724137,209.99999999999997
81,5396,0.8625,0.059375,0.62643055053608,0.13793103448275862,209.99999999999997
82,4092,0.375,0.059375,0.6508384531984098,0.0,209.99999999999997
83,6113,0.875,0.059375,0.62643055053608,0.9655172413793103,209.19999999999996
84,3080,0.125,0.059375,0.6508384531984098,0.0,208.57142857142856
85,5104,0.625,0.059375,0.6508384531984098,0.0,208.57142857142856
86,5100,0.625,0.0625,0.62643055053608,0.0,208.57142857142856
87,2364,0.1125,0.0625,0.62643055053608,0.0,208.57142857142856
88,4384,0.6125,0.059375,0.62643055053608,0.6206896551724137,208.39999999999995
89,5396,0.8625,0.059375,0.62643055053608,0.9655172413793103,208.39999999999995
90,3372,0.3625,0.059375,0.62643055053608,0.6206896551724137,207.89999999999995
91,4384,0.6125,0.059375,0.62643055053608,0.9655172413793103,207.69999999999996
92,5400,0.8625,0.0625,0.62643055053608,0.0,207.1428571428571
93,3077,0.125,0.059375,0.62643055053608,0.48275862068965514,207.1005917159763
94,4089,0.375,0.059375,0.62643055053608,0.48275862068965514,207.1005917159763
95,5101,0.625,0.059375,0.62643055053608,0.48275862068965514,207.1005917159763
96,3077,0.125,0.059375,0.62643055053608,0.9655172413793103,207.09999999999997
97,3372,0.3625,0.059375,0.62643055053608,0.9655172413793103,206.99999999999997
98,5396,0.8625,0.059375,0.62643055053608,0.48275862068965514,206.1143984220907
