rank,node_number,x_n,y_n,z_n,t_n,score
1,8409,0.625,0.43634375,0.9653294783760993,0.6206896551724137,10714.64257142857
2,11387,0.3625,0.9262812500000001,0.8589928924225997,0.0,9980.333066666666
3,2637,0.1125,0.08848125,0.8046500421635947,0.8275862068965517,9756.585170731707
4,10718,0.1125,0.6761250000000001,0.733739308517046,0.48275862068965514,8814.705647058823
5,7629,0.375,0.59590625,0.8046500421635947,0.3448275862068966,7694.230461538462
6,13069,0.625,0.871875,0.8461510661366101,0.13793103448275862,7488.9998
7,14107,0.875,0.8125,0.6517383447777376,0.48275862068965514,5884.999764705883
8,12194,0.375,0.67396875,0.6938103842910492,0.6896551724137931,5866.764470588235
9,3018,0.125,0.153125,0.62643055053608,0.3448275862068966,3843.461230769231
10,13825,0.8625,0.8069375000000001,0.8914468136369111,0.9655172413793103,2795.2775555555554
11,20783,0.3987,0.43846875,0.955149981929888,0.3448275862068966,2692.3843461538463
12,12521,0.6125,0.75,0.8461510661366101,0.13793103448275862,2508.7498
13,8994,0.6125,0.603375,0.7761354053728465,0.13793103448275862,2504.9998
14,10163,0.8625,0.3935,0.7761354053728465,0.13793103448275862,2501.2498
15,17709,0.29137500000000005,0.92909375,0.8663775448741116,0.8275862068965517,2440.731512195122
16,4316,0.6125,0.33128437499999996,0.7470545717383447,0.3448275862068966,2310.8843461538463
17,22520,0.5651375,0.21505000000000002,0.9803397181062522,0.9655172413793103,2222.2498055555557
18,21543,0.81515,0.555625,0.9706661847970124,1.0,1000.49965
19,19334,0.81515,0.105675,0.9282255149981928,1.0,999.94965
20,24346,0.6962125,0.81971875,0.9993253824840381,1.0,977.24965
21,9909,0.8625,0.36746875,0.817094325984821,0.27586206896551724,965.9675161290322
22,22952,0.5651375,0.8400624999999999,0.9803397181062522,0.3448275862068966,783.3843461538462
23,1403,0.5,0.484375,0.6023370678231538,0.13793103448275862,749.624825
24,17558,0.6125,0.624375,0.831478135164438,0.8275862068965517,731.0242195121951
25,21655,0.5888,0.860375,0.9658113480303577,0.48275862068965514,565.1468529411765
26,7145,0.1125,0.6325937500000001,0.822816528129141,0.13793103448275862,499.974825
27,12839,0.625,0.809375,0.9879412119021804,1.0,470.90465
28,19923,0.56515,0.26500625,0.9300566196843754,0.27586206896551724,322.56751612903224
29,12648,0.6125,0.9375,0.62643055053608,1.0,307.25
30,11640,0.3625,0.9375,0.62643055053608,1.0,305.3
31,13024,0.625,0.9375,0.62643055053608,1.0,302.4
32,13656,0.8625,0.9375,0.62643055053608,1.0,300.65
33,11008,0.125,0.9375,0.62643055053608,1.0,300.45
34,12016,0.375,0.9375,0.62643055053608,1.0,299.8
35,10632,0.1125,0.9375,0.62643055053608,1.0,296.95
36,8763,0.625,0.465625,0.9116251054089869,0.6896551724137931,293.91744117647056
37,14032,0.875,0.9375,0.62643055053608,1.0,292.4
38,18435,0.4461375,0.7103125,0.9055053607999035,0.9655172413793103,277.91647222222224
39,9629,0.875,0.6453125,0.6612275629442236,1.0,265.8347
40,8856,0.6125,0.4210625,0.9325864353692326,0.13793103448275862,250.049825
41,4811,0.625,0.090625,0.8367546078785688,1.0,249.7097
42,12647,0.6125,0.9375,0.6508384531984098,1.0,249.2
43,11639,0.3625,0.9375,0.6508384531984098,1.0,247.0
44,13021,0.625,0.9375,0.6508384531984098,1.0,244.75
45,12013,0.375,0.9375,0.6508384531984098,1.0,242.85
46,11005,0.125,0.9375,0.6508384531984098,1.0,241.75
47,13655,0.8625,0.9375,0.6508384531984098,1.0,241.3
48,10631,0.1125,0.9375,0.6508384531984098,1.0,236.25
49,14029,0.875,0.9375,0.6508384531984098,1.0,232.8
50,14033,0.875,0.934375,0.62643055053608,1.0,230.65
51,10628,0.1125,0.934375,0.62643055053608,1.0,225.85
52,13652,0.8625,0.934375,0.62643055053608,1.0,219.35
53,13025,0.625,0.934375,0.62643055053608,1.0,218.55
54,11009,0.125,0.934375,0.62643055053608,1.0,217.4
55,12017,0.375,0.934375,0.62643055053608,1.0,216.75
56,12644,0.6125,0.934375,0.62643055053608,1.0,213.7
57,11636,0.3625,0.934375,0.62643055053608,1.0,213.35
58,12648,0.6125,0.9375,0.62643055053608,0.6206896551724137,212.85714285714286
59,11640,0.3625,0.9375,0.62643055053608,0.6206896551724137,212.5
60,11008,0.125,0.9375,0.62643055053608,0.6206896551724137,211.42857142857142
61,12016,0.375,0.9375,0.62643055053608,0.6206896551724137,210.0
62,13024,0.625,0.9375,0.62643055053608,0.6206896551724137,210.0
63,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,209.67741935483872
64,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,209.67741935483872
65,13656,0.8625,0.9375,0.62643055053608,0.6206896551724137,209.64285714285714
66,10632,0.1125,0.9375,0.62643055053608,0.6206896551724137,207.5
67,10632,0.1125,0.9375,0.62643055053608,0.27586206896551724,206.4516129032258
68,12016,0.375,0.9375,0.62643055053608,0.27586206896551724,206.4516129032258
69,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,206.4516129032258
70,13024,0.625,0.9375,0.62643055053608,0.27586206896551724,206.4516129032258
71,13656,0.8625,0.9375,0.62643055053608,0.27586206896551724,206.4516129032258
72,14032,0.875,0.9375,0.62643055053608,0.6206896551724137,204.28571428571428
73,14032,0.875,0.9375,0.62643055053608,0.27586206896551724,203.2258064516129
74,18779,0.3327375,0.58884375,0.9113359836164318,0.9655172413793103,194.43872222222222
75,6324,0.125,0.5625,0.906143838091796,0.9655172413793103,193.6526111111111
76,12642,0.6125,0.934375,0.7059462715335502,1.0,188.0
77,11634,0.3625,0.934375,0.7059462715335502,1.0,186.55
78,13026,0.625,0.934375,0.7059462715335502,1.0,186.3
79,11640,0.3625,0.9375,0.62643055053608,0.9655172413793103,183.33333333333334
80,12018,0.375,0.934375,0.7059462715335502,1.0,183.25
81,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,180.55555555555554
82,12648,0.6125,0.9375,0.62643055053608,0.9655172413793103,180.55555555555554
83,11010,0.125,0.934375,0.7059462715335502,1.0,180.0
84,10626,0.1125,0.934375,0.7059462715335502,1.0,178.55
85,10632,0.1125,0.9375,0.62643055053608,0.9655172413793103,177.77777777777777
86,14032,0.875,0.9375,0.62643055053608,0.9655172413793103,177.77777777777777
