rank,node_number,x_n,y_n,z_n,t_n,score
1,10153,0.8625,0.403125,0.7671364895795687,0.6206896551724137,17859.285428571427
2,11387,0.3625,0.9262812500000001,0.8589928924225997,0.0,9990.999733333334
3,9258,0.6125,0.54434375,0.922840621611854,0.48275862068965514,8822.94094117647
4,10718,0.1125,0.6761250000000001,0.733739308517046,0.48275862068965514,8818.823294117647
5,13069,0.625,0.871875,0.8461510661366101,0.13793103448275862,7494.4998
6,12926,0.625,0.684375,0.7872545476448619,0.8275862068965517,7323.658341463414
7,12194,0.375,0.67396875,0.6938103842910492,0.6896551724137931,5874.117411764706
8,3018,0.125,0.153125,0.62643055053608,0.3448275862068966,3844.8843076923076
9,3903,0.375,0.3390625,0.6754101915431876,0.0,3332.7330666666667
10,12578,0.6125,0.840625,0.7245512588844717,0.0,2999.0997666666667
11,20783,0.3987,0.43846875,0.955149981929888,0.3448275862068966,2692.3458846153844
12,17709,0.29137500000000005,0.92909375,0.8663775448741116,0.8275862068965517,2440.731512195122
13,22520,0.5651375,0.21505000000000002,0.9803397181062522,0.9655172413793103,2222.2498055555557
14,20452,0.6843874999999999,0.8814375,0.9550174677749668,0.27586206896551724,1934.2900967741934
15,8279,0.3625,0.625,0.7660281893747741,0.27586206896551724,1618.0965483870968
16,19334,0.81515,0.105675,0.9282255149981928,1.0,999.94965
17,24346,0.6962125,0.81971875,0.9993253824840381,1.0,997.79965
18,18960,0.7141,0.59978125,0.904035658354415,0.3448275862068966,769.2689615384616
19,1403,0.5,0.484375,0.6023370678231538,0.13793103448275862,749.799825
20,1360,0.625,0.4375,0.6023370678231538,0.8275862068965517,731.853487804878
21,6902,0.1125,0.559375,0.8586917238886881,0.6896551724137931,590.0292058823529
22,21655,0.5888,0.860375,0.9658113480303577,0.48275862068965514,585.6468529411765
23,7145,0.1125,0.6325937500000001,0.822816528129141,0.13793103448275862,499.974825
24,12839,0.625,0.809375,0.9879412119021804,1.0,491.76465
25,18243,0.517775,0.39940625,0.9086254668112275,0.8275862068965517,487.8290975609756
26,15371,0.3986,0.35096875,0.7631128779665101,0.8275862068965517,487.68275609756097
27,16004,0.8151875000000001,0.330634375,0.7730032526201662,0.6206896551724137,357.1104642857143
28,8763,0.625,0.465625,0.9116251054089869,0.6896551724137931,294.0174411764706
29,9115,0.6125,0.4375,0.763763401999759,0.6896551724137931,264.3233529411765
30,8856,0.6125,0.4210625,0.9325864353692326,0.13793103448275862,250.049825
31,6717,0.125,0.4212187500000001,0.8866401638356823,0.8275862068965517,195.45839024390244
32,18779,0.3327375,0.58884375,0.9113359836164318,0.9655172413793103,194.54983333333334
33,6324,0.125,0.5625,0.906143838091796,0.9655172413793103,193.8915
34,12648,0.6125,0.9375,0.62643055053608,1.0,154.0
35,13656,0.8625,0.9375,0.62643055053608,1.0,153.95
36,11640,0.3625,0.9375,0.62643055053608,1.0,153.5
37,11008,0.125,0.9375,0.62643055053608,1.0,150.15
38,12016,0.375,0.9375,0.62643055053608,1.0,149.9
39,13024,0.625,0.9375,0.62643055053608,1.0,149.85
40,10632,0.1125,0.9375,0.62643055053608,1.0,148.8
41,14032,0.875,0.9375,0.62643055053608,1.0,148.05
42,11639,0.3625,0.9375,0.6508384531984098,1.0,124.35
43,12647,0.6125,0.9375,0.6508384531984098,1.0,124.3
44,13655,0.8625,0.9375,0.6508384531984098,1.0,123.65
45,12013,0.375,0.9375,0.6508384531984098,1.0,121.55
46,11005,0.125,0.9375,0.6508384531984098,1.0,120.95
47,13021,0.625,0.9375,0.6508384531984098,1.0,120.75
48,10631,0.1125,0.9375,0.6508384531984098,1.0,118.6
49,14029,0.875,0.9375,0.6508384531984098,1.0,118.0
50,14033,0.875,0.934375,0.62643055053608,1.0,116.85
51,13025,0.625,0.934375,0.62643055053608,1.0,112.85
