rank,node_number,x_n,y_n,z_n,t_n,score
1,7496,0.375,0.48278125000000005,0.8773762197325623,0.48275862068965514,29989.999199999995
2,54,0.4375,0.9375,0.62643055053608,0.9655172413793103,10054.999199999998
3,9171,0.6125,0.64396875,0.7863028550777015,0.48275862068965514,10007.999199999998
4,2636,0.1125,0.068996875,0.8251897361763642,0.9655172413793103,10000.999199999998
5,18071,0.625,0.0962375,0.9258523069509698,0.27586206896551724,10000.443666666664
6,11848,0.375,0.798375,0.9183833273099626,0.13793103448275862,9950.099199999999
7,1991,1.0,0.921875,0.6023370678231538,0.9655172413793103,9049.8993
8,7406,0.375,0.36428125,0.822816528129141,0.48275862068965514,9001.499299999998
9,4466,0.6125,0.184375,0.8542103361040838,0.13793103448275862,8993.8993
10,14069,0.875,0.871875,0.62643055053608,0.9655172413793103,8112.999299999999
11,10727,0.1125,0.684375,0.8084809059149499,0.0,7836.665888888887
12,13625,0.8625,0.875,0.842561137212384,0.0,7822.443666666665
13,13915,0.875,0.7088125,0.8888085772798457,0.8275862068965517,7536.749416666666
14,11094,0.125,0.809375,0.8542103361040838,0.13793103448275862,6989.499299999999
15,21982,0.672475,0.15562499999999999,0.9918684495843875,0.9655172413793103,5999.899299999999
16,8747,0.625,0.434375,0.8618600168654379,0.6206896551724137,5996.799299999999
17,10756,0.1125,0.709,0.8218527888206241,0.0,4407.776999999999
18,12769,0.6125,0.6891875,0.8427538850740873,0.0,4407.5547777777765
19,5490,0.8625,0.1875,0.62643055053608,0.6206896551724137,4007.0992999999994
20,23945,0.3328125,0.50134375,0.9878809781953981,0.6206896551724137,4000.1992999999993
21,547,0.5625,0.421875,0.62643055053608,0.3448275862068966,3999.4992999999995
22,9840,0.8625,0.465625,0.8893988676063125,0.3448275862068966,3995.899299999999
23,15471,0.625,0.34940625000000003,0.7574509095289723,0.3448275862068966,3000.3992999999996
24,19775,0.8032,0.73921875,0.9406336585953499,1.0,2857.284714285714
25,18091,0.6545875,0.079471875,0.8933863389953016,1.0,2856.999
26,9972,0.8625,0.64546875,0.7352017829177208,0.27586206896551724,2239.8881111111104
27,17560,0.58875,0.6134999999999999,0.8597036501626311,0.0,2222.9992222222218
28,22149,0.6961875,0.46343750000000006,0.9769425370437297,0.0,2222.110333333333
29,23568,0.21405124999999997,0.795875,0.998000240934827,0.6896551724137931,2030.4992999999997
30,18404,0.49375,0.7103125,0.8919166365498132,0.48275862068965514,2003.8992999999996
31,19918,0.42247500000000004,0.258771875,0.939103722443079,0.3448275862068966,1999.8992999999996
32,5381,0.8625,0.0349590625,0.7669437417178653,0.13793103448275862,1999.4992999999997
33,388,0.1875,0.59375,0.62643055053608,0.13793103448275862,1998.0992999999996
34,8600,0.625,0.61278125,0.7551740754126008,0.9655172413793103,1997.0992999999996
35,22305,0.5414749999999999,0.77596875,0.9769545837850862,0.3448275862068966,1980.2992999999997
36,21437,0.6125,0.5587500000000001,0.9547885796891941,0.9655172413793103,1000.8992999999998
37,6381,0.125,0.43634375,0.9653294783760993,0.13793103448275862,1000.5992999999999
38,20640,0.625,0.12440625000000001,0.9533911576918442,0.6206896551724137,1000.0992999999999
39,2249,0.1125,0.21131875,0.908167690639682,0.48275862068965514,999.5092999999998
40,4374,0.6125,0.0296875,0.62643055053608,0.9655172413793103,999.4492999999998
41,6196,0.875,0.30129375,0.8589928924225997,0.6896551724137931,998.6792999999998
42,10186,0.8625,0.638375,0.8049271172147935,0.9655172413793103,992.2492999999998
43,12429,0.6125,0.88009375,0.9567642452716538,0.6206896551724137,968.2992999999998
44,4765,0.625,0.177659375,0.9049150704734369,0.48275862068965514,901.1293999999998
45,12648,0.6125,0.9375,0.62643055053608,1.0,850.142857142857
46,11640,0.3625,0.9375,0.62643055053608,1.0,848.5714285714284
47,13656,0.8625,0.9375,0.62643055053608,1.0,843.2857142857142
48,13024,0.625,0.9375,0.62643055053608,1.0,841.5714285714284
49,11008,0.125,0.9375,0.62643055053608,1.0,841.2857142857142
50,12016,0.375,0.9375,0.62643055053608,1.0,840.2857142857142
51,10632,0.1125,0.9375,0.62643055053608,1.0,824.4285714285713
52,14032,0.875,0.9375,0.62643055053608,1.0,823.5714285714284
53,10974,0.125,0.921625,0.7775207806288399,0.9655172413793103,790.3893999999999
54,3332,0.3625,0.20443125,0.9969883146608842,1.0,714.1991428571428
55,15799,0.24392624999999998,0.329084375,0.7783640525237921,0.48275862068965514,699.7493999999999
56,2756,0.125,0.125,0.8807252138296592,0.48275862068965514,699.3193999999999
57,12647,0.6125,0.9375,0.6508384531984098,1.0,683.2857142857142
58,11639,0.3625,0.9375,0.6508384531984098,1.0,681.9999999999999
59,12648,0.6125,0.9375,0.62643055053608,0.27586206896551724,679.9999999999999
60,11008,0.125,0.9375,0.62643055053608,0.27586206896551724,678.8888888888888
61,11640,0.3625,0.9375,0.62643055053608,0.27586206896551724,677.7777777777776
62,13021,0.625,0.9375,0.6508384531984098,1.0,675.8571428571428
