rank,node_number,x_n,y_n,z_n,t_n,score
1,3373,0.3625,0.0625,0.7059462715335502,0.8275862068965517,99994.99955
2,19290,0.375,0.10253125,0.9232502108179736,0.8275862068965517,30008.9996
3,21946,0.8625,0.14315625,0.9714251295024696,0.8275862068965517,19996.4996
4,9930,0.8625,0.40625,0.8578604987350921,0.48275862068965514,17648.234823529412
5,4503,0.6125,0.21875,0.62643055053608,0.13793103448275862,16667.77733333333
6,889,0.75,0.0625,0.62643055053608,0.27586206896551724,16667.49933333333
7,18274,0.625,0.405625,0.9069871099867486,0.3448275862068966,15385.383999999998
8,21487,0.8625,0.561875,0.9511866040236115,0.48275862068965514,11764.117176470589
9,15292,0.125,0.34628125,0.7456993133357427,0.6206896551724137,8343.332666666665
10,19314,0.43436249999999993,0.10329999999999999,0.937513552584026,0.27586206896551724,8330.166
11,18030,0.5887625,0.09155624999999999,0.9174798217082278,0.0,8000.199299999998
12,21215,0.3987625,0.235340625,0.9658474882544271,0.9655172413793103,6671.999466666666
13,21215,0.3987625,0.235340625,0.9658474882544271,0.6896551724137931,6671.999466666666
14,2549,0.1125,0.32720625000000003,0.6958065293338151,0.9655172413793103,6664.266133333333
15,10894,0.125,0.6875,0.8107697867726779,0.3448275862068966,6153.768692307692
16,10451,0.1125,0.6593125,0.6440983014094687,0.0,5999.599299999999
17,4772,0.625,0.153125,0.8893988676063125,0.27586206896551724,5832.416083333333
18,19269,0.4640000000000001,0.10524375,0.927550897482231,0.6206896551724137,5822.166083333333
19,18657,0.52335,0.28025625,0.917588242380436,0.6896551724137931,4654.799533333333
20,23985,0.19619625000000002,0.5103125000000001,0.9987591856402842,0.27586206896551724,4166.749416666666
21,5898,0.875,0.265309375,0.8349837368991687,0.3448275862068966,3838.999461538461
22,20085,0.125,0.58375,0.933249006143838,1.0,3529.5285882352932
23,16621,0.15454125000000002,0.05759375,0.8246717262980364,0.6896551724137931,3331.999533333333
24,1526,0.6875,0.609375,0.6023370678231538,0.3448275862068966,3076.845615384615
25,5009,0.625,0.1875,0.7023551379351886,0.3448275862068966,3076.7686923076917
26,13091,0.625,0.840625,0.7000216841344417,0.6896551724137931,2666.8661999999995
27,20089,0.3625,0.58375,0.933249006143838,0.6896551724137931,2666.799533333333
28,15065,0.22385125,0.040266562500000005,0.7858330321647994,0.8275862068965517,1497.09965
29,3902,0.375,0.3390625,0.6552355137935189,1.0,1186.8227058823527
30,23988,0.29145000000000004,0.50721875,0.9993253824840381,0.48275862068965514,1176.529
31,10250,0.8625,0.6005625,0.8888085772798457,1.0,1176.3168235294115
32,17880,0.696275,0.92909375,0.8664377785808939,0.0,799.9893999999998
33,4683,0.6125,0.10855624999999999,0.9325864353692326,1.0,204.35294117647055
34,3217,0.125,0.3125,0.8084809059149499,1.0,200.11764705882348
35,3827,0.375,0.0464478125,0.7905914950006022,1.0,174.35294117647055
36,3790,0.375,0.10855624999999999,0.9325864353692326,1.0,161.64705882352936
37,3633,0.3625,0.042315000000000005,0.7767256956993133,1.0,158.70588235294113
38,5256,0.8625,0.3125,0.8084809059149499,1.0,158.23529411764702
39,2778,0.125,0.10855624999999999,0.9325864353692326,1.0,155.17647058823525
40,4357,0.6125,0.109803125,0.9472834598241175,1.0,154.1176470588235
41,5256,0.8625,0.3125,0.8084809059149499,0.0,152.99999999999997
42,17986,0.375,0.0931125,0.9069871099867486,1.0,151.41176470588232
43,3217,0.125,0.3125,0.8084809059149499,0.0,146.99999999999997
44,4229,0.375,0.3125,0.8084809059149499,1.0,143.7647058823529
45,4244,0.6125,0.3125,0.8084809059149499,1.0,143.6470588235294
46,2727,0.125,0.17785625,0.9873750150584266,1.0,143.52941176470586
47,18002,0.375,0.08065625,0.8959161546801591,1.0,142.9411764705882
48,16668,0.6125,0.058826875,0.8281652812914105,1.0,141.29411764705878
49,20573,0.6125,0.1368625,0.9661366100469823,1.0,140.70588235294116
50,5241,0.625,0.3125,0.8084809059149499,1.0,140.5647058823529
51,17997,0.6125,0.080703125,0.8960125286110107,1.0,140.35294117647055
52,3634,0.3625,0.0464478125,0.7905914950006022,1.0,138.82352941176467
53,3803,0.375,0.0838125,0.8888085772798457,1.0,135.6470588235294
54,3125,0.125,0.109803125,0.9472834598241175,1.0,134.9411764705882
55,16698,0.375,0.058780624999999996,0.8280327671364895,1.0,133.29411764705878
56,4672,0.6125,0.0838125,0.8888085772798457,1.0,131.7647058823529
57,5256,0.8625,0.3125,0.8084809059149499,0.27586206896551724,131.66666666666666
58,19293,0.6125,0.102578125,0.936369112155162,1.0,131.17647058823528
59,4244,0.6125,0.3125,0.8084809059149499,0.0,130.99999999999997
60,3217,0.125,0.3125,0.8084809059149499,0.6206896551724137,130.33333333333331
61,16701,0.6125,0.058826875,0.8430309601252861,1.0,129.7647058823529
62,17963,0.6125,0.0931125,0.9069871099867486,1.0,129.6470588235294
63,16019,0.8625,0.321328125,0.8190820383086375,1.0,129.41176470588232
64,15827,0.125,0.31815625000000003,0.8133477894229612,1.0,128.9411764705882
65,4646,0.6125,0.0464478125,0.7905914950006022,1.0,127.41176470588232
66,4670,0.6125,0.07058125,0.8589928924225997,1.0,126.23529411764703
67,5302,0.8625,0.26331875,0.9325864353692326,0.6896551724137931,125.99999999999999
68,2814,0.125,0.042315000000000005,0.7767256956993133,1.0,125.17647058823526
69,3217,0.125,0.3125,0.8084809059149499,0.27586206896551724,124.99999999999999
70,19298,0.375,0.10253125,0.9362968317070233,1.0,124.11764705882351
71,2294,0.1125,0.31689375000000003,0.817094325984821,1.0,123.99999999999997
72,5162,0.625,0.31689375000000003,0.817094325984821,1.0,122.9411764705882
73,5256,0.8625,0.3125,0.8084809059149499,0.6206896551724137,122.49999999999999
74,16006,0.8625,0.31815625000000003,0.8133477894229612,1.0,122.35294117647057
75,20560,0.375,0.1368625,0.9661366100469823,1.0,120.9411764705882
76,2325,0.1125,0.16744375,0.9969883146608842,1.0,120.23529411764703
77,5302,0.8625,0.26331875,0.9325864353692326,0.9655172413793103,119.99999999999999
78,3801,0.375,0.07058125,0.8589928924225997,1.0,119.41176470588233
79,3800,0.375,0.090625,0.9023370678231537,1.0,119.05882352941174
80,6174,0.875,0.31689375000000003,0.817094325984821,1.0,118.70588235294115
81,7736,0.375,0.44396874999999997,0.930333694735574,1.0,117.69341176470586
82,2343,0.1125,0.046015,0.8049271172147935,1.0,117.41176470588233
83,4683,0.6125,0.10855624999999999,0.9325864353692326,0.6206896551724137,117.24999999999999
84,5302,0.8625,0.26331875,0.9325864353692326,0.8275862068965517,117.0
85,4676,0.6125,0.090625,0.9023370678231537,1.0,116.82352941176468
86,4137,0.375,0.109803125,0.9472834598241175,1.0,116.58823529411762
87,23258,0.625,0.16815625,0.9972172027466569,1.0,115.52941176470586
88,15849,0.12499999999999992,0.32128125,0.8192145524635586,1.0,115.41176470588233
89,17994,0.375,0.08065625,0.8821346825683652,1.0,115.41176470588233
90,4229,0.375,0.3125,0.8084809059149499,0.0,114.99999999999999
91,4706,0.6125,0.13343750000000001,0.9629442235875195,1.0,114.94117647058822
92,3216,0.125,0.3125,0.7872545476448619,1.0,114.35294117647057
93,15127,0.3949125,0.05118625,0.8056499216961811,1.0,114.23529411764703
94,4244,0.6125,0.3125,0.8084809059149499,0.27586206896551724,114.16666666666664
95,3217,0.125,0.3125,0.8084809059149499,0.9655172413793103,113.99999999999999
96,3306,0.3625,0.31689375000000003,0.817094325984821,1.0,113.76470588235291
97,4682,0.6125,0.10201875,0.9224189856643776,1.0,113.64705882352939
98,3217,0.125,0.3125,0.8084809059149499,0.3448275862068966,113.23076923076921
99,3826,0.375,0.042315000000000005,0.7767256956993133,1.0,112.82352941176468
100,4290,0.6125,0.26331875,0.9325864353692326,1.0,112.35294117647057
101,5241,0.625,0.3125,0.8084809059149499,0.0,111.99999999999999
102,4358,0.6125,0.10290625,0.9368871220334899,1.0,111.88235294117645
103,15057,0.12499999999999992,0.036905625,0.7740151788941092,1.0,111.52941176470586
104,4150,0.375,0.31689375000000003,0.817094325984821,1.0,111.52941176470586
105,16706,0.375,0.058780624999999996,0.8428984459703649,1.0,111.2941176470588
106,3232,0.3625,0.3125,0.8084809059149499,1.0,111.2705882352941
107,4318,0.6125,0.31689375000000003,0.817094325984821,1.0,110.94117647058822
108,18012,0.4048125000000001,0.0942875,0.9224189856643776,1.0,110.82352941176468
109,19272,0.375,0.09940625,0.9180821587760511,1.0,110.35294117647057
110,2658,0.1125,0.10201875,0.9224189856643776,1.0,110.23529411764703
111,3217,0.125,0.3125,0.8084809059149499,0.6896551724137931,109.33333333333331
112,19265,0.5828875,0.10135000000000001,0.9213227322009396,1.0,109.2941176470588
113,17964,0.6125,0.080703125,0.882231056499217,1.0,109.2941176470588
114,15826,0.1448775,0.319459375,0.8094085049993975,1.0,109.17647058823528
115,3822,0.375,0.059375,0.7872545476448619,1.0,108.70588235294116
116,16667,0.6125,0.0712375,0.8605951090230093,1.0,108.47058823529409
117,4683,0.6125,0.10855624999999999,0.9325864353692326,0.3448275862068966,108.15384615384613
118,4131,0.375,0.15274062500000002,0.9902300927599084,1.0,107.99999999999997
119,4244,0.6125,0.3125,0.8084809059149499,0.6206896551724137,107.74999999999999
120,5256,0.8625,0.3125,0.8084809059149499,0.3448275862068966,106.9230769230769
121,3343,0.3625,0.12385312499999998,0.9653294783760993,1.0,106.70588235294116
122,3632,0.3625,0.038275312500000006,0.762462353933261,1.0,106.4705882352941
123,4140,0.375,0.089403125,0.9134441633538127,1.0,106.11764705882351
124,23102,0.125,0.16503125000000002,0.9840380677026864,1.0,105.41176470588233
125,6174,0.875,0.31689375000000003,0.817094325984821,0.0,104.99999999999999
126,4229,0.375,0.3125,0.8084809059149499,0.6206896551724137,104.74999999999999
127,5195,0.625,0.26331875,0.9325864353692326,0.6896551724137931,104.66666666666666
128,4750,0.625,0.171346875,0.9860498735092157,1.0,104.58823529411762
129,20517,0.3625,0.12445312500000001,0.9660040958920612,1.0,104.58823529411762
130,5147,0.625,0.12385312499999998,0.9653294783760993,1.0,104.57647058823527
131,15815,0.148845,0.32284375,0.7989037465365619,1.0,104.11764705882351
132,23114,0.125,0.16503125000000002,0.9961450427659317,0.9655172413793103,103.99999999999999
133,2294,0.1125,0.31689375000000003,0.817094325984821,0.0,103.99999999999999
134,2777,0.125,0.10201875,0.9224189856643776,1.0,103.52941176470586
135,3136,0.125,0.04040375,0.7863028550777015,1.0,103.17647058823528
136,18014,0.582775,0.0942875,0.9224189856643776,1.0,102.94117647058822
137,4183,0.375,0.26331875,0.9325864353692326,1.0,102.4705882352941
138,17278,0.3625,0.29628125,0.8848572461149259,1.0,102.35294117647057
139,15053,0.3625,0.036951875,0.7741838332730996,1.0,102.11764705882351
140,23114,0.125,0.16503125000000002,0.9961450427659317,0.6896551724137931,101.99999999999999
141,19920,0.375,0.25565625000000003,0.9433080351764848,1.0,101.99999999999997
142,15101,0.59265,0.05118625,0.8056499216961811,1.0,101.88235294117645
143,17395,0.7737,0.3091625,0.8388507408745933,1.0,101.52941176470586
144,5195,0.625,0.26331875,0.9325864353692326,0.9655172413793103,101.33333333333331
145,15816,0.12499999999999992,0.32128125,0.8038188170099987,1.0,101.17647058823528
146,20663,0.625,0.12440625000000001,0.9659559089266353,1.0,101.17647058823528
147,17283,0.3327,0.298234375,0.8803999518130344,1.0,100.82352941176468
148,17436,0.6548,0.298234375,0.8803999518130344,1.0,100.82352941176468
149,4838,0.625,0.042315000000000005,0.7767256956993133,1.0,99.76470588235291
150,3767,0.375,0.146521875,0.9739549451873267,1.0,99.6941176470588
151,19282,0.375,0.11498749999999999,0.9416696783520058,1.0,99.52941176470586
152,4229,0.375,0.3125,0.8084809059149499,0.27586206896551724,99.16666666666666
153,3232,0.3625,0.3125,0.8084809059149499,0.0,98.99999999999999
154,17249,0.21405875000000002,0.3091625,0.8388507408745933,1.0,98.94117647058822
155,19926,0.6125,0.25570312500000003,0.9432478014697024,1.0,98.58823529411762
156,19271,0.4046125,0.10135000000000001,0.9213227322009396,1.0,98.4705882352941
157,16007,0.842625,0.319459375,0.8094085049993975,1.0,98.23529411764704
158,4624,0.6125,0.09375,0.8796530538489338,1.0,98.0705882352941
159,17414,0.8625,0.31186250000000004,0.831478135164438,1.0,97.99999999999999
160,19264,0.6125,0.09940625,0.9180821587760511,1.0,97.52941176470586
161,4660,0.6125,0.068996875,0.8251897361763642,1.0,97.45882352941175
162,23113,0.12499999999999992,0.16815625,0.9972172027466569,1.0,97.2941176470588
163,16001,0.8625,0.321328125,0.8036742561137211,1.0,97.2941176470588
164,19220,0.3625,0.1181125,0.9584507890615589,1.0,97.17647058823528
165,5241,0.625,0.3125,0.8084809059149499,0.6206896551724137,96.99999999999999
166,18000,0.375,0.0931125,0.9203228526683531,1.0,96.4705882352941
167,4229,0.375,0.3125,0.8084809059149499,0.9655172413793103,95.99999999999999
168,5162,0.625,0.31689375000000003,0.817094325984821,0.0,95.99999999999999
169,15023,0.3625,0.052488749999999994,0.8096373930851704,1.0,95.99999999999999
170,19247,0.15478625,0.11616562500000001,0.955957113600771,1.0,95.88235294117645
171,5241,0.625,0.3125,0.8084809059149499,0.27586206896551724,95.83333333333331
172,3790,0.375,0.10855624999999999,0.9325864353692326,0.6206896551724137,95.66666666666666
173,3116,0.125,0.17483437500000001,0.9989157932779182,1.0,95.52941176470586
174,5195,0.625,0.26331875,0.9325864353692326,0.8275862068965517,95.0
175,19190,0.3387875,0.11343125000000001,0.9395494518732683,1.0,94.70588235294116
176,3124,0.125,0.1167875,0.9567642452716538,1.0,94.4705882352941
177,4138,0.375,0.10290625,0.9368871220334899,1.0,94.35294117647057
178,16020,0.8625,0.31815625000000003,0.828538730273461,0.0,93.99999999999999
179,2336,0.1125,0.089403125,0.9134441633538127,1.0,93.99999999999999
180,4818,0.625,0.0625,0.8107697867726779,1.0,93.9176470588235
181,23107,0.3625,0.1806125,0.9997470184315143,1.0,93.88235294117645
182,17250,0.18441875,0.311103125,0.833586314901819,1.0,93.64705882352939
183,6195,0.875,0.294746875,0.8743645343934465,1.0,93.52941176470586
184,16024,0.625,0.31815625000000003,0.828538730273461,1.0,93.2941176470588
185,4244,0.6125,0.3125,0.8084809059149499,0.3448275862068966,93.07692307692307
186,17262,0.125,0.31186250000000004,0.831478135164438,1.0,93.05882352941174
187,4650,0.6125,0.059375,0.7872545476448619,1.0,93.0470588235294
188,15864,0.2240475,0.324653125,0.8087700277075051,1.0,92.94117647058822
189,16009,0.8030125,0.322059375,0.8013853752559932,1.0,92.94117647058822
190,23751,0.3625,0.19007812500000001,0.9877966510059029,1.0,92.70588235294116
191,6195,0.875,0.294746875,0.8743645343934465,0.6896551724137931,92.66666666666666
192,17394,0.8032625,0.311103125,0.833586314901819,1.0,92.4705882352941
193,3849,0.375,0.09375,0.8796530538489338,1.0,92.39999999999998
194,5313,0.8625,0.2880625,0.8888085772798457,0.6896551724137931,92.26666666666665
195,16690,0.375,0.0712375,0.8605951090230093,1.0,92.23529411764704
196,5256,0.8625,0.3125,0.8084809059149499,0.13793103448275862,92.22222222222223
197,6195,0.875,0.294746875,0.8743645343934465,0.9655172413793103,92.06666666666665
198,3306,0.3625,0.31689375000000003,0.817094325984821,0.0,91.99999999999999
199,4229,0.375,0.3125,0.8084809059149499,0.6896551724137931,91.33333333333333
200,15142,0.6125,0.04936375,0.8154559691603421,1.0,90.94117647058822
201,3217,0.125,0.3125,0.8084809059149499,0.8275862068965517,90.5
202,19259,0.6125,0.11498749999999999,0.9416696783520058,1.0,90.35294117647057
203,19221,0.3625,0.102578125,0.936369112155162,1.0,90.11764705882351
204,3117,0.125,0.16744375,0.9969883146608842,0.9655172413793103,89.99999999999999
205,4229,0.375,0.3125,0.8084809059149499,0.3448275862068966,89.99999999999999
206,3790,0.375,0.10855624999999999,0.9325864353692326,0.3448275862068966,89.9230769230769
207,17283,0.3327,0.298234375,0.8803999518130344,0.0,89.89999999999998
208,15824,0.18448875,0.322059375,0.8013853752559932,1.0,89.64705882352939
209,4677,0.6125,0.064178125,0.8427538850740873,1.0,89.52941176470587
210,17263,0.14864625,0.3103125,0.835742681604626,1.0,89.52941176470587
211,3217,0.125,0.3125,0.8084809059149499,0.48275862068965514,89.41176470588235
212,3795,0.375,0.064178125,0.8427538850740873,1.0,89.41176470588233
213,20590,0.6125,0.1368625,0.9785086134200698,1.0,89.17647058823528
214,15825,0.16463375,0.32075624999999997,0.8054451270931212,1.0,89.05882352941174
215,15095,0.375,0.04936375,0.7999638597759305,1.0,89.05882352941174
216,2727,0.125,0.17785625,0.9873750150584266,0.0,88.99999999999999
217,4326,0.6125,0.325859375,0.8049271172147935,0.0,88.99999999999999
218,4354,0.6125,0.13098749999999998,0.9729671123960967,1.0,88.94117647058822
219,17251,0.15458875,0.31305312500000004,0.8281532345500542,1.0,88.94117647058822
220,3356,0.3625,0.04040375,0.7863028550777015,1.0,88.82352941176468
221,5720,0.8625,0.146521875,0.9739549451873267,1.0,88.70588235294116
222,3117,0.125,0.16744375,0.9969883146608842,0.6896551724137931,88.66666666666666
223,5313,0.8625,0.2880625,0.8888085772798457,0.9655172413793103,88.6
224,4625,0.6125,0.09375,0.9014576557041319,1.0,88.58823529411762
225,20016,0.625,0.25253125,0.9599807252138296,1.0,88.58823529411762
226,4817,0.625,0.0625,0.789519335019877,1.0,88.52941176470587
227,19301,0.3986875,0.104084375,0.9387423202023851,1.0,88.4705882352941
228,3765,0.375,0.13343750000000001,0.9629442235875195,1.0,88.35294117647057
229,6174,0.875,0.31689375000000003,0.817094325984821,0.27586206896551724,88.33333333333331
230,6174,0.875,0.31689375000000003,0.817094325984821,0.6206896551724137,88.33333333333331
231,17413,0.8389,0.310315625,0.8357306348632694,1.0,88.23529411764704
232,5944,0.875,0.3125,0.62643055053608,1.0,88.23529411764704
233,2621,0.1125,0.042315000000000005,0.7767256956993133,1.0,88.11764705882351
234,15932,0.6125,0.31815625000000003,0.828538730273461,0.0,87.99999999999999
235,2813,0.125,0.038275312500000006,0.762462353933261,1.0,87.76470588235293
236,5162,0.625,0.31689375000000003,0.817094325984821,0.6206896551724137,87.49999999999999
237,2294,0.1125,0.31689375000000003,0.817094325984821,0.27586206896551724,87.49999999999999
238,15145,0.375,0.04936375,0.8154559691603421,1.0,87.41176470588233
239,4708,0.6125,0.146521875,0.9739549451873267,1.0,87.17647058823528
240,21874,0.6125,0.14315625,0.9714251295024696,1.0,87.17647058823528
241,3117,0.125,0.16744375,0.9969883146608842,1.0,87.17647058823528
242,4141,0.375,0.0828125,0.9004216359474762,1.0,87.17647058823528
243,5257,0.8625,0.3125,0.7872545476448619,0.0,86.99999999999999
244,21279,0.625,0.24936250000000001,0.9511866040236115,1.0,86.82352941176468
