rank,node_number,x_n,y_n,z_n,t_n,score
1,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,13953.786069651742
2,11008,0.125,0.9375,0.62643055053608,0.6896551724137931,13861.085368305134
3,12183,0.375,0.6875,0.7059462715335502,0.8275862068965517,13777.612903225807
4,11639,0.3625,0.9375,0.6508384531984098,0.8275862068965517,13414.322580645161
5,5399,0.8625,0.0625,0.65293579086857,0.13793103448275862,12678.507246376812
6,4087,0.375,0.0625,0.7059462715335502,0.27586206896551724,11464.89393939394
7,5085,0.625,0.090625,0.7671364895795687,0.13793103448275862,11027.782608695652
8,2526,0.1125,0.309375,0.7059462715335502,0.13793103448275862,10790.101449275362
9,2910,0.125,0.309375,0.7059462715335502,0.13793103448275862,10620.536231884058
10,10624,0.1125,0.934375,0.65293579086857,0.8275862068965517,10537.290322580646
11,12018,0.375,0.934375,0.7059462715335502,0.8275862068965517,10058.258064516129
12,7424,0.375,0.371875,0.62643055053608,0.48275862068965514,9897.585811686184
13,4092,0.375,0.059375,0.6508384531984098,0.27586206896551724,9841.166666666666
14,3080,0.125,0.059375,0.6508384531984098,0.27586206896551724,9268.439393939394
15,9155,0.6125,0.371875,0.62643055053608,0.48275862068965514,9194.055861657504
16,8438,0.625,0.371875,0.62643055053608,0.48275862068965514,8539.037290536027
17,10626,0.1125,0.934375,0.7059462715335502,0.8275862068965517,8435.290322580646
18,4556,0.6125,0.3125,0.62643055053608,0.0,8169.920783042893
19,5394,0.8625,0.059375,0.6996542585230695,0.13793103448275862,8155.31884057971
20,8988,0.6125,0.621875,0.7059462715335502,0.48275862068965514,8143.359171581988
21,6958,0.1125,0.625,0.62643055053608,0.48275862068965514,8112.321085551311
22,11010,0.125,0.934375,0.7059462715335502,0.8275862068965517,8086.903225806452
23,4556,0.6125,0.3125,0.62643055053608,0.27586206896551724,8080.560606060606
24,4816,0.625,0.0625,0.7682568365257197,0.13793103448275862,7990.101449275362
25,14184,0.875,0.715625,0.62643055053608,0.8275862068965517,7855.032258064516
26,4668,0.6125,0.0625,0.7682568365257197,0.13793103448275862,7832.130434782609
27,9620,0.875,0.621875,0.62643055053608,0.48275862068965514,7799.871019509162
28,3937,0.375,0.28125,0.62643055053608,0.13793103448275862,7791.550724637681
29,3370,0.3625,0.059375,0.6996542585230695,0.13793103448275862,7777.057971014493
30,5397,0.8625,0.0625,0.7059462715335502,0.13793103448275862,7732.130434782609
31,9624,0.875,0.625,0.62643055053608,0.48275862068965514,7729.518024506293
32,10001,0.8625,0.621875,0.62643055053608,0.48275862068965514,7695.26117399836
33,13176,0.625,0.715625,0.62643055053608,0.8275862068965517,7488.5161290322585
34,5399,0.8625,0.0625,0.65293579086857,0.0,7467.525269133347
35,11485,0.3625,0.715625,0.62643055053608,0.8275862068965517,7357.870967741936
36,5944,0.875,0.3125,0.62643055053608,0.0,7156.960539594273
37,4941,0.625,0.295615625,0.7658836284784966,0.13793103448275862,7139.376811594203
38,13501,0.8625,0.715625,0.62643055053608,0.8275862068965517,6838.903225806452
39,5097,0.625,0.0625,0.65293579086857,0.27586206896551724,6769.954545454545
40,12185,0.375,0.684375,0.62643055053608,0.6896551724137931,6369.736420788847
41,8438,0.625,0.371875,0.62643055053608,0.3448275862068966,6326.99461150704
42,11468,0.3625,0.684375,0.62643055053608,0.9655172413793103,6018.462686567164
43,13484,0.8625,0.684375,0.62643055053608,0.9655172413793103,6001.878938640132
44,11177,0.125,0.684375,0.62643055053608,0.6896551724137931,5747.897614154361
45,13314,0.625,0.82128125,0.9870015660763762,0.8275862068965517,5648.580645161291
46,4933,0.625,0.309375,0.62643055053608,0.13793103448275862,5563.521739130435
47,2926,0.125,0.278125,0.62643055053608,0.13793103448275862,5536.478260869565
48,5547,0.8625,0.278125,0.62643055053608,0.13793103448275862,5498.304347826087
49,2364,0.1125,0.0625,0.62643055053608,0.0,5470.396595510941
50,4131,0.375,0.15274062500000002,0.9902300927599084,0.13793103448275862,5459.173913043478
51,4943,0.625,0.30485937500000004,0.7440320443320082,0.13793103448275862,5407.0
52,4351,0.6125,0.15274062500000002,0.9902300927599084,0.13793103448275862,5326.333333333333
53,8438,0.625,0.371875,0.62643055053608,0.6206896551724137,5227.375
54,3376,0.3625,0.0625,0.62643055053608,0.27586206896551724,5068.439393939394
55,2523,0.1125,0.30485937500000004,0.7440320443320082,0.13793103448275862,5040.826086956522
56,6958,0.1125,0.625,0.62643055053608,0.6206896551724137,4973.625
57,8610,0.625,0.625,0.62643055053608,0.6206896551724137,4928.625
58,5100,0.625,0.0625,0.62643055053608,0.27586206896551724,4763.378787878788
59,9624,0.875,0.625,0.62643055053608,0.6206896551724137,4735.125
60,5962,0.875,0.278125,0.62643055053608,0.13793103448275862,4662.565217391304
61,4391,0.6125,0.071603125,0.7551740754126008,0.13793103448275862,4598.797101449275
62,10628,0.1125,0.934375,0.62643055053608,0.8275862068965517,4530.451612903225
63,3069,0.125,0.071603125,0.7551740754126008,0.13793103448275862,4492.507246376812
64,12499,0.6125,0.71875,0.62643055053608,0.8275862068965517,4385.677419354839
65,13652,0.8625,0.934375,0.62643055053608,0.8275862068965517,4295.354838709677
66,11632,0.3625,0.934375,0.65293579086857,0.6896551724137931,4249.283315616956
67,5372,0.8625,0.089403125,0.9134441633538127,0.13793103448275862,4162.072463768116
68,4535,0.6125,0.278125,0.62643055053608,0.13793103448275862,4153.376811594203
69,4072,0.375,0.090625,0.62643055053608,0.13793103448275862,4131.63768115942
70,11008,0.125,0.9375,0.62643055053608,0.8275862068965517,4124.0
71,4380,0.6125,0.059375,0.6508384531984098,0.13793103448275862,3956.768115942029
72,8983,0.6125,0.625,0.6508384531984098,0.48275862068965514,3951.148351705198
73,3059,0.125,0.09375,0.62643055053608,0.13793103448275862,3947.5797101449275
74,4929,0.625,0.3125,0.6508384531984098,0.0,3775.9417799488488
75,3060,0.125,0.090625,0.62643055053608,0.13793103448275862,3733.5797101449275
76,2920,0.125,0.28125,0.6545717383447777,0.13793103448275862,3672.217391304348
77,6095,0.875,0.09375,0.62643055053608,0.0,3541.0997599607663
78,7969,0.3625,0.625,0.6508384531984098,0.48275862068965514,3495.9230899219333
79,6096,0.875,0.090625,0.62643055053608,0.13793103448275862,3478.014492753623
80,20659,0.8625,0.12445312500000001,0.9660040958920612,0.13793103448275862,3447.5797101449275
81,4937,0.625,0.309375,0.7324515118660402,0.13793103448275862,3370.768115942029
82,8461,0.625,0.40625,0.62643055053608,0.48275862068965514,3301.647662544732
83,8144,0.3625,0.371875,0.6508384531984098,0.48275862068965514,3214.05128641371
84,10151,0.8625,0.40625,0.62643055053608,0.48275862068965514,3164.620260513002
85,2683,0.1125,0.139959375,0.96883508011083,0.13793103448275862,3150.9710144927535
86,8434,0.625,0.371875,0.6508384531984098,0.48275862068965514,3128.0642925213156
87,4951,0.625,0.278125,0.7718949524153716,0.13793103448275862,3124.391304347826
88,6433,0.125,0.40625,0.62643055053608,0.48275862068965514,3042.996945622423
89,20587,0.6125,0.12445312500000001,0.9660040958920612,0.13793103448275862,3007.4927536231885
90,3939,0.375,0.278125,0.7718949524153716,0.13793103448275862,2981.4057971014495
