rank,node_number,x_n,y_n,z_n,t_n,score
1,3376,0.3625,0.0625,0.62643055053608,0.13793103448275862,12464.713375796178
2,3077,0.125,0.059375,0.62643055053608,0.13793103448275862,7782.101910828025
3,5099,0.625,0.0625,0.7059462715335502,0.13793103448275862,6714.713375796178
4,2361,0.1125,0.0625,0.7059462715335502,0.13793103448275862,6358.025477707007
5,5396,0.8625,0.059375,0.62643055053608,0.0,5283.625
6,3077,0.125,0.059375,0.62643055053608,0.0,5243.160714285715
7,6113,0.875,0.059375,0.62643055053608,0.0,4937.803571428572
8,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,4887.139448786507
9,4932,0.625,0.3125,0.62643055053608,0.13793103448275862,3040.063694267516
10,3375,0.3625,0.0625,0.65293579086857,0.13793103448275862,2687.643312101911
11,4092,0.375,0.059375,0.6508384531984098,0.13793103448275862,2683.375796178344
12,4085,0.375,0.0625,0.65293579086857,0.13793103448275862,2386.687898089172
13,5392,0.8625,0.059375,0.6508384531984098,0.13793103448275862,2361.2101910828023
14,11468,0.3625,0.684375,0.62643055053608,0.8275862068965517,2108.8727272727274
15,2356,0.1125,0.059375,0.6508384531984098,0.13793103448275862,2036.8789808917197
16,4380,0.6125,0.059375,0.6508384531984098,0.0,2019.3392857142858
17,2797,0.125,0.0818,0.7915190940850501,0.0,1784.5892857142858
18,13095,0.625,0.8195625,0.8788820624021202,0.9655172413793103,1781.6
19,3395,0.3625,0.09375,0.62643055053608,0.0,1781.017857142857
20,5097,0.625,0.0625,0.65293579086857,0.0,1778.6964285714287
21,11504,0.3625,0.746875,0.62643055053608,0.9655172413793103,1763.418181818182
22,3523,0.3625,0.278125,0.62643055053608,0.0,1718.625
23,5547,0.8625,0.278125,0.62643055053608,0.0,1694.5892857142858
24,2337,0.1125,0.0828125,0.9004216359474762,0.0,1679.232142857143
25,5104,0.625,0.059375,0.6508384531984098,0.27586206896551724,1676.937885643768
26,11172,0.125,0.7107812499999999,0.7859414528370076,0.6896551724137931,1666.70192389412
27,11208,0.125,0.8586874999999999,0.9796651005902903,0.6896551724137931,1662.9906367937745
