rank,node_number,x_n,y_n,z_n,t_n,score
1,3076,0.125,0.0625,0.62643055053608,0.13793103448275862,12507.707006369426
2,3077,0.125,0.059375,0.62643055053608,0.13793103448275862,7766.178343949045
3,14034,0.875,0.934375,0.7059462715335502,0.8275862068965517,7623.854545454546
4,4087,0.375,0.0625,0.7059462715335502,0.13793103448275862,6810.254777070064
5,6111,0.875,0.0625,0.7059462715335502,0.13793103448275862,6494.968152866242
6,4384,0.6125,0.059375,0.62643055053608,0.27586206896551724,5280.3932538050185
7,3077,0.125,0.059375,0.62643055053608,0.0,5227.089285714285
8,5396,0.8625,0.059375,0.62643055053608,0.27586206896551724,5115.328671328672
9,6113,0.875,0.059375,0.62643055053608,0.0,4919.946428571428
10,5101,0.625,0.059375,0.62643055053608,0.27586206896551724,4864.103661044837
11,4932,0.625,0.3125,0.62643055053608,0.13793103448275862,3033.6942675159235
12,4092,0.375,0.059375,0.6508384531984098,0.13793103448275862,2669.044585987261
13,6410,0.125,0.371875,0.62643055053608,0.48275862068965514,2331.8055555555557
14,8141,0.3625,0.371875,0.62643055053608,0.48275862068965514,2256.8055555555557
15,11468,0.3625,0.684375,0.62643055053608,0.8275862068965517,2108.8727272727274
16,2356,0.1125,0.059375,0.6508384531984098,0.13793103448275862,2024.1401273885351
17,13193,0.625,0.684375,0.62643055053608,0.8275862068965517,2008.8727272727272
18,4092,0.375,0.059375,0.6508384531984098,0.0,1888.982142857143
19,10494,0.1125,0.746875,0.8155402963498374,0.6896551724137931,1854.8641798816323
20,3821,0.375,0.059375,0.8084809059149499,0.0,1782.8035714285713
21,3128,0.125,0.089403125,0.9134441633538127,0.0,1782.625
22,2797,0.125,0.0818,0.7915190940850501,0.0,1781.732142857143
23,13095,0.625,0.8195625,0.8788820624021202,0.9655172413793103,1781.6
24,20573,0.6125,0.1368625,0.9661366100469823,0.0,1780.3035714285713
25,4391,0.6125,0.071603125,0.7551740754126008,0.0,1779.4107142857142
26,3395,0.3625,0.09375,0.62643055053608,0.0,1774.9464285714287
27,5097,0.625,0.0625,0.65293579086857,0.0,1771.5535714285713
28,12753,0.6125,0.71346875,0.8046500421635947,0.6896551724137931,1745.6410005184669
29,4751,0.625,0.17785625,0.9873750150584266,0.0,1721.125
30,2337,0.1125,0.0828125,0.9004216359474762,0.0,1676.732142857143
31,11536,0.3625,0.78125,0.6509613299602457,0.6896551724137931,1667.6297456692064
32,11208,0.125,0.8586874999999999,0.9796651005902903,0.6896551724137931,1662.9906367937745
33,5104,0.625,0.059375,0.6508384531984098,0.27586206896551724,1657.1929247223366
34,50,0.6875,0.9375,0.62643055053608,0.9655172413793103,1656.0363636363636
35,4536,0.6125,0.28125,0.7671364895795687,0.27586206896551724,1639.4224598930482
36,4019,0.375,0.17732187500000002,0.8788820624021202,0.27586206896551724,1638.2706705059645
37,3069,0.125,0.071603125,0.7551740754126008,0.27586206896551724,1637.118881118881
38,13994,0.875,0.914875,0.8115046379954222,0.6896551724137931,1635.0446449281735
39,13068,0.625,0.871875,0.6538959161546801,0.8275862068965517,1631.6
40,12027,0.375,0.929875,0.7440320443320082,0.8275862068965517,1629.9636363636364
41,6981,0.1125,0.590625,0.655524635586074,0.3448275862068966,1625.5080272157293
42,12989,0.625,0.9150625,0.7915190940850501,0.6896551724137931,1625.1355083702513
43,14278,0.875,0.92609375,0.8357908685700518,0.9655172413793103,1624.9454545454546
44,8983,0.6125,0.625,0.6508384531984098,0.6206896551724137,1624.8699186861788
45,9467,0.875,0.403125,0.7671364895795687,0.6206896551724137,1624.560975609756
46,12033,0.375,0.90625,0.62643055053608,0.6896551724137931,1624.4674766921892
47,11613,0.3625,0.903125,0.655524635586074,0.9655172413793103,1621.9636363636364
48,12087,0.375,0.8195625,0.8788820624021202,0.6896551724137931,1614.558340134267
49,12087,0.375,0.8195625,0.8788820624021202,0.9655172413793103,1613.8545454545454
50,12020,0.375,0.934375,0.65293579086857,0.6896551724137931,1607.5068946436106
51,3073,0.125,0.0625,0.65293579086857,0.0,1607.017857142857
52,11472,0.3625,0.6875,0.62643055053608,0.9655172413793103,1605.7818181818182
53,11614,0.3625,0.903125,0.6846187206360679,0.8275862068965517,1602.1454545454546
54,5944,0.875,0.3125,0.62643055053608,0.27586206896551724,1600.5610859728506
55,11669,0.3625,0.9150625,0.7915190940850501,0.6896551724137931,1600.0843204429198
56,10737,0.1125,0.71346875,0.8046500421635947,0.6896551724137931,1596.1874689875572
57,13629,0.8625,0.903125,0.655524635586074,0.6896551724137931,1596.076130374547
58,12518,0.6125,0.75,0.6813612817732804,0.8275862068965517,1592.9454545454546
59,11535,0.3625,0.78125,0.6754909047102758,0.8275862068965517,1592.581818181818
60,11613,0.3625,0.903125,0.655524635586074,0.6896551724137931,1592.1050531771773
61,4948,0.625,0.28125,0.7671364895795687,0.0,1591.6607142857142
62,4089,0.375,0.059375,0.62643055053608,0.6206896551724137,1591.0487804878048
63,3007,0.125,0.17732187500000002,0.8788820624021202,0.0,1590.9464285714287
64,2070,1.0,0.3125,0.62643055053608,0.13793103448275862,1589.7452229299363
65,4081,0.375,0.071603125,0.7551740754126008,0.0,1589.3392857142858
66,11759,0.3625,0.715625,0.8804722322611732,0.8275862068965517,1589.3090909090909
67,18074,0.625,0.08065625,0.8959161546801591,0.13793103448275862,1589.2675159235669
