regime_key,case_name,residual_csv_path,events_csv_path,n_candidates,k,n_events_written,n_missing_coord_nodes_skipped,tau_rel,tau_abs,p,kmin,kmax,status
G1_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_1and3line_3_arc_78910\events_topk.csv,100361,3011,3011,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\Ip_1track_1_arc_345\events_topk.csv,50541,1516,1516,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_2_arc_all_tracks_222\events_topk.csv,42350,1270,1270,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_3track_1_arc_678\events_topk.csv,69321,2080,2080,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_first_track_3arc_78910\events_topk.csv,79391,2382,2382,0,3.0,0.0,0.03,1000,10000,OK
G1_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,52663,1580,1580,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_1and3line_3_arc_78910\events_topk.csv,105250,3158,3158,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\Ip_1track_1_arc_345\events_topk.csv,54716,1641,1641,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_2_arc_all_tracks_222\events_topk.csv,39833,1195,1195,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_3track_1_arc_678\events_topk.csv,74091,2223,2223,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_first_track_3arc_78910\events_topk.csv,85433,2563,2563,0,3.0,0.0,0.03,1000,10000,OK
G1_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,41141,1234,1234,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_1and3line_3_arc_78910\events_topk.csv,98058,2942,2942,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\Ip_1track_1_arc_345\events_topk.csv,49546,1486,1486,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_2_arc_all_tracks_222\events_topk.csv,43583,1307,1307,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_3track_1_arc_678\events_topk.csv,66546,1996,1996,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_first_track_3arc_78910\events_topk.csv,76447,2293,2293,0,3.0,0.0,0.03,1000,10000,OK
G1_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,50531,1516,1516,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_1and3line_3_arc_78910\events_topk.csv,102454,3074,3074,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\Ip_1track_1_arc_345\events_topk.csv,51243,1537,1537,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_2_arc_all_tracks_222\events_topk.csv,42307,1269,1269,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_3track_1_arc_678\events_topk.csv,72552,2177,2177,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_first_track_3arc_78910\events_topk.csv,82104,2463,2463,0,3.0,0.0,0.03,1000,10000,OK
G1_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,48820,1465,1465,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_1and3line_3_arc_78910\events_topk.csv,102213,3066,3066,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\Ip_1track_1_arc_345\events_topk.csv,51188,1536,1536,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_2_arc_all_tracks_222\events_topk.csv,36297,1089,1089,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_3track_1_arc_678\events_topk.csv,69872,2096,2096,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_first_track_3arc_78910\events_topk.csv,80940,2428,2428,0,3.0,0.0,0.03,1000,10000,OK
G2_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,35231,1057,1057,0,3.0,0.0,0.03,1000,10000,OK
G2_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_1and3line_3_arc_78910\events_topk.csv,106746,3202,3202,0,3.0,0.0,0.03,1000,10000,OK
G2_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\Ip_1track_1_arc_345\events_topk.csv,54882,1646,1646,0,3.0,0.0,0.03,1000,10000,OK
G2_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_2_arc_all_tracks_222\events_topk.csv,36845,1105,1105,0,3.0,0.0,0.03,1000,10000,OK
G2_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_3track_1_arc_678\events_topk.csv,75811,2274,2274,0,3.0,0.0,0.03,1000,10000,OK
G2_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_first_track_3arc_78910\events_topk.csv,87180,2615,2615,0,3.0,0.0,0.03,1000,10000,OK
G2_S_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,33632,1009,1009,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_1and3line_3_arc_78910\events_topk.csv,99636,2989,2989,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\Ip_1track_1_arc_345\events_topk.csv,49090,1473,1473,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_2_arc_all_tracks_222\events_topk.csv,45540,1366,1366,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_3track_1_arc_678\events_topk.csv,67574,2027,2027,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_first_track_3arc_78910\events_topk.csv,78603,2358,2358,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,40574,1217,1217,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_1and3line_3_arc_78910\events_topk.csv,102737,3082,3082,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\Ip_1track_1_arc_345\events_topk.csv,50924,1528,1528,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_2_arc_all_tracks_222\events_topk.csv,45547,1366,1366,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_3track_1_arc_678\events_topk.csv,71309,2139,2139,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_first_track_3arc_78910\events_topk.csv,82811,2484,2484,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,40577,1217,1217,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_1and3line_3_arc_78910\events_topk.csv,71947,2158,2158,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\Ip_1track_1_arc_345\events_topk.csv,25055,1000,1000,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_2_arc_all_tracks_222\events_topk.csv,18932,1000,1000,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_3track_1_arc_678\events_topk.csv,42869,1286,1286,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_first_track_3arc_78910\events_topk.csv,53291,1599,1599,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,235308,7059,7059,0,3.0,0.0,0.03,1000,10000,OK
