Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,-1395000000.0,-1570000000.0,-1570000000.0,-1590000000.0,-1618000000.0,-4729000000.0,-730000000.0,90000000.0,-830000000.0,-1677000000.0,657700000.0,-377200000.0,620300000.0,-378500000.0,-379200000.0,-380600000.0,-377000000.0,-22210000000.0,-419000000.0,598500000.0,-60.0,-86.0,-93.0,-69.0,-60.0,-84.0,-192300000.0,23600000.0,16400000.0,-175.0,-57400000.0,-63900000.0,74900000.0,-655300000.0,-62100000.0,-63900000.0,-31000000.0,4559000000.0,251000000.0,-7142.0
2,-5884000000.0,8465000000.0,-6808000000.0,-1541000000.0,-1550000000.0,-1555000000.0,-15550000000.0,620000000.0,-490000000.0,-1656000000.0,10729.0,27865.0,22190.0,22476.0,22501.0,22583.0,-6324000000.0,-302000000.0,6689000000.0,24266.0,1038.0,1142.0,1149.0,1150.0,1153.0,1154.0,18200000.0,22900000.0,671100000.0,1263.0,-104500000.0,884000000.0,-117200000.0,-115500000.0,-114500000.0,-116700000.0,-76000000.0,-148000000.0,-89000000.0,-127500000.0
3,5403000000.0,8467000000.0,-1541000000.0,-1536000000.0,-1543000000.0,-1551000000.0,-350000000.0,820000000.0,-400000000.0,-4862000000.0,11008.0,18055.0,12157.0,0.0,12100.0,5.0,-188200000.0,-234900000.0,-592300000.0,14062.0,1462.0,1626.0,1640.0,1625.0,1629.0,1646.0,2297.0,33300000.0,2387.0,1906.0,-591700000.0,-102400000.0,-103500000.0,-101800000.0,-100800000.0,-102800000.0,-62000000.0,-136000000.0,-73000000.0,-112500000.0
4,-1389000000.0,-1548000000.0,7650000000.0,-155000000.0,8443000000.0,-1566000000.0,-350000000.0,-99160000000.0,-390000000.0,-1662000000.0,2448.0,2631.0,2652.0,2639.0,2588.0,2629.0,898600000.0,-156000000.0,96600000.0,4415.0,39.0,-345.0,7.0,62.0,1.0,-62.0,6.0,1607.0,0.0,25.0,-83800000.0,-93000000.0,-94000000.0,907600000.0,-91400000.0,906700000.0,-51000000.0,-123000000.0,-61000000.0,-101300000.0
5,6156000000.0,500000000.0,-1544000000.0,-1537000000.0,8459000000.0,-1552000000.0,-330000000.0,820000000.0,-360000000.0,-1643000000.0,-7302285.0,-34100000.0,-31300291.0,-34200000.0,-34800000.0,-34700000.0,-34000000.0,-82000000.0,-4000000.0,-2233.0,-1797.0,-2003.0,-2018.0,-2004.0,-2019.0,-2031.0,-1035.0,2200000.0,-11540.0,-1984.0,-97100000.0,-107700000.0,-108800000.0,-107200000.0,-106300000.0,-108300000.0,-63000000.0,-134000000.0,-77000000.0,-116100000.0
6,-1372000000.0,-1528000000.0,-8666000000.0,-1529000000.0,8466000000.0,-1544000000.0,7240000000.0,750000000.0,-370000000.0,-1634000000.0,-2401.0,-2680.0,-2693.0,-2693.0,-2746.0,-2728.0,-19000000.0,-1228000000.0,5000000.0,-2056.0,6296.0,-2.0,-2.0,0.0,-497.0,8909.0,-1400000.0,-7000000.0,800000.0,4.0,-106700000.0,-118400000.0,-119600000.0,-117900000.0,-117000000.0,-119000000.0,-73000000.0,-144000000.0,-89000000.0,-127100000.0
7,-1381000000.0,-1538000000.0,-1547000000.0,-1539000000.0,8456000000.0,-1555000000.0,-89360000000.0,670000000.0,-390000000.0,-1640000000.0,-3.0,-6.0,-1.0,242.0,212.0,246.0,-21000000.0,-33000000.0,-11000000.0,-4.0,1295.0,1444.0,1458.0,1442.0,1448.0,1464.0,-15500000.0,-18000000.0,-18000000.0,1535.0,-101700000.0,887200000.0,-114000000.0,325200000.0,-111400000.0,-461700000.0,-69000000.0,-140000000.0,-85000000.0,-121200000.0
8,-1398000000.0,-1557000000.0,-9154000000.0,-1559000000.0,-1564000000.0,-1575000000.0,-360000000.0,650000000.0,-420000000.0,-1658000000.0,-39.0,-1.0,0.0,-2393.0,-1.0,-2462.0,384.0,-542100000.0,-232.0,1.0,-1.0,3372.0,7.0,-4.0,7290.0,5.0,129.0,64.0,119.0,1.0,-88800000.0,-651000000.0,-99500000.0,976800000.0,-96900000.0,901300000.0,-58000000.0,-128000000.0,-7000000.0,-316700000.0
9,-1383000000.0,-1540000000.0,-8895000000.0,-1543000000.0,8453000000.0,-1558000000.0,-340000000.0,690000000.0,-400000000.0,-1641000000.0,-2.0,-432.0,1.0,-430.0,-455.0,-456.0,-10000000.0,-21000000.0,-14000000.0,1.0,-1318.0,-1470.0,-1484.0,-1469.0,-1477.0,-1492.0,-15300000.0,-18000000.0,-18900000.0,-1567.0,-99900000.0,-110700000.0,-111800000.0,-110100000.0,-109200000.0,-111300000.0,-68000000.0,-140000000.0,-83000000.0,-119300000.0
10,-7755000000.0,-1529000000.0,-1539000000.0,-1530000000.0,8466000000.0,6321000000.0,8420000000.0,790000000.0,-360000000.0,-1630000000.0,2002.0,2207.0,2223.0,2211.0,2196.0,2213.0,-435000000.0,-9000000.0,8000000.0,2495.0,97.0,83.0,919.0,1.0,-1.0,-82.0,-2100000.0,-6000000.0,-2300000.0,3.0,-107100000.0,5500000.0,-120000000.0,-118200000.0,-117200000.0,-119400000.0,-6050000000.0,-146000000.0,-91000000.0,-127700000.0
11,-1377000000.0,-1535000000.0,-1544000000.0,-1536000000.0,8458000000.0,-1552000000.0,-300000000.0,860000000.0,-350000000.0,-1635000000.0,3071.0,-12397812.0,3444.0,-34100000.0,-34100000.0,-34400000.0,4808000000.0,-7000000.0,15000000.0,3957.0,1794.0,1996.0,2012.0,1997.0,2006.0,2021.0,1488.0,648600000.0,1858.0,2141.0,-99600000.0,-110400000.0,-111600000.0,-109800000.0,-109000000.0,-111000000.0,-6051000000.0,-137000000.0,-80000000.0,-455500000.0
12,6156000000.0,-1555000000.0,-1564000000.0,-1558000000.0,8435000000.0,-1574000000.0,-330000000.0,-3460000000.0,-31620000000.0,-1657000000.0,-2254.0,-2477.0,-2486.0,-2495.0,-2529.0,-2522.0,-45000000.0,-5157000000.0,-53000000.0,-2200.0,0.0,-3.0,-3.0,7190.0,10022.0,-1.0,153.0,-141.0,215.0,-3.0,-84300000.0,-93500000.0,-94500000.0,926000000.0,-682300000.0,906200000.0,-51000000.0,-122000000.0,-62000000.0,-100800000.0
13,5610000000.0,-1552000000.0,-1561000000.0,-1557000000.0,279000000.0,-1573000000.0,-350000000.0,89730000000.0,-410000000.0,3235000000.0,-11963.0,-13222.0,-21411.0,-13272.0,-133600000.0,-13390.0,-145100000.0,-155000000.0,825800000.0,-10350.0,-1490.0,-1660.0,-1673.0,-1662.0,-1675.0,-1685.0,-1832.0,-2325.0,-2231.0,-1739.0,-90200000.0,-100100000.0,-101200000.0,-99500000.0,-98500000.0,-100600000.0,-57000000.0,-129000000.0,-70000000.0,-107900000.0
14,-1402000000.0,8432000000.0,-1575000000.0,-1577000000.0,-1591000000.0,-7236000000.0,-440000000.0,-1920000000.0,-520000000.0,2287000000.0,-23046.0,-52220245.0,-25626.0,-255700000.0,-257100000.0,-257700000.0,-257000000.0,-256000000.0,-311000000.0,-26670.0,-1471.0,-1633.0,-1642.0,-1643.0,-1661.0,-1658.0,19800000.0,21400000.0,23900000.0,-1712.0,-104900000.0,-116400000.0,-117700000.0,-115700000.0,-114900000.0,-117000000.0,5463000000.0,-142000000.0,-5775000000.0,-125200000.0
15,-1433000000.0,-1616000000.0,-1614000000.0,-1641000000.0,-1677000000.0,-1658000000.0,-730000000.0,90000000.0,-870000000.0,-1691000000.0,-378800000.0,-419000000.0,-28300000.0,579600000.0,-422200000.0,794100000.0,-375000000.0,-330000000.0,-453000000.0,-442700000.0,-184.0,-195.0,-187.0,-217.0,-241.0,-208.0,17500000.0,-662100000.0,21100000.0,-170.0,-57000000.0,-63300000.0,-140600000.0,-62500000.0,-415100000.0,-63300000.0,9971000000.0,-110000000.0,-108000000.0,-6871.0
16,7048000000.0,-3291000000.0,6690000000.0,6701000000.0,-3305000000.0,6668000000.0,-2800000000.0,220100000000.0,-3300000000.0,-3551000000.0,-226400000.0,-247500000.0,-248800000.0,-248600000.0,-123387490.0,-249000000.0,-224000000.0,9513000000.0,-242000000.0,-252000000.0,-3464.0,-3863.0,-3893.0,-3865.0,-38800000.0,-3910.0,-30000000.0,-24000000.0,-34000000.0,-4276.0,-5377.0,-59500000.0,-17004334.0,-456900000.0,-56300000.0,-58900000.0,6998.0,-144000000.0,-4.0,-6744.0
17,-2761000000.0,9310000000.0,-3097000000.0,-4411000000.0,-3110000000.0,-3127000000.0,-175500000000.0,-2100000000.0,-3200000000.0,7542000000.0,17922.0,-30983458.0,-3383546.0,-45484828.0,-69587238.0,-57285930.0,9774000000.0,-239000000.0,-239000000.0,-4383728.0,-859.0,-952.0,-958.0,-951.0,-953.0,-959.0,845200000.0,1000000.0,-4700000.0,-984.0,-129400000.0,-143600000.0,-145100000.0,-142300000.0,-140700000.0,-380600000.0,2919000000.0,-515500000.0,-3000000.0,-159000000.0
18,-2793000000.0,-3130000000.0,-3136000000.0,-7303000000.0,-1565000000.0,-3185000000.0,-2700000000.0,-247800000000.0,-3300000000.0,-2027000000.0,15538.0,-171300000.0,-85591292.0,-171600000.0,-171700000.0,62800000.0,-231000000.0,-280000000.0,-239000000.0,19102.0,2734.0,3063.0,3090.0,3063.0,-30800000.0,3107.0,347900000.0,-47000000.0,-42200000.0,3541.0,-89100000.0,-98500000.0,-99800000.0,-97400000.0,904500000.0,-98400000.0,42000000.0,-127000000.0,52000000.0,-108200000.0
19,-2815000000.0,-3156000000.0,6838000000.0,6817000000.0,-5353000000.0,6784000000.0,-2700000000.0,-2200000000.0,-235500000000.0,-3343000000.0,2337.0,2517.0,2539.0,2524.0,2479.0,2520.0,-104000000.0,-164000000.0,-82900000.0,3906.0,-1688.0,1.0,4.0,-119.0,4.0,5121.0,0.0,928.0,0.0,1.0,-73000000.0,-80600000.0,-250800000.0,-79500000.0,-77600000.0,-80100000.0,60300000.0,-147000000.0,74400000.0,-88000000.0
20,-2761000000.0,-3098000000.0,6897000000.0,-3125000000.0,-3154000000.0,-3157000000.0,-2700000000.0,-2000000000.0,-3200000000.0,-3270000000.0,908700000.0,-102000000.0,897200000.0,-102100000.0,-102900000.0,-103500000.0,-22200000.0,-30700000.0,-64000000.0,-99400000.0,-3988.0,-4443.0,-4477.0,-44500000.0,-44800000.0,5400000.0,400100000.0,-31000000.0,-46300000.0,-4598.0,386500000.0,-98200000.0,-99300000.0,903000000.0,-751300000.0,-5200000.0,43000000.0,-128000000.0,54000000.0,-106800000.0
21,-2659000000.0,-2986000000.0,-2988000000.0,-3015000000.0,-3043000000.0,-3045000000.0,-2500000000.0,-2000000000.0,-3100000000.0,6860000000.0,-3119.0,-3472.0,-3492.0,-3482.0,-3528.0,-3523.0,-9000000.0,-40000000.0,12000000.0,-3426.0,-10346.0,-711.0,-716.0,-712.0,-716.0,-719.0,-381300000.0,100000.0,5500000.0,0.0,-138200000.0,-153200000.0,-154800000.0,-15200000.0,849600000.0,-153700000.0,-5000000.0,494500000.0,-8000000.0,836300000.0
22,-2740000000.0,-3075000000.0,6920000000.0,-3103000000.0,-3134000000.0,-3135000000.0,-2600000000.0,-2000000000.0,-3100000000.0,668000000.0,-59900000.0,-66700000.0,-67400000.0,-66700000.0,-66600000.0,-853200000.0,-71000000.0,-77000000.0,-76000000.0,6861.0,3479.0,3882.0,3914.0,-32999410.0,-39100000.0,-39300000.0,-36000000.0,-37000000.0,-44000000.0,4060.0,-98400000.0,-108800000.0,-110100000.0,-107700000.0,-105900000.0,-108700000.0,31000000.0,3561000000.0,38000000.0,312800000.0
