Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,-1869812900.0,-6568343200.0,-113878800.0,-9491050900.0,-2657733600.0,-927066400.0,-81861806000.0,-748625120000.0,-84561536000.0,-476515900.0,-342034400.0,-993099400.0,-615061600.0,-1790179100.0,-3418341900.0,-186185200.0,-39353934000.0,-44344433000.0,-41554154000.0,-79078300.0,10.0,-4035.6,11.0,18.0,10.0,7.0,-665733340.0,-1289870800.0,-550044920.0,13.0,-78992020.0,-604539450.0,-141185800.0,-493350550.0,-282771610.0,-517248190.0,-9981900.0,-56214375000.0,-1648834300.0,82.0
2,-1010899100.0,-3946605700.0,-89991400.0,-3305670000.0,-5913408700.0,-3012698900.0,-40895905000.0,-632136770000.0,-3975979000.0,-4695530800.0,-827782810.0,-122012220.0,-981198140.0,-430643070.0,-62006200.0,-466146630.0,-3108310500.0,-7672767000.0,-4759475600.0,-33803420.0,-6.0,-5.0,-6.0,-4.0,-4.0,-5.0,-1667833200.0,-2205779200.0,-1591840700.0,-7.0,-783621510.0,-522347620.0,-884911380.0,-745025320.0,-221677670.0,-781221740.0,-11118887000.0,-779918000.0,-12838714000.0,-23276480.0
3,-2536746700.0,-5089491500.0,-1532847100.0,-3722628400.0,-3806619600.0,-3394660800.0,-71412854000.0,-586741310000.0,-68413155000.0,-6276372800.0,-395739590.0,-632863300.0,-470247040.0,-95194660.0,-592159200.0,-970397040.0,-2266226500.0,-869686940.0,-3222322200.0,-320732100.0,-17.0,-20.0,-18.0,-23.0,-114211430.0,-14.0,-196880320.0,-302669710.0,-30596940.0,-8167.4,-567243170.0,-213278540.0,-658933990.0,-283071540.0,-441755680.0,-314868400.0,-8959103000.0,-1609835000.0,-10578941000.0,-78292050.0
4,-3123688000.0,-5428457700.0,-200792300.0,-3642636500.0,-2748725400.0,-3297670600.0,-67533242000.0,-560943890000.0,-63683627000.0,-6967303700.0,-443144300.0,-410841060.0,-448744860.0,-34534290.0,-190719050.0,-348534830.0,-642063900.0,-6961695500.0,-937093400.0,-424742470.0,2419.0,-0.20000000000004547,2547.4,-2254.5225,-3408.6,-144.81,-1.0,-517051660.0,-1.0,4790.0,-405159390.0,-926107280.0,-490750820.0,-779521920.0,-487751100.0,-806119290.0,-449539000.0,-94590537000.0,-6139385000.0,-50694830.0
5,-376616200.0,-6181382400.0,-2793721000.0,-4416559100.0,-311684800.0,-4068593400.0,-77772218000.0,-639536030000.0,-74672528000.0,-7629237600.0,34.0,46.0,40.0,9013.1,44.0,9882.5,-153014600.0,-55195518000.0,-19001200.0,34.0,21.0,25.0,23.0,29.0,-329467020.0,18.0,-135313470.0,-7369736700.0,-4800410.0,25.0,-633036590.0,-273072560.0,-729226950.0,-325967250.0,-448555000.0,-357964080.0,-12328766000.0,-9629033000.0,-13998599000.0,-174482420.0
6,-4193580900.0,-6507349800.0,-3139686500.0,-4655535200.0,-2823718000.0,-424570000.0,-15508444000.0,-74525300000.0,-13968599000.0,-7986201900.0,19.0,-4670.9,23.0,6940.7,28.0,7269.3,-4920491000.0,-22672265000.0,-4840483000.0,15.0,6119.1,8368.0,6514.3,6.0,4.0,4.0,-503050100.0,-749074400.0,-500049800.0,7368.1,-796420230.0,-529646890.0,-900209840.0,-739325890.0,-188281000.0,-775522310.0,-14518547000.0,-13878608000.0,-1618370000.0,-260273830.0
7,-4294570800.0,-58341300.0,-3232677100.0,-4748525900.0,-311684800.0,-4395560700.0,-45015494000.0,-806619320000.0,-44815514000.0,-8077192800.0,-10.0,-7.0,-9.0,-10.0,-172417230.0,0.0,-5534552600.0,-76527651000.0,-569561000.0,-19.0,-17.0,-20.0,-19.0,-24.0,-198919900.0,-14.0,-4988498600.0,-5558555400.0,-5124512300.0,-6731.5,-697930090.0,-364063460.0,-798020070.0,-458054030.0,-66133200.0,-491450730.0,-6859313000.0,-98920104000.0,-8609138000.0,-248175050.0
8,-4120588300.0,-6310369500.0,-3047695700.0,-4321568700.0,-2766723700.0,-3965603800.0,-4785170000.0,-801219860000.0,-48325162000.0,-7967203700.0,-4525.1,-5721.5,-4502.2,5.100000000000364,7.0,-8465.8,-49004880.0,-480047960.0,-47304710.0,-3165.6,-2889.0,-4561.9,-3004.4,-2.600000000000364,-2.0,-7506.3,-202320220.0,-374537430.0,-212321220.0,-1255.4,-475052390.0,-4399450.0,-564943400.0,-866013260.0,-591740690.0,-893310560.0,-6307368300.0,-7812150000.0,-7954203500.0,-167683120.0
9,-4253575000.0,-6540346500.0,-3189681500.0,-4687532000.0,-3153685000.0,-4335566800.0,-48205175000.0,-804019580000.0,-48005195000.0,-8029197600.0,14.0,23.0,18.0,28.0,-239476010.0,15.0,-39520000.0,-73762622000.0,-4907508400.0,14.0,18.0,21.0,20.0,25.0,-197080260.0,15.0,-4845515200.0,-5008498600.0,-4986501100.0,6626.2,-659033980.0,-303369530.0,-757624110.0,-360263820.0,-491350710.0,-38960610.0,-5329466000.0,-96040392000.0,-7069292000.0,-231276750.0
10,-4177582600.0,-6488351700.0,-3122688200.0,-4634537300.0,-2827717600.0,-4281572200.0,-21577837000.0,-749924990000.0,-20107985000.0,-7947205800.0,-10.0,-4.0,-7.0,-3.0,1.0,-4.0,-8919107000.0,-2887090000.0,-8899109000.0,-14.0,-397.27,856.61,-495.63,3275.6,8286.9,3326.0,-2836716100.0,-4883511100.0,-2862713500.0,0.3000000000001819,-796220250.0,-5046880.0,-900209850.0,-739925830.0,-189880840.0,-776222240.0,-14378561000.0,-13568639000.0,-16148384000.0,-260973770.0
