Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,0.0,0.0,0.0,-1000000.0,0.0,8405000000.0,0.0,0.0,10000000.0,4364000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,703000000.0,2.0,6.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,100000.0,0.0,0.0,100000.0,200000.0,100000.0,0.0,0.0,0.0,7.0
2,-1000000.0,0.0,0.0,-1000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,-1000000.0,-744200000.0,300000.0,100000.0,200000.0,0.0,200000.0,0.0,0.0,0.0,200000.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,-1000000.0,0.0,-2.0,-705400000.0,0.0,0.0,100000.0,200000.0,200000.0,0.0,0.0,0.0,210700000.0
3,-2000000.0,0.0,0.0,-1000000.0,-3430000000.0,-2000000.0,0.0,0.0,0.0,-1000000.0,100000.0,300000.0,100000.0,851500000.0,200000.0,-960100000.0,0.0,-781900000.0,0.0,200000.0,-3.0,-2.0,-1.0,-3.0,0.0,-5.0,0.0,0.0,0.0,-2.0,100000.0,0.0,0.0,100000.0,200000.0,100000.0,0.0,0.0,0.0,100000.0
4,-1000000.0,0.0,0.0,-1000000.0,-2000000.0,-2000000.0,0.0,0.0,0.0,-1000000.0,0.0,200000.0,100000.0,308800000.0,200000.0,100000.0,-575000000.0,0.0,0.0,200000.0,6.0,-1670.0,-4.0,5547.0,-3.0,725.0,-2.0,0.0,-2.0,4790.0,100000.0,0.0,0.0,100000.0,200000.0,100000.0,0.0,0.0,0.0,100000.0
5,3464000000.0,-1000000.0,0.0,-1000000.0,2842000000.0,-2000000.0,0.0,0.0,0.0,-2000000.0,-2.0,-14.0,-8.0,-3.0,-2.0,0.0,0.0,0.0,1000000.0,-12.0,3.0,0.0,0.0,2.0,100000.0,4.0,-121400000.0,0.0,0.0,2.0,100000.0,0.0,100000.0,100000.0,200000.0,200000.0,0.0,0.0,0.0,100000.0
6,-1000000.0,0.0,0.0,-1000000.0,-1000000.0,3877000000.0,0.0,0.0,0.0,-1000000.0,-5.0,-7.0,-7.0,1.0,-7.0,-2.0,0.0,0.0,0.0,-13.0,6115.0,7.0,-7.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,200000.0,0.0,0.0,100000.0,200000.0,200000.0,0.0,0.0,0.0,100000.0
7,-1000000.0,0.0,0.0,-1000000.0,2842000000.0,-1000000.0,0.0,0.0,0.0,-1000000.0,-8.0,-12.0,-7.0,-9.0,100000.0,-13.0,0.0,0.0,0.0,-15.0,-3.0,-2.0,-1.0,-3.0,100000.0,-5.0,0.0,0.0,0.0,-5.0,100000.0,0.0,0.0,100000.0,600500000.0,100000.0,0.0,0.0,0.0,100000.0
8,-1000000.0,0.0,0.0,-1000000.0,-2000000.0,-3575000000.0,0.0,0.0,0.0,-1000000.0,-2.0,-2.0,-5.0,8415.0,-7.0,-1.0,100000.0,100000.0,100000.0,-5.0,3.0,2.0,1.0,7426.0,-1.0,-5.0,0.0,0.0,0.0,-6.0,100000.0,0.0,0.0,100000.0,200000.0,200000.0,0.0,0.0,0.0,100000.0
9,-3836000000.0,0.0,0.0,-1000000.0,-1000000.0,-3908000000.0,0.0,0.0,0.0,-1000000.0,-2.0,-9.0,-6.0,-4.0,0.0,-4.0,0.0,0.0,0.0,-8.0,3.0,0.0,0.0,2.0,100000.0,4.0,0.0,0.0,0.0,1.0,100000.0,0.0,0.0,100000.0,200000.0,353900000.0,0.0,0.0,0.0,100000.0
10,-1000000.0,0.0,0.0,-4177000000.0,-1000000.0,-2000000.0,0.0,0.0,0.0,-1000000.0,-6.0,-12.0,-7.0,-8.0,-9.0,-10.0,0.0,0.0,0.0,-13.0,-66.0,-15.0,-30.0,-6.0,4.0,5.0,0.0,0.0,0.0,4457.0,200000.0,524800000.0,0.0,200000.0,300000.0,200000.0,0.0,0.0,0.0,100000.0
