Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,1000000.0,2000000.0,2000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,-10000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-5.0,-5.0,-6.0,-3.0,-5.0,0.0,-100000.0,0.0,-5.0,-12.0,-100000.0,-18.0,-200000.0,-200000.0,-100000.0,0.0,0.0,0.0,-18.0
2,-4400000000.0,2000000.0,3000000.0,6231000000.0,2000000.0,6104000000.0,-10000000.0,0.0,-10000000.0,2000000.0,0.0,0.0,100000.0,200000.0,100000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-300000.0,-200000.0,-300000.0,-200000.0,247300000.0,-1000000.0,-1000000.0,-1000000.0,-300000.0
3,5914000000.0,2000000.0,3000000.0,2000000.0,1000000.0,7256000000.0,0.0,21950000000.0,-10000000.0,3000000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,100000.0,4.0,8274.0,-200000.0,487600000.0,-300000.0,-200000.0,-200000.0,-200000.0,0.0,0.0,-1000000.0,-200000.0
4,6554000000.0,2000000.0,3000000.0,3000000.0,2000000.0,3000000.0,-53470000000.0,-10000000.0,-10000000.0,-8502000000.0,0.0,100000.0,100000.0,388000000.0,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,0.0,-4.0,0.0,7.0,0.0,-3.0,3755.0,-100000.0,-100000.0,-200000.0,-663400000.0,-100000.0,-200000.0,-1000000.0,0.0,0.0,-16.0
5,2000000.0,3000000.0,3000000.0,3000000.0,2000000.0,-8305000000.0,0.0,0.0,0.0,-96000000.0,-9.0,-15.0,-15.0,-17.0,5.0,-15.0,0.0,0.0,0.0,-15.0,-4.0,-6.0,-6.0,-7.0,-5.0,-5.0,-7.0,415900000.0,-7.0,-6.0,-100000.0,-200000.0,-200000.0,-200000.0,-901100000.0,-40600000.0,0.0,0.0,-1000000.0,-105500000.0
6,1000000.0,3000000.0,3000000.0,3000000.0,8480000000.0,2000000.0,-10000000.0,0.0,-10000000.0,3000000.0,-5.0,-8.0,-9.0,1.0,-4.0,-3.0,0.0,0.0,0.0,-7.0,1.0,8.0,7.0,-4.0,-1.0,-3.0,0.0,0.0,0.0,-2.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,0.0,0.0,0.0,-200000.0
7,2000000.0,2000000.0,3000000.0,-8826000000.0,2000000.0,3000000.0,0.0,0.0,0.0,3000000.0,0.0,1.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,-100000.0,1.0,-100000.0,-200000.0,-300000.0,-200000.0,-200000.0,113200000.0,0.0,0.0,0.0,-200000.0
8,2000000.0,2000000.0,2000000.0,3000000.0,-8215000000.0,8471000000.0,0.0,0.0,0.0,2000000.0,2.0,5.0,0.0,-6.0,7450.0,5.0,-3.0,0.0,-3.0,-5.0,-4.0,2678.0,-5.0,3810.0,5.0,-5.0,1.0,0.0,1.0,-5.0,-100000.0,-424900000.0,-200000.0,-100000.0,-100000.0,-742700000.0,0.0,0.0,0.0,-100000.0
9,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,0.0,0.0,-10000000.0,480000000.0,-6.0,-10.0,-11.0,-11.0,-11.0,-10.0,0.0,0.0,0.0,3.0,-4.0,-5.0,-5.0,-6.0,-5.0,-5.0,-124300000.0,-1000000.0,-100000.0,4.0,-200000.0,-200000.0,-200000.0,54800000.0,848500000.0,-200000.0,0.0,-1000000.0,0.0,-200000.0
10,2000000.0,2000000.0,3000000.0,3000000.0,2000000.0,2000000.0,-10000000.0,-10000000.0,0.0,3000000.0,-3.0,-5.0,-5.0,-6.0,-7.0,-6.0,0.0,0.0,1178000000.0,-5.0,6.0,2.0,1.0,204.0,-2282.0,-8.0,0.0,0.0,0.0,0.0,-100000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,0.0,-1000000.0,0.0,-200000.0
