Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,-4969503000.0,-2244775600.0,-4300570000.0,-8788121300.0,-2149785000.0,-8687131300.0,-32436751000.0,-36846308000.0,-35606434000.0,-6695330500.0,-12011200.0,-54053200.0,-377037800.0,-842084300.0,-1495149600.0,-867086800.0,-2802279700.0,-23952394000.0,-3942393700.0,-114011500.0,9.0,14.0,13.0,15.0,9626.0,10.0,-928407110.0,-292070730.0,-895110440.0,13.0,67.0,-43495560.0,78.0,-396360260.0,-140185890.0,-406559250.0,-5155484100.0,-48460000.0,-5300469700.0,81.0
2,-4880512200.0,-1406859700.0,-3982602000.0,-684309200.0,-7529247400.0,-670323100.0,-62353760000.0,-61693825000.0,-64513544000.0,-6946305700.0,-741074140.0,-948094830.0,-890689100.0,-69006930.0,-322732290.0,-83408370.0,-3016301500.0,-8888888600.0,-3744374300.0,-755175550.0,-6.0,-5.0,-5.0,-5.0,-5.0,-6.0,-909009070.0,-683531570.0,-864713500.0,-6.0,-392760600.0,-750324830.0,-489650900.0,-234476410.0,-259273920.0,-2274890.0,-352964300.0,-2124786700.0,-642935200.0,-174382430.0
3,-648344100.0,-2908709600.0,-5590441300.0,-8203180200.0,-8265174000.0,-798195100.0,-54234571000.0,-2397560000.0,-56094386000.0,-8675132900.0,-295729590.0,-433843390.0,-367336750.0,-559055920.0,-827682770.0,-568756890.0,-480748080.0,-1169116900.0,-874987510.0,-242924310.0,-17.0,-21.0,-20.0,-22.0,-19.0,-18.0,-23.0,-668533150.0,-23.0,-21.100000000000364,-227277170.0,-54045690.0,-315268360.0,-965703300.0,-859513920.0,-979101970.0,-9349064600.0,-162982800.0,-9593040300.0,-35996280.0
4,-719273100.0,-3500650400.0,-6265373900.0,-8643136300.0,-8357164800.0,-8486151800.0,-59374058000.0,-28387156000.0,-61193876000.0,-9438056600.0,-466046590.0,-455545530.0,-470947080.0,-43343110.0,-375537530.0,-433343320.0,-919091800.0,-3749374700.0,-1009100800.0,-452645250.0,2960.9,2740.9,3099.3,2066.3,606.27,2050.1,3091.6,0.0,3315.6,3754.4,-138086100.0,-398660030.0,-220677830.0,-736926190.0,-444655420.0,-748225080.0,-7669232700.0,-6619337200.0,-7877211800.0,94.0
5,-7957204600.0,-4202580200.0,-6947305700.0,-9376062900.0,-9130087500.0,-9220078400.0,-50824912000.0,-2237719000.0,-52544741000.0,-97990700.0,32.0,43.0,41.0,45.0,-8007.1,36.0,-5298529600.0,-4324431800.0,-5201519800.0,39.0,20.0,24.0,24.0,26.0,24.0,22.0,26.0,-4441980.0,26.0,25.0,-299469950.0,-614338440.0,-391960680.0,-31396730.0,-909908880.0,-44895390.0,-754924000.0,-279711900.0,-1014898100.0,-117088170.0
6,-8313169000.0,-4550545400.0,-7297270700.0,-9713029300.0,-935059200.0,-9556044800.0,-42525743000.0,-29647030000.0,-44215574000.0,-446955700.0,17.0,24.0,23.0,-8061.1,1964.0,-7933.7,-958955000.0,-2399239100.0,-9488948500.0,21.0,4989.0,6132.7,5380.6,7458.3,5.0,7500.7,-772977230.0,-5494549300.0,-761876120.0,4997.7,-410558830.0,-767223130.0,-509948870.0,-246175230.0,-259273930.0,-261573710.0,-1314868000.0,-4530546000.0,-1613838100.0,-197280130.0
7,-8423157900.0,-4647535800.0,-7400260400.0,-9799020700.0,-9497050900.0,-9641036300.0,-37746221000.0,-38546140000.0,-39556039000.0,-552945100.0,-11.0,-10.0,-10.0,-13.0,-7.0,-11.0,-34310000.0,-7778777300.0,-3131312800.0,-14.0,-16.0,-21.0,-20.0,-22.0,-19.0,-18.0,-2617020.0,-9534953300.0,-222322160.0,-8666.6,-350764810.0,-678432030.0,-447055170.0,-111588700.0,-25297330.0,-12387300.0,-7801219400.0,-8184180700.0,-8091190400.0,-167383140.0
8,-8314168900.0,-4483552200.0,-7280272500.0,-9561044500.0,-9121088500.0,-933060300.0,-37186277000.0,-40095985000.0,-39106085000.0,-474953000.0,-3776.9,-4249.5,-3740.1,-5334.7,3.300000000000182,-5376.8,1.0,-597859770.0,0.0,-4343.1,-1945.7,-2.300000000000182,-2048.0,-2.400000000000091,-6261.2,-3849.9,-2.0,-2.0,-2.0,-1419.1,-205479350.0,-471952690.0,-292370660.0,-813418540.0,-528047070.0,-825017390.0,-3320667500.0,-9554043800.0,-3565643000.0,-73392550.0
9,-8388161400.0,-4606539900.0,-7364264000.0,-9751025500.0,-9437056800.0,-9593041100.0,-3896069000.0,-4115839000.0,-41095886000.0,-43948400.0,12.0,20.0,18.0,21.0,20.0,15.0,-2963703200.0,-7331266100.0,-2984701200.0,9646.8,17.0,21.0,21.0,23.0,20.0,19.0,-137186170.0,-9443055500.0,-187881100.0,8292.4,-324367460.0,-642235650.0,-419157960.0,-5893780.0,-94005590.0,-74592420.0,-713282900.0,-6934305800.0,-7448254700.0,-148385040.0
10,-8298170400.0,-4534547000.0,-7282272200.0,-9694031200.0,-9392061300.0,-9537046700.0,-44195576000.0,-33936602000.0,-45885407000.0,-431957300.0,-11.0,-7.0,-7.0,-8.0,-5.0,-10.0,-1358863700.0,-5786420500.0,-126869100.0,-11.0,-1141.9,-798.64,-1270.3,206.39,1.199999999999818,191.0,-758024120.0,-7423257500.0,-758424080.0,-2365.8,-410158860.0,-767123140.0,-509748890.0,-246275210.0,-259773880.0,-261673700.0,-1271872300.0,-4428556300.0,-1570842400.0,-196280230.0
