idx,model,st_dim,st_heads,st_inds,st_isab,st_seeds,st_use_k_norm,dropout,lr,wd,batch_size,epochs,hidden,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std
18,settransformer,32,2,16,1,1,True,0.1,0.0005,0.0001,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.7777777777777778,0.039283710065919325,0.7537037037037035,0.052574331728068094
9,settransformer,32,2,16,1,1,True,0.05,0.0003,0.0001,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.75,0.0680413817439772,0.7444444444444445,0.061363116762151504
27,settransformer,32,2,32,1,1,True,0.05,0.0003,0.0001,4,60,128,1.0,0.0,1.0,0.0,0.75,0.0680413817439772,0.7444444444444445,0.06589054398021188
1,settransformer,32,2,16,1,1,True,0.0,0.0003,0.0,4,60,128,1.0,0.0,1.0,0.0,0.6944444444444445,0.0785674201318386,0.6925925925925926,0.07332959212304938
2,settransformer,32,2,16,1,1,True,0.0,0.0003,1e-05,4,60,128,1.0,0.0,1.0,0.0,0.6944444444444445,0.0785674201318386,0.6925925925925926,0.07332959212304938
3,settransformer,32,2,16,1,1,True,0.0,0.0003,0.0001,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6944444444444445,0.0785674201318386,0.688888888888889,0.07071067811865477
4,settransformer,32,2,16,1,1,True,0.0,0.0005,0.0,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6944444444444443,0.039283710065919325,0.6888888888888888,0.039283710065919325
12,settransformer,32,2,16,1,1,True,0.05,0.0005,0.0001,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.6944444444444443,0.039283710065919325,0.6888888888888888,0.03600411499115475
5,settransformer,32,2,16,1,1,True,0.0,0.0005,1e-05,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6944444444444443,0.039283710065919325,0.6888888888888888,0.039283710065919325
19,settransformer,32,2,32,1,1,True,0.0,0.0003,0.0,4,60,128,0.9444444444444445,0.0785674201318386,0.9425925925925926,0.0811863341362332,0.6944444444444443,0.039283710065919325,0.6814814814814815,0.04115946439054236
20,settransformer,32,2,32,1,1,True,0.0,0.0003,1e-05,4,60,128,0.9444444444444445,0.0785674201318386,0.9425925925925926,0.0811863341362332,0.6944444444444443,0.039283710065919325,0.6814814814814815,0.04115946439054236
36,settransformer,32,2,32,1,1,True,0.1,0.0005,0.0001,4,60,128,0.8611111111111112,0.03928371006591927,0.8574074074074075,0.03804192330402615,0.6666666666666666,0.06804138174397716,0.6537037037037038,0.07485697382002866
16,settransformer,32,2,16,1,1,True,0.1,0.0005,0.0,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.638888888888889,0.0785674201318386,0.6407407407407408,0.06943827133056547
17,settransformer,32,2,16,1,1,True,0.1,0.0005,1e-05,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.638888888888889,0.0785674201318386,0.6407407407407408,0.06943827133056547
